county,precinct,office,district,party,candidate,absentee_votes,early_votes,election_day,votes
Harrison,1,Straight Party,,,Republican Party,30,375,78,483
Harrison,1,Straight Party,,,Democratic Party,18,177,48,243
Harrison,1,Straight Party,,,Libertarian Party,1,4,2,7
Harrison,1,Straight Party,,,Green Party,0,2,0,2
Harrison,1,President and Vice President,,Republican,Donald J. Trump / Mike Pence,47,793,143,983
Harrison,1,President and Vice President,,Democratic,Hillary Clinton / Tim Kaine,34,342,90,466
Harrison,1,President and Vice President,,Libertarian,Gary Johnson / William Weld,0,11,10,21
Harrison,1,President and Vice President,,Green,Jill Stein / Ajamu Baraka,0,6,4,10
Harrison,1,President and Vice President,,,Darrell L. Castle / Scott N. Bradley (W),0,0,1,1
Harrison,1,President and Vice President,,,Scott Cubbler / Michael Rodriguez (W),0,0,0,0
Harrison,1,President and Vice President,,,Cherunda Fox / Roger Kushner (W),0,0,0,0
Harrison,1,President and Vice President,,,Tom Hoefling / Steve Schulin (W),0,1,0,1
Harrison,1,President and Vice President,,,Laurence Kotlikoff / Edward Leamer (W),0,0,0,0
Harrison,1,President and Vice President,,,Jonathan Lee / Jeffrey Erskine (W),0,0,0,0
Harrison,1,President and Vice President,,,Michael A. Maturen / Juan A. Munoz (W),0,0,0,0
Harrison,1,President and Vice President,,,Evan McMullin / Nathan Johnson (W),0,4,4,8
Harrison,1,President and Vice President,,,Monica Moorehead / Lamon Lilly (W),0,0,0,0
Harrison,1,President and Vice President,,,Robert Morrow / Todd Sanders (W),0,0,0,0
Harrison,1,President and Vice President,,,Emidio Soltysik / Angela Walker (W),0,0,0,0
Harrison,1,President and Vice President,,,Dale Steffes / Paul E. Case (W),0,0,0,0
Harrison,1,President and Vice President,,,Tony Valdivia / Aaron Barriere (W),0,0,0,0
Harrison,1,U.S. House,1,Republican,Louie Gohmert,51,770,153,974
Harrison,1,U.S. House,1,Democratic,Shirley J. McKellar,30,304,84,418
Harrison,1,U.S. House,1,Libertarian,Phil Gray,1,15,9,25
Harrison,1,U.S. House,1,,Renee Culler (W),0,0,0,0
Harrison,1,Railroad Commissioner,,Republican,Wayne Christian,48,744,142,934
Harrison,1,Railroad Commissioner,,Democratic,Grady Yarbrough,32,315,86,433
Harrison,1,Railroad Commissioner,,Libertarian,Mark Miller,0,28,12,40
Harrison,1,Railroad Commissioner,,Green,Martina Salinas,0,11,2,13
Harrison,1,"Justice, Supreme Court, Place 3",,,Debra Lehrmann,47,740,139,926
Harrison,1,"Justice, Supreme Court, Place 3",,,Mike Westergren,33,297,86,416
Harrison,1,"Justice, Supreme Court, Place 3",,,Kathie Glass,1,17,12,30
Harrison,1,"Justice, Supreme Court, Place 3",,,Rodolfo Rivera Munoz,0,9,7,16
Harrison,1,"Justice, Supreme Court, Place 5",,,Paul Green,47,737,149,933
Harrison,1,"Justice, Supreme Court, Place 5",,,Dori Contreras Garza,31,294,80,405
