county,precinct,office,district,party,candidate,early_voting,election_day,votes
Kinney,1,President,,REP,Donald J. Trump,213,64,277
Kinney,2,President,,REP,Donald J. Trump,113,74,187
Kinney,3,President,,REP,Donald J. Trump,80,48,128
Kinney,4,President,,REP,Donald J. Trump,266,78,344
Kinney,Total,President,,REP,Donald J. Trump,672,264,936
Kinney,1,President,,DEM,Hillary Clinton,71,30,101
Kinney,2,President,,DEM,Hillary Clinton,72,60,132
Kinney,3,President,,DEM,Hillary Clinton,76,59,135
Kinney,4,President,,DEM,Hillary Clinton,68,22,90
Kinney,Total,President,,DEM,Hillary Clinton,287,171,458
Kinney,1,President,,LIB,Gary Johnson,6,1,7
Kinney,2,President,,LIB,Gary Johnson,5,2,7
Kinney,3,President,,LIB,Gary Johnson,3,1,4
Kinney,4,President,,LIB,Gary Johnson,4,3,7
Kinney,Total,President,,LIB,Gary Johnson,18,7,25
Kinney,1,President,,GRN,Jill Stein,0,0,0
Kinney,2,President,,GRN,Jill Stein,1,0,1
Kinney,3,President,,GRN,Jill Stein,1,1,2
Kinney,4,President,,GRN,Jill Stein,3,0,3
Kinney,Total,President,,GRN,Jill Stein,5,1,6
Kinney,1,President,,,Write-ins,3,0,3
Kinney,2,President,,,Write-ins,0,0,0
Kinney,3,President,,,Write-ins,0,0,0
Kinney,4,President,,,Write-ins,2,0,2
Kinney,Total,President,,,Write-ins,5,0,5
Kinney,1,U.S. House,23,REP,Will Hurd,210,62,272
Kinney,2,U.S. House,23,REP,Will Hurd,114,54,168
Kinney,3,U.S. House,23,REP,Will Hurd,79,44,123
Kinney,4,U.S. House,23,REP,Will Hurd,270,73,343
Kinney,Total,U.S. House,23,REP,Will Hurd,673,233,906
Kinney,1,U.S. House,23,DEM,Pete P. Gallego,74,27,101
Kinney,2,U.S. House,23,DEM,Pete P. Gallego,67,72,139
Kinney,3,U.S. House,23,DEM,Pete P. Gallego,71,54,125
Kinney,4,U.S. House,23,DEM,Pete P. Gallego,70,26,96
Kinney,Total,U.S. House,23,DEM,Pete P. Gallego,282,179,461
Kinney,1,U.S. House,23,LIB,Ruben S. Corvalan,6,2,8
Kinney,2,U.S. House,23,LIB,Ruben S. Corvalan,6,6,12
Kinney,3,U.S. House,23,LIB,Ruben S. Corvalan,5,6,11
Kinney,4,U.S. House,23,LIB,Ruben S. Corvalan,5,2,7
Kinney,Total,U.S. House,23,LIB,Ruben S. Corvalan,22,16,38
Kinney,1,Railroad Commissioner,,REP,Wayne Christian,184,57,241
Kinney,2,Railroad Commissioner,,REP,Wayne Christian,102,50,152
Kinney,3,Railroad Commissioner,,REP,Wayne Christian,70,30,100
Kinney,4,Railroad Commissioner,,REP,Wayne Christian,244,64,308
Kinney,Total,Railroad Commissioner,,REP,Wayne Christian,600,201,801
Kinney,1,Railroad Commissioner,,DEM,Grady Yarbrough,72,22,94
Kinney,2,Railroad Commissioner,,DEM,Grady Yarbrough,58,49,107
Kinney,3,Railroad Commissioner,,DEM,Grady Yarbrough,54,47,101
Kinney,4,Railroad Commissioner,,DEM,Grady Yarbrough,67,19,86
Kinney,Total,Railroad Commissioner,,DEM,Grady Yarbrough,251,137,388
Kinney,1,Railroad Commissioner,,LIB,Mark Miller,10,4,14
Kinney,2,Railroad Commissioner,,LIB,Mark Miller,6,10,16
Kinney,3,Railroad Commissioner,,LIB,Mark Miller,5,6,11
Kinney,4,Railroad Commissioner,,LIB,Mark Miller,13,2,15
Kinney,Total,Railroad Commissioner,,LIB,Mark Miller,34,22,56
Kinney,1,Railroad Commissioner,,GRN,Martina Salinas,8,2,10
Kinney,2,Railroad Commissioner,,GRN,Martina Salinas,13,10,23
Kinney,3,Railroad Commissioner,,GRN,Martina Salinas,7,11,18
Kinney,4,Railroad Commissioner,,GRN,Martina Salinas,8,6,14
Kinney,Total,Railroad Commissioner,,GRN,Martina Salinas,36,29,65
Kinney,1,State Senate,19,REP,Peter P. Flores,181,52,233
Kinney,2,State Senate,19,REP,Peter P. Flores,90,37,127
Kinney,3,State Senate,19,REP,Peter P. Flores,61,31,92
Kinney,4,State Senate,19,REP,Peter P. Flores,220,72,292
Kinney,Total,State Senate,19,REP,Peter P. Flores,552,192,744
Kinney,1,State Senate,19,DEM,Carlos I. Uresti,89,31,120
Kinney,2,State Senate,19,DEM,Carlos I. Uresti,86,78,164
Kinney,3,State Senate,19,DEM,Carlos I. Uresti,81,64,145
Kinney,4,State Senate,19,DEM,Carlos I. Uresti,101,24,125
Kinney,Total,State Senate,19,DEM,Carlos I. Uresti,357,197,554
Kinney,1,State Senate,19,LIB,Maximillian Martin,7,2,9
Kinney,2,State Senate,19,LIB,Maximillian Martin,7,5,12
Kinney,3,State Senate,19,LIB,Maximillian Martin,4,5,9
Kinney,4,State Senate,19,LIB,Maximillian Martin,14,1,15
Kinney,Total,State Senate,19,LIB,Maximillian Martin,32,13,45
Kinney,1,State Representative,74,DEM,Poncho Nevarez,153,46,199
Kinney,2,State Representative,74,DEM,Poncho Nevarez,102,87,189
Kinney,3,State Representative,74,DEM,Poncho Nevarez,90,70,160
Kinney,4,State Representative,74,DEM,Poncho Nevarez,152,46,198
Kinney,Total,State Representative,74,DEM,Poncho Nevarez,497,249,746
Kinney,1,Ballots Cast,,,,294,95,389
Kinney,2,Ballots Cast,,,,197,138,335
Kinney,3,Ballots Cast,,,,165,114,279
Kinney,4,Ballots Cast,,,,350,104,454
Kinney,Total,Ballots Cast,,,,1006,451,1457
