county,precinct,office,district,candidate,party,votes,mail,early voting,election day,provisional
Nolan,1,,,Registered Voters,,1036,,,,
Nolan,2,,,Registered Voters,,1021,,,,
Nolan,3,,,Registered Voters,,1793,,,,
Nolan,4,,,Registered Voters,,1757,,,,
Nolan,5,,,Registered Voters,,165,,,,
Nolan,6,,,Registered Voters,,1088,,,,
Nolan,7,,,Registered Voters,,299,,,,
Nolan,8,,,Registered Voters,,144,,,,
Nolan,9,,,Registered Voters,,1444,,,,
Nolan,Total,,,Registered Voters,,8747,,,,
Nolan,1,,,Ballots Cast,,562,28,306,227,1
Nolan,2,,,Ballots Cast,,672,42,341,289,0
Nolan,3,,,Ballots Cast,,919,48,491,380,0
Nolan,4,,,Ballots Cast,,715,37,313,365,0
Nolan,5,,,Ballots Cast,,125,12,38,75,0
Nolan,6,,,Ballots Cast,,632,26,240,366,0
Nolan,7,,,Ballots Cast,,208,16,62,130,0
Nolan,8,,,Ballots Cast,,117,1,34,82,0
Nolan,9,,,Ballots Cast,,901,48,485,368,0
Nolan,Total,,,Ballots Cast,,4851,258,2310,2282,1
Nolan,1,,,Straight Party,REP,220,6,133,81,0
Nolan,2,,,Straight Party,REP,261,22,136,103,0
Nolan,3,,,Straight Party,REP,361,20,191,150,0
Nolan,4,,,Straight Party,REP,238,12,117,109,0
Nolan,5,,,Straight Party,REP,59,10,18,31,0
Nolan,6,,,Straight Party,REP,255,12,102,141,0
Nolan,7,,,Straight Party,REP,104,9,33,62,0
Nolan,8,,,Straight Party,REP,57,1,19,37,0
Nolan,9,,,Straight Party,REP,379,24,196,159,0
Nolan,Total,,,Straight Party,REP,1934,116,945,873,0
Nolan,1,,,Straight Party,DEM,61,2,23,36,0
Nolan,2,,,Straight Party,DEM,57,5,25,27,0
Nolan,3,,,Straight Party,DEM,143,9,71,63,0
Nolan,4,,,Straight Party,DEM,205,6,100,99,0
Nolan,5,,,Straight Party,DEM,13,0,6,7,0
Nolan,6,,,Straight Party,DEM,63,4,22,37,0
Nolan,7,,,Straight Party,DEM,7,0,2,5,0
Nolan,8,,,Straight Party,DEM,11,0,1,10,0
Nolan,9,,,Straight Party,DEM,51,6,21,24,0
Nolan,Total,,,Straight Party,DEM,611,32,271,308,0
Nolan,1,,,Straight Party,LIB,6,0,3,3,0
Nolan,2,,,Straight Party,LIB,4,0,0,4,0
Nolan,3,,,Straight Party,LIB,4,0,2,2,0
Nolan,4,,,Straight Party,LIB,6,0,4,2,0
Nolan,5,,,Straight Party,LIB,0,0,0,0,0
Nolan,6,,,Straight Party,LIB,4,0,1,3,0
Nolan,7,,,Straight Party,LIB,2,0,0,2,0
Nolan,8,,,Straight Party,LIB,0,0,0,0,0
Nolan,9,,,Straight Party,LIB,1,0,0,1,0
Nolan,Total,,,Straight Party,LIB,27,0,10,17,0
Nolan,1,,,Straight Party,GRN,0,0,0,0,0
Nolan,2,,,Straight Party,GRN,0,0,0,0,0
Nolan,3,,,Straight Party,GRN,3,0,2,1,0
Nolan,4,,,Straight Party,GRN,4,0,2,2,0
Nolan,5,,,Straight Party,GRN,0,0,0,0,0
