county,precinct,office,district,candidate,party,votes,early_voting,election_day
Clay,PCT 1 -  SE HENRIETTA,Straight Party,,,REP,268,172,96
Clay,PCT 6 -  BYERS,Straight Party,,,REP,138,26,112
Clay,PCT 8 -  NE  HENRIETTA,Straight Party,,,REP,203,128,75
Clay,PCT 9 -  NW HENRIETTA,Straight Party,,,REP,150,92,58
Clay,PCT 10 -  VASHTI,Straight Party,,,REP,94,35,59
Clay,PCT 11 -  DEAN,Straight Party,,,REP,315,92,223
Clay,PCT 12 -  JOLLY,Straight Party,,,REP,86,30,56
Clay,PCT 13 -  THORNBERRY,Straight Party,,,REP,42,12,30
Clay,PCT 14 -  CHARLIE,Straight Party,,,REP,62,8,54
Clay,PCT 15 -  SW HENRIETTA,Straight Party,,,REP,104,64,40
Clay,PCT 17 -  ARROWHEAD,Straight Party,,,REP,314,132,182
Clay,PCT 20 -  MIDWAY,Straight Party,,,REP,159,85,74
Clay,PCT 24 -  BELLEVUE,Straight Party,,,REP,112,38,74
Clay,PCT 26 -  BUFFALO SPRING,Straight Party,,,REP,79,30,49
Clay,PCT 27 -  PETROLIA,Straight Party,,,REP,161,38,123
Clay,PCT 32 -  WINDTHORST,Straight Party,,,REP,89,16,73
Clay,Total,Straight Party,,,REP,2376,998,1378
Clay,PCT 1 -  SE HENRIETTA,Straight Party,,,DEM,40,30,10
Clay,PCT 6 -  BYERS,Straight Party,,,DEM,16,7,9
Clay,PCT 8 -  NE  HENRIETTA,Straight Party,,,DEM,31,15,16
Clay,PCT 9 -  NW HENRIETTA,Straight Party,,,DEM,16,8,8
Clay,PCT 10 -  VASHTI,Straight Party,,,DEM,10,3,7
Clay,PCT 11 -  DEAN,Straight Party,,,DEM,17,4,13
Clay,PCT 12 -  JOLLY,Straight Party,,,DEM,13,2,11
Clay,PCT 13 -  THORNBERRY,Straight Party,,,DEM,7,1,6
Clay,PCT 14 -  CHARLIE,Straight Party,,,DEM,5,1,4
Clay,PCT 15 -  SW HENRIETTA,Straight Party,,,DEM,16,9,7
Clay,PCT 17 -  ARROWHEAD,Straight Party,,,DEM,28,13,15
Clay,PCT 20 -  MIDWAY,Straight Party,,,DEM,10,9,1
Clay,PCT 24 -  BELLEVUE,Straight Party,,,DEM,8,3,5
Clay,PCT 26 -  BUFFALO SPRING,Straight Party,,,DEM,12,5,7
Clay,PCT 27 -  PETROLIA,Straight Party,,,DEM,12,5,7
Clay,PCT 32 -  WINDTHORST,Straight Party,,,DEM,2,1,1
Clay,Total,Straight Party,,,DEM,243,116,127
Clay,PCT 1 -  SE HENRIETTA,Straight Party,,,LIB,4,2,2
Clay,PCT 6 -  BYERS,Straight Party,,,LIB,3,0,3
Clay,PCT 8 -  NE  HENRIETTA,Straight Party,,,LIB,2,2,0
Clay,PCT 9 -  NW HENRIETTA,Straight Party,,,LIB,3,2,1
Clay,PCT 10 -  VASHTI,Straight Party,,,LIB,0,0,0
Clay,PCT 11 -  DEAN,Straight Party,,,LIB,2,0,2
Clay,PCT 12 -  JOLLY,Straight Party,,,LIB,2,0,2
Clay,PCT 13 -  THORNBERRY,Straight Party,,,LIB,2,0,2
Clay,PCT 14 -  CHARLIE,Straight Party,,,LIB,0,0,0
Clay,PCT 15 -  SW HENRIETTA,Straight Party,,,LIB,1,0,1
Clay,PCT 17 -  ARROWHEAD,Straight Party,,,LIB,1,0,1
Clay,PCT 20 -  MIDWAY,Straight Party,,,LIB,0,0,0
Clay,PCT 24 -  BELLEVUE,Straight Party,,,LIB,0,0,0
Clay,PCT 26 -  BUFFALO SPRING,Straight Party,,,LIB,0,0,0
Clay,PCT 27 -  PETROLIA,Straight Party,,,LIB,0,0,0
Clay,PCT 32 -  WINDTHORST,Straight Party,,,LIB,0,0,0
Clay,Total,Straight Party,,,LIB,20,6,14
Clay,PCT 1 -  SE HENRIETTA,Straight Party,,,GRN,0,0,0
Clay,PCT 6 -  BYERS,Straight Party,,,GRN,0,0,0
Clay,PCT 8 -  NE  HENRIETTA,Straight Party,,,GRN,0,0,0
Clay,PCT 9 -  NW HENRIETTA,Straight Party,,,GRN,0,0,0
Clay,PCT 10 -  VASHTI,Straight Party,,,GRN,0,0,0
Clay,PCT 11 -  DEAN,Straight Party,,,GRN,2,2,0
Clay,PCT 12 -  JOLLY,Straight Party,,,GRN,0,0,0
Clay,PCT 13 -  THORNBERRY,Straight Party,,,GRN,1,0,1
Clay,PCT 14 -  CHARLIE,Straight Party,,,GRN,0,0,0
Clay,PCT 15 -  SW HENRIETTA,Straight Party,,,GRN,0,0,0
Clay,PCT 17 -  ARROWHEAD,Straight Party,,,GRN,0,0,0
Clay,PCT 20 -  MIDWAY,Straight Party,,,GRN,0,0,0
Clay,PCT 24 -  BELLEVUE,Straight Party,,,GRN,0,0,0
Clay,PCT 26 -  BUFFALO SPRING,Straight Party,,,GRN,0,0,0
Clay,PCT 27 -  PETROLIA,Straight Party,,,GRN,1,0,1
Clay,PCT 32 -  WINDTHORST,Straight Party,,,GRN,0,0,0
Clay,Total,Straight Party,,,GRN,4,2,2
Clay,PCT 1 -  SE HENRIETTA,President,,Donald J. Trump / Mike Pence,REP,481,284,197
Clay,PCT 6 -  BYERS,President,,Donald J. Trump / Mike Pence,REP,253,52,201
Clay,PCT 8 -  NE  HENRIETTA,President,,Donald J. Trump / Mike Pence,REP,460,277,183
Clay,PCT 9 -  NW HENRIETTA,President,,Donald J. Trump / Mike Pence,REP,276,165,111
Clay,PCT 10 -  VASHTI,President,,Donald J. Trump / Mike Pence,REP,164,58,106
Clay,PCT 11 -  DEAN,President,,Donald J. Trump / Mike Pence,REP,549,172,377
Clay,PCT 12 -  JOLLY,President,,Donald J. Trump / Mike Pence,REP,174,58,116
Clay,PCT 13 -  THORNBERRY,President,,Donald J. Trump / Mike Pence,REP,82,20,62
Clay,PCT 14 -  CHARLIE,President,,Donald J. Trump / Mike Pence,REP,101,16,85
Clay,PCT 15 -  SW HENRIETTA,President,,Donald J. Trump / Mike Pence,REP,200,124,76
Clay,PCT 17 -  ARROWHEAD,President,,Donald J. Trump / Mike Pence,REP,574,229,345
Clay,PCT 20 -  MIDWAY,President,,Donald J. Trump / Mike Pence,REP,291,146,145
Clay,PCT 24 -  BELLEVUE,President,,Donald J. Trump / Mike Pence,REP,199,63,136
Clay,PCT 26 -  BUFFALO SPRING,President,,Donald J. Trump / Mike Pence,REP,129,48,81
Clay,PCT 27 -  PETROLIA,President,,Donald J. Trump / Mike Pence,REP,287,56,231
Clay,PCT 32 -  WINDTHORST,President,,Donald J. Trump / Mike Pence,REP,157,21,136
Clay,Total,President,,Donald J. Trump / Mike Pence,REP,4377,1789,2588
Clay,PCT 1 -  SE HENRIETTA,President,,Hillary Clinton / Tim Kaine,DEM,71,53,18
Clay,PCT 6 -  BYERS,President,,Hillary Clinton / Tim Kaine,DEM,37,12,25
Clay,PCT 8 -  NE  HENRIETTA,President,,Hillary Clinton / Tim Kaine,DEM,70,39,31
Clay,PCT 9 -  NW HENRIETTA,President,,Hillary Clinton / Tim Kaine,DEM,43,24,19
Clay,PCT 10 -  VASHTI,President,,Hillary Clinton / Tim Kaine,DEM,25,12,13
Clay,PCT 11 -  DEAN,President,,Hillary Clinton / Tim Kaine,DEM,36,8,28
