counties,desc,desc2,sheet,skip,county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,provisional_counted,mail,absentee,under_votes,over_votes,(other),U.S. Senate,U.S. House,State Senate,State House,Notes
Bowie,pdf/xlsx,,,,,,,,,,,,,,,,,,,,,,,,
Brazoria,csv,long,,,political_subdivision,precinct_number,race_name,|District,party_code,candidate_name,,early_votes,election_votes,total provisional ballots,total provisional ballots counted,,,,,,,U. S. Representative,State Senator,State Representative,
Brazos,csv,long,,,political_subdivision,precinct_number,race_name,|DISTRICT,election_name,candidate_name,,Early Voting Votes,election_votes,total provisional ballots,total provisional ballots counted,,early_votes,,,,,US REPRESENTATIVE,STATE SENATOR,STATE REPRESENTATIVE,
Brewster,NA,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,NA,,,,,,,,,,,,,,,,,,,,,,,,
Brown,NA,,,,,,,,,,,,,,,,,,,,,,,,
Burleson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Burnet,NA,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell,NA,,,,,,,,,,,,,,,,,,,,,non,,,
Calhoun,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Callahan,NA,,,,,,,,,,,,,,,,,,,,,,,,
Cameron,fw179(ASC),,,,,,,,,,,,,,,,,,,,,,,,
Camp,NA,,,,,,,,,,,,,,,,,,,,,,,,
Carson,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Cass,NA,,,,,,,,,,,,,,,,,,,,,,,,
Castro,NA,,,,,,,,,,,,,,,,,,,,,,,,
Chambers,NA,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,NA,,,,,,,,,,,,,,,,,,,,,,,,
Childress,fw161,,,,,,,,,,,,,,,,,,,,,,,,
Clay,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Cochran,NA,,,,,,,,,,,,,,,,,,,,,,,,
Coke,NA,,,,,,,,,,,,,,,,,,,,,,,,
Coleman,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Collin,NA,,,,,,,,,,,,,,,,,,,,,,,,
Collingsworth,NA,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Comal,NA,,,,,,,,,,,,,,,,,,,,,,,,
Comanche,NA,,,,,,,,,,,,,,,,,,,,,,,,
Concho,NA,,,,,,,,,,,,,,,,,,,,,,,,
Cooke,NA,,,,,,,,,,,,,,,,,,,,,,,,
Coryell,NA,,,,,,,,,,,,,,,,,,,,,,,,
Cottle,NA,,,,,,,,,,,,,,,,,,,,,,,,
Crane,NA,,,,,,,,,,,,,,,,,,,,,,,,
Crockett,NA,,,,,,,,,,,,,,,,,,,,,,,,
Crosby,NA,,,,,,,,,,,,,,,,,,,,,,,,
Culberson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Dallam,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,NA,,,,,,,,,,,,,,,,,,,,,,,,
Dawson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Deaf Smith,NA,,,,,,,,,,,,,,,,,,,,,,,,
Delta,NA,,,,,,,,,,,,,,,,,,,,,,,,
Denton,NA,,,,,,,,,,,,,,,,,,,,,,,,
DeWitt,NA,,,,,,,,,,,,,,,,,,,,,,,,
Dickens,NA,,,,,,,,,,,,,,,,,,,,,,,,
Dimmit,NA,,,,,,,,,,,,,,,,,,,,,,,,
Donley,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Duval,NA,,,,,,,,,,,,,,,,,,,,,,,,
Eastland,NA,,,,,,,,,,,,,,,,,,,,,,,,
Ector,NA,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,fw209(ASC),,,,,,,,,,,,,,,,,,,,,,,,
Ellis,fw179,,,,,,,,,,,,,,,,,,,,,,,,
El Paso,fw263,,,,,,,,,,,,,,,,,,,,,,,,Uses (D) for DEM and (R) for REP for party (fixed by parser).
Erath,NA,,,,,,,,,,,,,,,,,,,,,,,,
Falls,NA,,,,,,,,,,,,,,,,,,,,,,,,
Fannin,NA,,,,,,,,,,,,,,,,,,,,,,,,
Fayette,NA,,,,,,,,,,,,,,,,,,,,,,,,
Fisher,NA,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,NA,,,,,,,,,,,,,,,,,,,,,,,,
Foard,NA,,,,,,,,,,,,,,,,,,,,,,,,
Fort Bend,NA,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,NA,,,,,,,,,,,,,,,,,,,,,,,,
Freestone,NA,,,,,,,,,,,,,,,,,,,,,,,,
Frio,NA,,,,,,,,,,,,,,,,,,,,,,,,
Gaines,NA,,,,,,,,,,,,,,,,,,,,,,,,
Galveston,NA,,,,,,,,,,,,,,,,,,,,,,,,
Garza,NA,,,,,,,,,,,,,,,,,,,,,,,,
Gillespie,NA,,,,,,,,,,,,,,,,,,,,,,,,
Glasscock,NA,,,,,,,,,,,,,,,,,,,,,,,,
Goliad,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales,NA,,,,,,,,,,,,,,,,,,,,,,,,
Gray,NA,,,,,,,,,,,,,,,,,,,,,,,,
Grayson,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Gregg,NA,,,,,,,,,,,,,,,,,,,,,,,,
Grimes,NA,,,,,,,,,,,,,,,,,,,,,,,,
Guadalupe,fw263,,,,,,,,,,,,,,,,,,,,,,,,"Has ""County  Commissioner"" with 2 spaces (fixed by parser)."
Hale,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hall,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hansford,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hardeman,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hardin,NA,,,,,,,,,,,,,,,,,,,,,,,,
Harris,NA,,,,,,,,,,,,,,,,,,,,,,,,
Harrison,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hartley,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Haskell,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hays,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hemphill,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hill,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hockley,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Hood,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,NA,,,,,,,,,,,,,,,,,,,,,,,,
Houston,NA,,,,,,,,,,,,,,,,,,,,,,,,
Howard,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hudspeth,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hunt,NA,,,,,,,,,,,,,,,,,,,,,,,,
Hutchinson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Irion,NA,,,,,,,,,,,,,,,,,,,,,,,,
Jack,NA,,,,,,,,,,,,,,,,,,,,,,,,
