office,district,candidate,incumbent,party,votes,pct
U. S. Senator,,John Cornyn,False,REP,2496243,55.30
U. S. Senator,,Ron Kirk,False,DEM,1955758,43.33
U. S. Senator,,Scott Lanier Jameson,False,LIB,35538,0.79
U. S. Senator,,Roy H. Williams,False,GRN,25051,0.55
U. S. Senator,,"James W. ""Jim"" Wright",False,WI,1422,0.03
U. S. Senator,,Total,,,4514012,
U. S. Representative,1,John Lawrence,False,REP,66654,43.55
U. S. Representative,1,Max Sandlin,True,DEM,86384,56.45
U. S. Representative,1,Total,,,153038,
U. S. Representative,2,Van Brookshire,False,REP,53656,38.19
U. S. Representative,2,Jim Turner,True,DEM,85492,60.85
U. S. Representative,2,Peter Beach,False,LIB,1353,0.96
U. S. Representative,2,Total,,,140501,
U. S. Representative,3,Sam Johnson,True,REP,113974,73.95
U. S. Representative,3,Manny Molera,False,DEM,37503,24.33
U. S. Representative,3,John Davis,False,LIB,2656,1.72
U. S. Representative,3,Total,,,154133,
U. S. Representative,4,John Graves,False,REP,67939,40.37
U. S. Representative,4,Ralph M. Hall,True,DEM,97304,57.82
U. S. Representative,4,Barbara Robinson,False,LIB,3042,1.81
U. S. Representative,4,Total,,,168285,
U. S. Representative,5,Jeb Hensarling,False,REP,81439,58.21
U. S. Representative,5,Ron Chapman,False,DEM,56330,40.26
U. S. Representative,5,Dan Michalski,False,LIB,1283,0.92
U. S. Representative,5,Thomas J. Kemper,False,GRN,856,0.61
U. S. Representative,5,Total,,,139908,
U. S. Representative,6,Joe Barton,True,REP,115396,70.35
U. S. Representative,6,Felix Alvarado,False,DEM,45404,27.68
U. S. Representative,6,Frank Brady,False,LIB,1992,1.21
U. S. Representative,6,B.J. Armstrong,False,GRN,1245,0.76
U. S. Representative,6,Total,,,164037,
U. S. Representative,7,John Culberson,True,REP,96795,89.19
U. S. Representative,7,Drew Parks,False,LIB,11674,10.76
U. S. Representative,7,John R. SkonePalmer,False,WI,58,0.05
U. S. Representative,7,Total,,,108527,
U. S. Representative,8,Kevin Brady,True,REP,140575,93.14
U. S. Representative,8,Gil Guillory,False,LIB,10351,6.86
U. S. Representative,8,Total,,,150926,
U. S. Representative,9,Paul Williams,False,REP,59635,40.31
U. S. Representative,9,Nick Lampson,True,DEM,86710,58.60
U. S. Representative,9,Dean L. Tucker,False,LIB,1613,1.09
U. S. Representative,9,Total,,,147958,
U. S. Representative,10,Lloyd Doggett,True,DEM,114428,84.37
U. S. Representative,10,Michele Messina,False,LIB,21196,15.63
U. S. Representative,10,Total,,,135624,
U. S. Representative,11,Ramsey Farley,False,REP,68236,47.11
U. S. Representative,11,Chet Edwards,True,DEM,74678,51.55
U. S. Representative,11,Andrew Paul Farris,False,LIB,1943,1.34
U. S. Representative,11,Total,,,144857,
