office,district,candidate,incumbent,party,votes,pct
U.S. Senate,,JOHN CORNYN,FALSE,REP,478825,77.32
U.S. Senate,,LAWRENCE CRANBERG,FALSE,REP,17757,2.87
U.S. Senate,,DOUGLAS G. DEFFENBAUGH,FALSE,REP,43611,7.04
U.S. Senate,,BRUCE RUSTY LANG,FALSE,REP,46907,7.57
U.S. Senate,,DUDLEY F. MOONEY,FALSE,REP,32202,5.2
U.S. Senate,,Total,,,619302,
U. S. Representative,1,JOHN LAWRENCE,FALSE,REP,13875,100
U. S. Representative,1,Total,,,13875,
U. S. Representative,2,VAN BROOKSHIRE,FALSE,REP,10962,100
U. S. Representative,2,Total,,,10962,
U. S. Representative,3,"THOMAS ""TOM"" CAIAZZO",FALSE,REP,3184,15.66
U. S. Representative,3,SAM JOHNSON,TRUE,REP,17153,84.34
U. S. Representative,3,Total,,,20337,
U. S. Representative,4,EDWARD G. CONGER,FALSE,REP,9627,30.65
U. S. Representative,4,JOHN GRAVES,FALSE,REP,21781,69.35
U. S. Representative,4,Total,,,31408,
U. S. Representative,5,MIKE ARMOUR,FALSE,REP,3247,16.6
U. S. Representative,5,DAN HAGOOD,FALSE,REP,3628,18.55
U. S. Representative,5,JEB HENSARLING,FALSE,REP,10475,53.56
U. S. Representative,5,PHIL SUDAN,FALSE,REP,1632,8.35
U. S. Representative,5,FRED A. WOOD,FALSE,REP,574,2.94
U. S. Representative,5,Total,,,19556,
U. S. Representative,6,JOE BARTON,TRUE,REP,23758,100
U. S. Representative,6,Total,,,23758,
U. S. Representative,7,JOHN CULBERSON,TRUE,REP,17843,100
U. S. Representative,7,Total,,,17843,
U. S. Representative,8,KEVIN BRADY,TRUE,REP,31116,100
U. S. Representative,8,Total,,,31116,
U. S. Representative,9,PAUL WILLIAMS,FALSE,REP,10782,100
U. S. Representative,9,Total,,,10782,
U. S. Representative,11,ROB CURNOCK,FALSE,REP,5792,21.27
U. S. Representative,11,RAMSEY FARLEY,FALSE,REP,17985,66.05
U. S. Representative,11,"JAMES ""DUB"" MAINES",FALSE,REP,3452,12.68
U. S. Representative,11,Total,,,27229,
U. S. Representative,12,KAY GRANGER,TRUE,REP,20769,87.13
U. S. Representative,12,PHILIP HILLERY,FALSE,REP,3067,12.87
U. S. Representative,12,Total,,,23836,
U. S. Representative,13,MAC THORNBERRY,TRUE,REP,35367,100
U. S. Representative,13,Total,,,35367,
U. S. Representative,14,RON PAUL,TRUE,REP,22715,100
U. S. Representative,14,Total,,,22715,
U. S. Representative,17,ROB BECKHAM,FALSE,REP,21662,100
U. S. Representative,17,Total,,,21662,
U. S. Representative,18,PHILLIP J. ABBOTT,FALSE,REP,4252,100
U. S. Representative,18,Total,,,4252,
U. S. Representative,19,LARRY COMBEST,TRUE,REP,30440,100
U. S. Representative,19,Total,,,30440,
U. S. Representative,21,LAMAR SMITH,TRUE,REP,49752,100
U. S. Representative,21,Total,,,49752,
U. S. Representative,22,TOM DELAY,TRUE,REP,22379,79.86
U. S. Representative,22,MIKE FJETLAND,FALSE,REP,5645,20.14
U. S. Representative,22,Total,,,28024,
U. S. Representative,23,HENRY BONILLA,TRUE,REP,12881,100
U. S. Representative,23,Total,,,12881,
U. S. Representative,24,MIKE RIVERA ORTEGA,FALSE,REP,5770,100
U. S. Representative,24,Total,,,5770,
U. S. Representative,25,TOM REISER,FALSE,REP,10995,100
U. S. Representative,25,Total,,,10995,
U. S. Representative,26,SCOTT ARMEY,FALSE,REP,11493,45.4
U. S. Representative,26,MICHAEL C. BURGESS,FALSE,REP,5703,22.53
U. S. Representative,26,DAVID GULLING,FALSE,REP,204,0.81
U. S. Representative,26,DAVE KOVATCH,FALSE,REP,675,2.67
U. S. Representative,26,KEITH A. SELF,FALSE,REP,5610,22.16
U. S. Representative,26,ROGER SESSIONS,FALSE,REP,1630,6.44
U. S. Representative,26,Total,,,25315,
U. S. Representative,27,PAT AHUMADA,FALSE,REP,9614,100
U. S. Representative,27,Total,,,9614,
U. S. Representative,28,"GABRIEL PERALES, JR",FALSE,REP,4422,100
U. S. Representative,28,Total,,,4422,
U. S. Representative,30,RON BUSH,FALSE,REP,3958,75.33
U. S. Representative,30,ZACH RADER,FALSE,REP,1296,24.67
U. S. Representative,30,Total,,,5254,
U. S. Representative,31,FLYNN ADCOCK,FALSE,REP,1117,3.18
U. S. Representative,31,BRAD BARTON,FALSE,REP,5751,16.35
U. S. Representative,31,JOHN R. CARTER,FALSE,REP,9144,26
U. S. Representative,31,C. PATRICK MEECE,FALSE,REP,3653,10.39
U. S. Representative,31,ROY STRECKFUSS,FALSE,REP,898,2.55
U. S. Representative,31,TERRY S. WARD,FALSE,REP,600,1.71
U. S. Representative,31,PETER WAREING,FALSE,REP,12987,36.93
U. S. Representative,31,ERIC WHITFIELD,FALSE,REP,1014,2.88
U. S. Representative,31,Total,,,35164,
U. S. Representative,32,DANNY DAVIS,FALSE,REP,1391,6.51
U. S. Representative,32,PETE SESSIONS,FALSE,REP,19973,93.49
U. S. Representative,32,Total,,,21364,
Governor,,RICK PERRY,TRUE,REP,620463,100
Governor,,Total,,,620463,
Lieutenant Governor,,DAVID DEWHURST,FALSE,REP,492366,78.52
Lieutenant Governor,,TOM KELLY,FALSE,REP,134702,21.48
Lieutenant Governor,,Total,,,627068,
Attorney General,,GREG ABBOTT,FALSE,REP,540022,100
Attorney General,,Total,,,540022,
Comptroller of Public Accounts,,CAROLE KEETON RYLANDER,TRUE,REP,566142,100
Comptroller of Public Accounts,,Total,,,566142,
Commissioner of the General Land Office,,KENN GEORGE,FALSE,REP,252802,43.49
Commissioner of the General Land Office,,JERRY PATTERSON,FALSE,REP,328523,56.51
Commissioner of the General Land Office,,Total,,,581325,
Commissioner of Agriculture,,SUSAN COMBS,TRUE,REP,544384,100
Commissioner of Agriculture,,Total,,,544384,
Railroad Commissioner,,MICHAEL L. WILLIAMS,TRUE,REP,534234,100
Railroad Commissioner,,Total,,,534234,
"Chief Justice, Supreme Court",,TOM PHILLIPS,TRUE,REP,535988,100
"Chief Justice, Supreme Court",,Total,,,535988,
"Justice, Supreme Court, Place 1",,MIKE SCHNEIDER,FALSE,REP,500307,100
"Justice, Supreme Court, Place 1",,Total,,,500307,
"Justice, Supreme Court, Place 2",,JOHN CAYCE,FALSE,REP,150581,26.39
"Justice, Supreme Court, Place 2",,ELIZABETH RAY,FALSE,REP,244893,42.93
"Justice, Supreme Court, Place 2",,DALE WAINWRIGHT,FALSE,REP,175019,30.68
"Justice, Supreme Court, Place 2",,Total,,,570493,
"Justice, Supreme Court, Place 3  Unexpired Term",,WALLACE B. JEFFERSON,TRUE,REP,333369,61.8
"Justice, Supreme Court, Place 3  Unexpired Term",,SAM LEE,FALSE,REP,206093,38.2
"Justice, Supreme Court, Place 3  Unexpired Term",,Total,,,539462,
"Justice, Supreme Court, Place 4  Unexpired Term",,XAVIER RODRIGUEZ,TRUE,REP,266648,46.5
"Justice, Supreme Court, Place 4  Unexpired Term",,STEVEN WAYNE SMITH,FALSE,REP,306730,53.5
"Justice, Supreme Court, Place 4  Unexpired Term",,Total,,,573378,
Judge Court of Criminal Appeals,1,CAROLYN DENERO,FALSE,REP,125402,22.82
Judge Court of Criminal Appeals,1,TOM PRICE,TRUE,REP,257980,46.95
Judge Court of Criminal Appeals,1,TIM TAFT,FALSE,REP,166099,30.23
Judge Court of Criminal Appeals,1,Total,,,549481,
Judge Court of Criminal Appeals,2,STEVE MANSFIELD,FALSE,REP,131773,25
Judge Court of Criminal Appeals,2,DAVID RICHARDS,FALSE,REP,160478,30.44
Judge Court of Criminal Appeals,2,PAUL WOMACK,TRUE,REP,234865,44.56
Judge Court of Criminal Appeals,2,Total,,,527116,
Judge Court of Criminal Appeals,3,CATHY COCHRAN,TRUE,REP,228137,42.94
Judge Court of Criminal Appeals,3,BLAIR DAVIS,FALSE,REP,59971,11.29
Judge Court of Criminal Appeals,3,CONNIE J. KELLEY,FALSE,REP,97596,18.37
Judge Court of Criminal Appeals,3,GUY WILLIAMS,FALSE,REP,145602,27.4
Judge Court of Criminal Appeals,3,Total,,,531306,
Member State Board of Education,1,TRINI MUNOZ,FALSE,REP,18556,100
Member State Board of Education,1,Total,,,18556,
Member State Board of Education,5,JIM DEATS,FALSE,REP,24874,42.03
Member State Board of Education,5,DAN MONTGOMERY,TRUE,REP,34304,57.97
