office,district,candidate,incumbent,party,votes,pct
U. S. Representative,26,SCOTT ARMEY,FALSE,REP,8737,45.37
U. S. Representative,26,MICHAEL C. BURGESS,FALSE,REP,10522,54.63
U. S. Representative,26,Total,,,19259,
U. S. Representative,31,JOHN R. CARTER,FALSE,REP,13150,56.84
U. S. Representative,31,PETER WAREING,FALSE,REP,9986,43.16
U. S. Representative,31,Total,,,23136,
"Justice, Supreme Court, Place 2",,ELIZABETH RAY,FALSE,REP,102557,45.11
"Justice, Supreme Court, Place 2",,DALE WAINWRIGHT,FALSE,REP,124785,54.89
"Justice, Supreme Court, Place 2",,Total,,,227342,
Judge Court of Criminal Appeals,1,TOM PRICE,TRUE,REP,121039,57.75
Judge Court of Criminal Appeals,1,TIM TAFT,FALSE,REP,88566,42.25
Judge Court of Criminal Appeals,1,Total,,,209605,
Judge Court of Criminal Appeals,2,DAVID RICHARDS,FALSE,REP,88478,43.52
Judge Court of Criminal Appeals,2,PAUL WOMACK,TRUE,REP,114844,56.48
Judge Court of Criminal Appeals,2,Total,,,203322,
Judge Court of Criminal Appeals,3,CATHY COCHRAN,TRUE,REP,133463,63
Judge Court of Criminal Appeals,3,GUY WILLIAMS,FALSE,REP,78369,37
Judge Court of Criminal Appeals,3,Total,,,211832,
State Senate,4,MICHAEL GALLOWAY,FALSE,REP,5320,46.11
State Senate,4,TOMMY WILLIAMS,FALSE,REP,6218,53.89
State Senate,4,Total,,,11538,
State Representative,15,ROB EISSLER,FALSE,REP,3937,68.94
State Representative,15,VICKY RUDY,FALSE,REP,1774,31.06
State Representative,15,Total,,,5711,
State Representative,20,DAN GATTIS,FALSE,REP,3918,57.26
State Representative,20,JOHN WHITWORTH,FALSE,REP,2924,42.74
State Representative,20,Total,,,6842,
State Representative,28,GARY GATES,FALSE,REP,2212,42.26
State Representative,28,GLENN HEGAR,FALSE,REP,3022,57.74
State Representative,28,Total,,,5234,
State Representative,50,BOB RICHARDSON,FALSE,REP,925,30.78
State Representative,50,JACK STICK,FALSE,REP,2080,69.22
State Representative,50,Total,,,3005,
State Representative,70,KEN PAXTON,FALSE,REP,2775,63.33
State Representative,70,W.H. BILL VITZ,FALSE,REP,1607,36.67
State Representative,70,Total,,,4382,
State Representative,89,JODIE LAUBENBERG,FALSE,REP,2374,52.98
State Representative,89,MIKE LAWSHE,FALSE,REP,2107,47.02
State Representative,89,Total,,,4481,
State Representative,107,LARRY JEFFUS,FALSE,REP,1663,46.36
State Representative,107,BILL KEFFER,FALSE,REP,1924,53.64
State Representative,107,Total,,,3587,
State Representative,128,TOM BUTLER,FALSE,REP,1651,49.64
State Representative,128,WAYNE SMITH,FALSE,REP,1675,50.36
