county,office,district,candidate,incumbent,party,votes,pct
BEXAR,State Representative,123,Melissa Aguillon,FALSE,DEM,1257,17.69
BEXAR,State Representative,123,Diego Bernal,FALSE,DEM,3372,47.46
BEXAR,State Representative,123,Roger V. Gary,FALSE,LIB,103,1.45
BEXAR,State Representative,123,Paul Ingmundson,FALSE,GRN,81,1.14
BEXAR,State Representative,123,Walter Martinez,FALSE,DEM,780,10.98
BEXAR,State Representative,123,Nunzio Previtera,FALSE,REP,1512,21.28
BEXAR,State Representative,123,Total,,,7105,
BASTROP,State Representative,17,Shelley Cartier,FALSE,DEM,151,3.68
BASTROP,State Representative,17,Linda Curtis,FALSE,IND,588,14.33
BASTROP,State Representative,17,John Cyrier,FALSE,REP,1394,33.98
BASTROP,State Representative,17,Brent Golemon,FALSE,REP,1290,31.45
BASTROP,State Representative,17,Ty McDonald,FALSE,DEM,679,16.55
BASTROP,State Representative,17,Total,,,4102,
CALDWELL,State Representative,17,Shelley Cartier,FALSE,DEM,81,5.22
CALDWELL,State Representative,17,Linda Curtis,FALSE,IND,132,8.51
CALDWELL,State Representative,17,John Cyrier,FALSE,REP,943,60.76
CALDWELL,State Representative,17,Brent Golemon,FALSE,REP,269,17.33
CALDWELL,State Representative,17,Ty McDonald,FALSE,DEM,127,8.18
CALDWELL,State Representative,17,Total,,,1552,
GONZALES,State Representative,17,Shelley Cartier,FALSE,DEM,23,3.27
GONZALES,State Representative,17,Linda Curtis,FALSE,IND,24,3.41
GONZALES,State Representative,17,John Cyrier,FALSE,REP,466,66.19
GONZALES,State Representative,17,Brent Golemon,FALSE,REP,139,19.74
GONZALES,State Representative,17,Ty McDonald,FALSE,DEM,52,7.39
GONZALES,State Representative,17,Total,,,704,
KARNES,State Representative,17,Shelley Cartier,FALSE,DEM,25,4.82
KARNES,State Representative,17,Linda Curtis,FALSE,IND,10,1.93
KARNES,State Representative,17,John Cyrier,FALSE,REP,388,74.76
KARNES,State Representative,17,Brent Golemon,FALSE,REP,66,12.72
KARNES,State Representative,17,Ty McDonald,FALSE,DEM,30,5.78
KARNES,State Representative,17,Total,,,519,
LEE,State Representative,17,Shelley Cartier,FALSE,DEM,11,1.46
LEE,State Representative,17,Linda Curtis,FALSE,IND,292,38.73
LEE,State Representative,17,John Cyrier,FALSE,REP,329,43.63
LEE,State Representative,17,Brent Golemon,FALSE,REP,103,13.66
LEE,State Representative,17,Ty McDonald,FALSE,DEM,19,2.52
LEE,State Representative,17,Total,,,754,
BEXAR,State Senate,26 Unexpired Term,Trey Martinez Fischer,FALSE,DEM,8232,43.28
BEXAR,State Senate,26 Unexpired Term,Alma Perez Jackson,FALSE,REP,3892,20.46
BEXAR,State Senate,26 Unexpired Term,Jose Menendez,FALSE,DEM,4824,25.36
BEXAR,State Senate,26 Unexpired Term,Joan Pedrotti,FALSE,REP,1427,7.5
BEXAR,State Senate,26 Unexpired Term,Al Suarez,FALSE,DEM,644,3.39
BEXAR,State Senate,26 Unexpired Term,Total,,,19019,
