county,office,district,candidate,incumbent,party,votes,pct
AUSTIN,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,1547,49.52
AUSTIN,State Representative,13,Leighton Schubert,FALSE,REP,1577,50.48
AUSTIN,State Representative,13,Total,,,3124,
BURLESON,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,72,5.75
BURLESON,State Representative,13,Leighton Schubert,FALSE,REP,1181,94.25
BURLESON,State Representative,13,Total,,,1253,
COLORADO,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,514,63.46
COLORADO,State Representative,13,Leighton Schubert,FALSE,REP,296,36.54
COLORADO,State Representative,13,Total,,,810,
FAYETTE,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,641,47.94
FAYETTE,State Representative,13,Leighton Schubert,FALSE,REP,696,52.06
FAYETTE,State Representative,13,Total,,,1337,
GRIMES,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,353,48.82
GRIMES,State Representative,13,Leighton Schubert,FALSE,REP,370,51.18
GRIMES,State Representative,13,Total,,,723,
LAVACA,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,547,62.3
LAVACA,State Representative,13,Leighton Schubert,FALSE,REP,331,37.7
LAVACA,State Representative,13,Total,,,878,
WASHINGTON,State Representative,13,Carolyn Cerny Bilski,FALSE,REP,1089,36.42
WASHINGTON,State Representative,13,Leighton Schubert,FALSE,REP,1901,63.58
WASHINGTON,State Representative,13,Total,,,2990,
BEXAR,State Representative,123,Diego Bernal,FALSE,DEM,5170,63.67
BEXAR,State Representative,123,Nunzio Previtera,FALSE,REP,2950,36.33
BEXAR,State Representative,123,Total,,,8120,
BASTROP,State Representative,17,John Cyrier,FALSE,REP,1692,42.18
BASTROP,State Representative,17,Brent Golemon,FALSE,REP,2319,57.82
BASTROP,State Representative,17,Total,,,4011,
CALDWELL,State Representative,17,John Cyrier,FALSE,REP,1119,69.76
CALDWELL,State Representative,17,Brent Golemon,FALSE,REP,485,30.24
CALDWELL,State Representative,17,Total,,,1604,
GONZALES,State Representative,17,John Cyrier,FALSE,REP,563,76.29
GONZALES,State Representative,17,Brent Golemon,FALSE,REP,175,23.71
GONZALES,State Representative,17,Total,,,738,
KARNES,State Representative,17,John Cyrier,FALSE,REP,473,83.87
KARNES,State Representative,17,Brent Golemon,FALSE,REP,91,16.13
KARNES,State Representative,17,Total,,,564,
LEE,State Representative,17,John Cyrier,FALSE,REP,302,28.68
LEE,State Representative,17,Brent Golemon,FALSE,REP,751,71.32
LEE,State Representative,17,Total,,,1053,
BEXAR,State Senate,26  Unexpired Term,Trey Martinez Fischer,FALSE,DEM,9635,40.95
BEXAR,State Senate,26  Unexpired Term,Jose Menendez,FALSE,DEM,13891,59.05
BEXAR,State Senate,26  Unexpired Term,Total,,,23526,
