office,district,candidate,incumbent,party,votes,pct
State Representative,123,Melissa Aguillon,FALSE,DEM,1257,17.69
State Representative,123,Diego Bernal,FALSE,DEM,3372,47.46
State Representative,123,Roger V. Gary,FALSE,LIB,103,1.45
State Representative,123,Paul Ingmundson,FALSE,GRN,81,1.14
State Representative,123,Walter Martinez,FALSE,DEM,780,10.98
State Representative,123,Nunzio Previtera,FALSE,REP,1512,21.28
State Representative,123,Total,,,7105,
State Representative,17,Shelley Cartier,FALSE,DEM,291,3.81
State Representative,17,Linda Curtis,FALSE,IND,1046,13.71
State Representative,17,John Cyrier,FALSE,REP,3520,46.13
State Representative,17,Brent Golemon,FALSE,REP,1867,24.47
State Representative,17,Ty McDonald,FALSE,DEM,907,11.89
State Representative,17,Total,,,7631,
State Senate,26 Unexpired Term,Trey Martinez Fischer,FALSE,DEM,8232,43.28
State Senate,26 Unexpired Term,Alma Perez Jackson,FALSE,REP,3892,20.46
State Senate,26 Unexpired Term,Jose Menendez,FALSE,DEM,4824,25.36
State Senate,26 Unexpired Term,Joan Pedrotti,FALSE,REP,1427,7.5
State Senate,26 Unexpired Term,Al Suarez,FALSE,DEM,644,3.39
State Senate,26 Unexpired Term,Total,,,19019,
