county,precinct,office,district,candidate,party,early_voting,election day,votes
Coke,1,Ballots Cast,,,REP,,,133
Coke,1,U.S. Senate,,Dwayne Stovall,REP,14,15,29
Coke,1,U.S. Senate,,Chris Mapp,REP,0,0,0
Coke,1,U.S. Senate,,Steve Stockman,REP,5,13,18
Coke,1,U.S. Senate,,Linda Vega,REP,4,1,5
Coke,1,U.S. Senate,,Reid Reasor,REP,0,1,1
Coke,1,U.S. Senate,,Ken Cope,REP,1,4,5
Coke,1,U.S. Senate,,John Cornyn,REP,35,34,69
Coke,1,U.S. Senate,,Curt Cleaver,REP,0,0,0
Coke,1,U.S. Senate,,Over Votes,REP,0,0,0
Coke,1,U.S. Senate,,Under Votes,REP,1,5,6
Coke,1,U.S. House,11,Wade Brown,REP,17,25,42
Coke,1,U.S. House,11,Mike Conaway,REP,42,48,90
Coke,1,U.S. House,11,Over Votes,REP,0,0,0
Coke,1,U.S. House,11,Under Votes,REP,1,0,1
Coke,1,Governor,,Lisa Fritsch,REP,2,4,6
Coke,1,Governor,,Greg Abbott,REP,55,65,120
Coke,1,Governor,,SECEDE Kilgore,REP,0,1,1
Coke,1,Governor,,Miriam Martinez,REP,2,0,2
Coke,1,Governor,,Over Votes,REP,0,0,0
Coke,1,Governor,,Under Votes,REP,1,3,4
Coke,1,Lieutenant Governor,,Todd Staples,REP,18,23,41
Coke,1,Lieutenant Governor,,Jerry Patterson,REP,2,9,11
Coke,1,Lieutenant Governor,,David Dewhurst,REP,26,27,53
Coke,1,Lieutenant Governor,,Dan Patrick,REP,13,14,27
Coke,1,Lieutenant Governor,,Over Votes,REP,0,0,0
Coke,1,Lieutenant Governor,,Under Votes,REP,1,0,1
Coke,1,Attorney General,,Barry Smitherman,REP,24,30,54
Coke,1,Attorney General,,Ken Paxton,REP,15,14,29
Coke,1,Attorney General,,Dan Branch,REP,12,25,37
Coke,1,Attorney General,,Over Votes,REP,0,0,0
Coke,1,Attorney General,,Under Votes,REP,5,4,9
Coke,1,Ballots Cast,,,REP,,,133
Coke,1,Comptroller of Public Accounts,,Glenn Hegar,REP,9,13,22
Coke,1,Comptroller of Public Accounts,,Debra Medina,REP,12,13,25
Coke,1,Comptroller of Public Accounts,,Raul Torres,REP,0,2,2
Coke,1,Comptroller of Public Accounts,,Harvey Hilderbran,REP,35,36,71
Coke,1,Comptroller of Public Accounts,,Over Votes,REP,0,0,0
Coke,1,Comptroller of Public Accounts,,Under Votes,REP,3,9,12
Coke,1,Commissioner of the General Land Office,,David Watts,REP,22,20,42
Coke,1,Commissioner of the General Land Office,,George P. Bush,REP,36,51,87
