county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Red River,1,Ballots Cast,,,,,,,100
Red River,1,Straight Party,,,REP,1,16,16,33
Red River,1,Straight Party,,,DEM,1,2,3,6
Red River,1,Straight Party,,,LIB,0,0,0,0
Red River,1,Straight Party,,,GRN,0,0,0,0
Red River,1,Straight Party,,Over Votes,,0,1,0,1
Red River,1,Straight Party,,Under Votes,,10,15,35,60
Red River,1,U.S. Senate,,John Cornyn,,10,28,47,85
Red River,1,U.S. Senate,,David M. Alameel,,2,4,4,10
Red River,1,U.S. Senate,,Rebecca Paddock,,0,2,1,3
Red River,1,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0,0
Red River,1,U.S. Senate,,Over Votes,,0,0,0,0
Red River,1,U.S. Senate,,Under Votes,,0,0,2,2
Red River,1,U.S. House,4,John Ratcliffe,,10,27,46,83
Red River,1,U.S. House,4,Over Votes,,0,0,0,0
Red River,1,U.S. House,4,Under Votes,,2,7,8,17
Red River,1,Governor,,Greg Abbott,,10,28,49,87
Red River,1,Governor,,Wendy R. Davis,,2,6,5,13
Red River,1,Governor,,Kathie Glass,,0,0,0,0
Red River,1,Governor,,Brandon Parmer,,0,0,0,0
Red River,1,Governor,,Over Votes,,0,0,0,0
Red River,1,Governor,,Under Votes,,0,0,0,0
Red River,1,Lieutenant Governor,,Dan Patrick,,11,28,49,88
Red River,1,Lieutenant Governor,,Leticia Van de Putte,,1,5,4,10
Red River,1,Lieutenant Governor,,Robert D. Butler,,0,1,1,2
Red River,1,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0,0
Red River,1,Lieutenant Governor,,Over Votes,,0,0,0,0
Red River,1,Lieutenant Governor,,Under Votes,,0,0,0,0
Red River,1,Ballots Cast,,,,,,,100
Red River,1,Attorney General,,Ken Paxton,,10,28,48,86
Red River,1,Attorney General,,Sam Houston,,1,6,5,12
Red River,1,Attorney General,,Jamie Balagia,,1,0,1,2
Red River,1,Attorney General,,Jamar Osborne,,0,0,0,0
Red River,1,Attorney General,,Over Votes,,0,0,0,0
Red River,1,Attorney General,,Under Votes,,0,0,0,0
Red River,1,Comptroller of Public Accounts,,Glenn Hegar,,10,27,43,80
Red River,1,Comptroller of Public Accounts,,Mike Collier,,1,6,7,14
Red River,1,Comptroller of Public Accounts,,Ben Sanders,,1,0,2,3
Red River,1,Comptroller of Public Accounts,,Deb Shafto,,0,0,0,0
Red River,1,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
