county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Robertson,1 - Calvert,Straight Party,,REP,Republican Party,108,,,
Robertson,2 - Hearne,Straight Party,,REP,Republican Party,88,,,
Robertson,3 - Wheelock,Straight Party,,REP,Republican Party,76,,,
Robertson,4 - Bald Prairie,Straight Party,,REP,Republican Party,69,,,
Robertson,5 - Bremond,Straight Party,,REP,Republican Party,144,,,
Robertson,6 - Franklin,Straight Party,,REP,Republican Party,166,,,
Robertson,7 - Mumford,Straight Party,,REP,Republican Party,2,,,
Robertson,8 - Seale,Straight Party,,REP,Republican Party,72,,,
Robertson,11 - Benchley,Straight Party,,REP,Republican Party,152,,,
Robertson,13 - Elliott,Straight Party,,REP,Republican Party,20,,,
Robertson,16 - Easterly,Straight Party,,REP,Republican Party,19,,,
Robertson,18 - Ridge,Straight Party,,REP,Republican Party,12,,,
Robertson,19 - New Baden,Straight Party,,REP,Republican Party,89,,,
Robertson,22 - Teal Center,Straight Party,,REP,Republican Party,17,,,
Robertson,23 - Christian Faith,Straight Party,,REP,Republican Party,34,,,
Robertson,1 - Calvert,Straight Party,,DEM,Democratic Party,284,,,
Robertson,2 - Hearne,Straight Party,,DEM,Democratic Party,163,,,
Robertson,3 - Wheelock,Straight Party,,DEM,Democratic Party,12,,,
Robertson,4 - Bald Prairie,Straight Party,,DEM,Democratic Party,13,,,
Robertson,5 - Bremond,Straight Party,,DEM,Democratic Party,91,,,
Robertson,6 - Franklin,Straight Party,,DEM,Democratic Party,57,,,
Robertson,7 - Mumford,Straight Party,,DEM,Democratic Party,12,,,
Robertson,8 - Seale,Straight Party,,DEM,Democratic Party,7,,,
Robertson,11 - Benchley,Straight Party,,DEM,Democratic Party,44,,,
Robertson,13 - Elliott,Straight Party,,DEM,Democratic Party,2,,,
Robertson,16 - Easterly,Straight Party,,DEM,Democratic Party,4,,,
Robertson,18 - Ridge,Straight Party,,DEM,Democratic Party,0,,,
Robertson,19 - New Baden,Straight Party,,DEM,Democratic Party,16,,,
Robertson,22 - Teal Center,Straight Party,,DEM,Democratic Party,366,,,
Robertson,23 - Christian Faith,Straight Party,,DEM,Democratic Party,109,,,
Robertson,1 - Calvert,Straight Party,,LIB,Libertarian Party,6,,,
Robertson,2 - Hearne,Straight Party,,LIB,Libertarian Party,5,,,
Robertson,3 - Wheelock,Straight Party,,LIB,Libertarian Party,2,,,
Robertson,4 - Bald Prairie,Straight Party,,LIB,Libertarian Party,1,,,
Robertson,5 - Bremond,Straight Party,,LIB,Libertarian Party,2,,,
Robertson,6 - Franklin,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,7 - Mumford,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,8 - Seale,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,11 - Benchley,Straight Party,,LIB,Libertarian Party,1,,,
Robertson,13 - Elliott,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,16 - Easterly,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,18 - Ridge,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,19 - New Baden,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,22 - Teal Center,Straight Party,,LIB,Libertarian Party,1,,,
Robertson,23 - Christian Faith,Straight Party,,LIB,Libertarian Party,0,,,
Robertson,1 - Calvert,Straight Party,,GRN,Green Party,2,,,
Robertson,2 - Hearne,Straight Party,,GRN,Green Party,0,,,
Robertson,3 - Wheelock,Straight Party,,GRN,Green Party,0,,,
Robertson,4 - Bald Prairie,Straight Party,,GRN,Green Party,0,,,
Robertson,5 - Bremond,Straight Party,,GRN,Green Party,0,,,
Robertson,6 - Franklin,Straight Party,,GRN,Green Party,1,,,
Robertson,7 - Mumford,Straight Party,,GRN,Green Party,0,,,
Robertson,8 - Seale,Straight Party,,GRN,Green Party,0,,,
Robertson,11 - Benchley,Straight Party,,GRN,Green Party,0,,,
Robertson,13 - Elliott,Straight Party,,GRN,Green Party,0,,,
Robertson,16 - Easterly,Straight Party,,GRN,Green Party,0,,,
Robertson,18 - Ridge,Straight Party,,GRN,Green Party,0,,,
Robertson,19 - New Baden,Straight Party,,GRN,Green Party,0,,,
Robertson,22 - Teal Center,Straight Party,,GRN,Green Party,0,,,
Robertson,23 - Christian Faith,Straight Party,,GRN,Green Party,0,,,
Robertson,1 - Calvert,Straight Party,,,OVER VOTES,0,,,
Robertson,2 - Hearne,Straight Party,,,OVER VOTES,0,,,
Robertson,3 - Wheelock,Straight Party,,,OVER VOTES,0,,,
Robertson,4 - Bald Prairie,Straight Party,,,OVER VOTES,1,,,
Robertson,5 - Bremond,Straight Party,,,OVER VOTES,0,,,
Robertson,6 - Franklin,Straight Party,,,OVER VOTES,0,,,
Robertson,7 - Mumford,Straight Party,,,OVER VOTES,0,,,
Robertson,8 - Seale,Straight Party,,,OVER VOTES,0,,,
Robertson,11 - Benchley,Straight Party,,,OVER VOTES,0,,,
Robertson,13 - Elliott,Straight Party,,,OVER VOTES,0,,,
