county,precinct,office,district,party,candidate,votes,early_votes,election_day
Ochiltree,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,895,,
Ochiltree,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1247,,
Ochiltree,3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1700,,
Ochiltree,4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1375,,
Ochiltree,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,192,63,129
Ochiltree,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,321,108,213
Ochiltree,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,651,238,413
Ochiltree,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,431,131,300
Ochiltree,1,Straight Party,,REP,REPUBLICAN PARTY,109,42,67
Ochiltree,2,Straight Party,,REP,REPUBLICAN PARTY,191,71,120
Ochiltree,3,Straight Party,,REP,REPUBLICAN PARTY,404,158,246
Ochiltree,4,Straight Party,,REP,REPUBLICAN PARTY,280,90,190
Ochiltree,1,Straight Party,,DEM,DEMOCRATIC PARTY,7,1,6
Ochiltree,2,Straight Party,,DEM,DEMOCRATIC PARTY,12,3,9
Ochiltree,3,Straight Party,,DEM,DEMOCRATIC PARTY,7,1,6
Ochiltree,4,Straight Party,,DEM,DEMOCRATIC PARTY,7,3,4
Ochiltree,1,Straight Party,,LIB,LIBERTARIAN PARTY,0,0,0
Ochiltree,2,Straight Party,,LIB,LIBERTARIAN PARTY,0,0,0
Ochiltree,3,Straight Party,,LIB,LIBERTARIAN PARTY,0,0,0
Ochiltree,4,Straight Party,,LIB,LIBERTARIAN PARTY,3,1,2
Ochiltree,1,Straight Party,,GRN,GREEN PARTY,0,0,0
Ochiltree,2,Straight Party,,GRN,GREEN PARTY,0,0,0
Ochiltree,3,Straight Party,,GRN,GREEN PARTY,0,0,0
Ochiltree,4,Straight Party,,GRN,GREEN PARTY,1,0,1
Ochiltree,1,U.S. Senate,,REP,John Cornyn,173,58,115
Ochiltree,2,U.S. Senate,,REP,John Cornyn,296,101,195
Ochiltree,3,U.S. Senate,,REP,John Cornyn,615,224,391
Ochiltree,4,U.S. Senate,,REP,John Cornyn,399,124,275
Ochiltree,1,U.S. Senate,,DEM,David M. Alameel,10,3,7
Ochiltree,2,U.S. Senate,,DEM,David M. Alameel,14,4,10
Ochiltree,3,U.S. Senate,,DEM,David M. Alameel,16,9,7
Ochiltree,4,U.S. Senate,,DEM,David M. Alameel,13,2,11
Ochiltree,1,U.S. Senate,,LIB,Rebecca Paddock,7,1,6
Ochiltree,2,U.S. Senate,,LIB,Rebecca Paddock,8,3,5
Ochiltree,3,U.S. Senate,,LIB,Rebecca Paddock,11,2,9
Ochiltree,4,U.S. Senate,,LIB,Rebecca Paddock,11,4,7
Ochiltree,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,1
Ochiltree,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,0,1
Ochiltree,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,1,2
Ochiltree,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",2,0,2
Ochiltree,1,U.S. Senate,,NON,WRITE-IN,0,0,0
Ochiltree,2,U.S. Senate,,NON,WRITE-IN,0,0,0
Ochiltree,3,U.S. Senate,,NON,WRITE-IN,1,0,1
