county,precinct,office,district,party,candidate,election_day,early_voting,absentee,votes
Wood,1--1,Registered Voters,,,,,,,2616.0
Wood,1--1,Ballots Cast,,,,,,,1110.0
Wood,1--2,Registered Voters,,,,,,,2093.0
Wood,1--2,Ballots Cast,,,,,,,929.0
Wood,1--3,Registered Voters,,,,,,,1741.0
Wood,1--3,Ballots Cast,,,,,,,717.0
Wood,1--4,Registered Voters,,,,,,,630.0
Wood,1--4,Ballots Cast,,,,,,,274.0
Wood,2--1,Registered Voters,,,,,,,403.0
Wood,2--1,Ballots Cast,,,,,,,158.0
Wood,2--2,Registered Voters,,,,,,,3452.0
Wood,2--2,Ballots Cast,,,,,,,1239.0
Wood,2--3,Registered Voters,,,,,,,2759.0
Wood,2--3,Ballots Cast,,,,,,,1165.0
Wood,3--1,Registered Voters,,,,,,,1080.0
Wood,3--1,Ballots Cast,,,,,,,471.0
Wood,3--2,Registered Voters,,,,,,,2824.0
Wood,3--2,Ballots Cast,,,,,,,1624.0
Wood,3--3,Registered Voters,,,,,,,3542.0
Wood,3--3,Ballots Cast,,,,,,,1280.0
Wood,4--1,Registered Voters,,,,,,,728.0
Wood,4--1,Ballots Cast,,,,,,,318.0
Wood,4--2,Registered Voters,,,,,,,2284.0
Wood,4--2,Ballots Cast,,,,,,,848.0
Wood,4--3,Registered Voters,,,,,,,2792.0
Wood,4--3,Ballots Cast,,,,,,,1020.0
Wood,4--4,Registered Voters,,,,,,,725.0
Wood,4--4,Ballots Cast,,,,,,,284.0
Wood,Total:,Registered Voters,,,,,,,27669.0
Wood,Total:,Ballots Cast,,,,,,,11437.0
Wood,1--1,Straight Party,,,Republican Party,0.0,351.0,244.0,595.0
Wood,1--1,Straight Party,,,Democratic Party,0.0,55.0,39.0,94.0
Wood,1--1,Straight Party,,,Libertarian Party,0.0,1.0,1.0,2.0
Wood,1--1,Straight Party,,,Green Party,0.0,4.0,0.0,4.0
Wood,1--2,Straight Party,,,Republican Party,0.0,260.0,326.0,586.0
Wood,1--2,Straight Party,,,Democratic Party,0.0,29.0,30.0,59.0
Wood,1--2,Straight Party,,,Libertarian Party,0.0,1.0,1.0,2.0
Wood,1--2,Straight Party,,,Green Party,0.0,0.0,1.0,1.0
Wood,1--3,Straight Party,,,Republican Party,0.0,145.0,297.0,442.0
Wood,1--3,Straight Party,,,Democratic Party,0.0,20.0,29.0,49.0
Wood,1--3,Straight Party,,,Libertarian Party,0.0,0.0,0.0,0.0
Wood,1--3,Straight Party,,,Green Party,0.0,1.0,0.0,1.0
Wood,1--4,Straight Party,,,Republican Party,0.0,57.0,119.0,176.0
Wood,1--4,Straight Party,,,Democratic Party,0.0,3.0,13.0,16.0
Wood,1--4,Straight Party,,,Libertarian Party,0.0,0.0,0.0,0.0
Wood,1--4,Straight Party,,,Green Party,0.0,0.0,0.0,0.0
Wood,2--1,Straight Party,,,Republican Party,0.0,41.0,70.0,111.0
Wood,2--1,Straight Party,,,Democratic Party,0.0,4.0,2.0,6.0
Wood,2--1,Straight Party,,,Libertarian Party,0.0,1.0,0.0,1.0
Wood,2--1,Straight Party,,,Green Party,0.0,0.0,1.0,1.0
Wood,2--2,Straight Party,,,Republican Party,0.0,331.0,423.0,754.0
Wood,2--2,Straight Party,,,Democratic Party,0.0,29.0,52.0,81.0
Wood,2--2,Straight Party,,,Libertarian Party,0.0,3.0,2.0,5.0
Wood,2--2,Straight Party,,,Green Party,0.0,0.0,1.0,1.0
Wood,2--3,Straight Party,,,Republican Party,0.0,324.0,366.0,690.0
Wood,2--3,Straight Party,,,Democratic Party,0.0,40.0,87.0,127.0
Wood,2--3,Straight Party,,,Libertarian Party,0.0,0.0,3.0,3.0
Wood,2--3,Straight Party,,,Green Party,0.0,3.0,0.0,3.0
Wood,3--1,Straight Party,,,Republican Party,0.0,138.0,126.0,264.0
Wood,3--1,Straight Party,,,Democratic Party,0.0,29.0,9.0,38.0
Wood,3--1,Straight Party,,,Libertarian Party,0.0,0.0,1.0,1.0
Wood,3--1,Straight Party,,,Green Party,0.0,0.0,0.0,0.0
Wood,3--2,Straight Party,,,Republican Party,0.0,425.0,621.0,1046.0
Wood,3--2,Straight Party,,,Democratic Party,0.0,23.0,61.0,84.0
Wood,3--2,Straight Party,,,Libertarian Party,0.0,0.0,0.0,0.0
Wood,3--2,Straight Party,,,Green Party,0.0,1.0,2.0,3.0
Wood,3--3,Straight Party,,,Republican Party,0.0,214.0,466.0,680.0
Wood,3--3,Straight Party,,,Democratic Party,0.0,29.0,103.0,132.0
Wood,3--3,Straight Party,,,Libertarian Party,0.0,3.0,5.0,8.0
Wood,3--3,Straight Party,,,Green Party,0.0,0.0,0.0,0.0
Wood,4--1,Straight Party,,,Republican Party,0.0,106.0,95.0,201.0
Wood,4--1,Straight Party,,,Democratic Party,0.0,10.0,9.0,19.0
Wood,4--1,Straight Party,,,Libertarian Party,0.0,0.0,0.0,0.0
Wood,4--1,Straight Party,,,Green Party,0.0,1.0,1.0,2.0
Wood,4--2,Straight Party,,,Republican Party,0.0,214.0,336.0,550.0
Wood,4--2,Straight Party,,,Democratic Party,0.0,26.0,25.0,51.0
Wood,4--2,Straight Party,,,Libertarian Party,0.0,0.0,3.0,3.0
Wood,4--2,Straight Party,,,Green Party,0.0,0.0,1.0,1.0
Wood,4--3,Straight Party,,,Republican Party,0.0,214.0,435.0,649.0
Wood,4--3,Straight Party,,,Democratic Party,0.0,31.0,31.0,62.0
Wood,4--3,Straight Party,,,Libertarian Party,0.0,0.0,7.0,7.0
Wood,4--3,Straight Party,,,Green Party,0.0,0.0,1.0,1.0
Wood,4--4,Straight Party,,,Republican Party,0.0,96.0,65.0,161.0
Wood,4--4,Straight Party,,,Democratic Party,0.0,9.0,5.0,14.0
Wood,4--4,Straight Party,,,Libertarian Party,0.0,0.0,1.0,1.0
Wood,4--4,Straight Party,,,Green Party,0.0,0.0,2.0,2.0
Wood,Totals:,Straight Party,,,Republican Party,0.0,2916.0,3989.0,6905.0
Wood,Totals:,Straight Party,,,Democratic Party,0.0,337.0,495.0,832.0
Wood,Totals:,Straight Party,,,Libertarian Party,0.0,9.0,24.0,33.0
