county,precinct,reg_voters,office,district,party,candidate,early_votes,election_votes,votes
Coleman,1,1456,U.S. Senate,,REP,John Cornyn,310,190,500
Coleman,1,1456,U.S. Senate,,DEM,David Alameel,29,19,48
Coleman,1,1456,U.S. Senate,,LIB,Rebecca Paddock,10,6,16
Coleman,1,1456,U.S. Senate,,GRN,"Emily "" Spicybrown"" Sanchez",1,1,2
Coleman,1,1456,United States Senator - Write In,,,Mohammed Tahiro,0,0,0
Coleman,1,1456,"U.S. Representative, District 11",,REP,Mike Conaway,312,194,506
Coleman,1,1456,"U.S. Representative, District 11",,LIB,Ryan T. Lange,33,17,50
Coleman,1,1456,Governor,,REP,Gregg Abbott,313,196,509
Coleman,1,1456,Governor,,DEM,Wendy R. Davis,33,20,53
Coleman,1,1456,Governor,,LIB,Kathie Glass,6,2,8
Coleman,1,1456,Governor,,GRN,Brandon Parmer,1,0,1
Coleman,1,1456,Governor - Write In,,,Sarah M. Pavitt,0,0,0
Coleman,1,1456,Lieutenant Governor,,REP,Dan Patrick,303,189,492
Coleman,1,1456,Lieutenant Governor,,DEM,Leticia Van de Putte,33,19,52
Coleman,1,1456,Lieutenant Governor,,LIB,Robert D. Butler,9,5,14
Coleman,1,1456,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,0,1
Coleman,1,1456,Attorney General,,REP,Ken Paxton,304,187,491
Coleman,1,1456,Attorney General,,DEM,Sam Houston,34,22,56
Coleman,1,1456,Attorney General,,LIB,Jamie Balagia,8,5,13
Coleman,1,1456,Attorney General,,GRN,Jamar Osborne,1,0,1
Coleman,1,1456,Comptroller of Public Accounts,,REP,Glenn Hegar,300,181,481
Coleman,1,1456,Comptroller of Public Accounts,,DEM,Mike Collier,37,23,60
Coleman,1,1456,Comptroller of Public Accounts,,LIB,Ben Sanders,7,8,15
Coleman,1,1456,Comptroller of Public Accounts,,GRN,Deb Shafto,1,1,2
Coleman,1,1456,Commisioner of the General Land Office,,REP,George P. Bush,306,183,489
Coleman,1,1456,Commisioner of the General Land Office,,DEM,John Cook,31,22,53
Coleman,1,1456,Commisioner of the General Land Office,,LIB,Justin Knight,11,11,22
Coleman,1,1456,Commisioner of the General Land Office,,GRN,Valerie Alessi,3,1,4
Coleman,1,1456,Commissioner of Agriculture,,REP,Sid Miller,302,179,481
Coleman,1,1456,Commissioner of Agriculture,,DEM,Jim Hogan,33,25,58
Coleman,1,1456,Commissioner of Agriculture,,LIB,David (Rocky) Palmquist,7,9,16
Coleman,1,1456,Commissioner of Agriculture,,GRN,Kenneth Kendrick,4,1,5
Coleman,1,1456,Railroad Commissioner,,REP,Ryan Sitton,290,176,466
Coleman,1,1456,Railroad Commissioner,,DEM,Steve Brown,36,22,58
Coleman,1,1456,Railroad Commissioner,,LIB,Mark A. Miller,11,13,24
Coleman,1,1456,Railroad Commissioner,,GRN,Martina Salinas,6,1,7
Coleman,1,1456,"Chief Justice, Supreme Court",,REP,Nathan Hecht,292,172,464
Coleman,1,1456,"Chief Justice, Supreme Court",,DEM,William Moody,39,27,66
Coleman,1,1456,"Chief Justice, Supreme Court",,LIB,Tom Oxford,10,14,24
Coleman,1,1456,"Justice, Supreme Court, Place 6, Unexpired Term",,REP,Jeff Brown,303,180,483
Coleman,1,1456,"Justice, Supreme Court, Place 6, Unexpired Term",,DEM,Lawrence Edward Myers,34,22,56
