county,precinct,office,district,party,candidate,early_voting,election_day,hand_count,votes
Kimble,1,U.S. Senate,,REP,John Cornyn,149,128,0,277
Kimble,1,U.S. Senate,,DEM,David M. Alameel,9,11,0,20
Kimble,1,U.S. Senate,,LIB,Rebecca Paddock,2,2,0,4
Kimble,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",2,1,0,3
Kimble,2,U.S. Senate,,REP,John Cornyn,64,56,0,120
Kimble,2,U.S. Senate,,DEM,David M. Alameel,9,5,0,14
Kimble,2,U.S. Senate,,LIB,Rebecca Paddock,2,0,0,2
Kimble,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,1,0,2
Kimble,3,U.S. Senate,,REP,John Cornyn,58,38,2,98
Kimble,3,U.S. Senate,,DEM,David M. Alameel,3,5,0,8
Kimble,3,U.S. Senate,,LIB,Rebecca Paddock,0,0,0,0
Kimble,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0,0
Kimble,4,U.S. Senate,,REP,John Cornyn,60,59,0,119
Kimble,4,U.S. Senate,,DEM,David M. Alameel,2,5,0,7
Kimble,4,U.S. Senate,,LIB,Rebecca Paddock,0,2,0,2
Kimble,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0,0
Kimble,6,U.S. Senate,,REP,John Cornyn,58,37,30,125
Kimble,6,U.S. Senate,,DEM,David M. Alameel,8,4,2,14
Kimble,6,U.S. Senate,,LIB,Rebecca Paddock,1,1,0,2
Kimble,6,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0,0
Kimble,7,U.S. Senate,,REP,John Cornyn,44,94,0,138
Kimble,7,U.S. Senate,,DEM,David M. Alameel,3,7,0,10
Kimble,7,U.S. Senate,,LIB,Rebecca Paddock,0,5,0,5
Kimble,7,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,0,0,0
Kimble,9,U.S. Senate,,REP,John Cornyn,116,78,0,194
Kimble,9,U.S. Senate,,DEM,David M. Alameel,10,4,0,14
Kimble,9,U.S. Senate,,LIB,Rebecca Paddock,4,4,0,8
Kimble,9,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,1,0,2
Kimble,1,U.S. House,11,REP,Mike Conaway,157,132,0,289
Kimble,1,U.S. House,11,LIB,Ryan T. Lange,7,8,0,15
Kimble,2,U.S. House,11,REP,Mike Conaway,64,62,0,126
Kimble,2,U.S. House,11,LIB,Ryan T. Lange,9,0,0,9
Kimble,3,U.S. House,11,REP,Mike Conaway,57,37,2,96
Kimble,3,U.S. House,11,LIB,Ryan T. Lange,2,6,0,8
Kimble,4,U.S. House,11,REP,Mike Conaway,57,59,0,116
Kimble,4,U.S. House,11,LIB,Ryan T. Lange,7,5,0,12
Kimble,6,U.S. House,11,REP,Mike Conaway,59,39,32,130
Kimble,6,U.S. House,11,LIB,Ryan T. Lange,6,2,0,8
Kimble,7,U.S. House,11,REP,Mike Conaway,46,97,0,143
Kimble,7,U.S. House,11,LIB,Ryan T. Lange,1,6,0,7
Kimble,9,U.S. House,11,REP,Mike Conaway,122,76,0,198
Kimble,9,U.S. House,11,LIB,Ryan T. Lange,8,4,0,12
Kimble,1,Governor,,REP,Greg Abbott,156,128,0,284
Kimble,1,Governor,,DEM,Wendy R. Davis,13,18,0,31
Kimble,1,Governor,,LIB,Kathie Glass,1,1,0,2
Kimble,1,Governor,,GRN,Brandon Parmer,0,1,0,1
Kimble,2,Governor,,REP,Greg Abbott,62,60,0,122
Kimble,2,Governor,,DEM,Wendy R. Davis,15,4,0,19
Kimble,2,Governor,,LIB,Kathie Glass,3,1,0,4
Kimble,2,Governor,,GRN,Brandon Parmer,0,0,0,0
Kimble,3,Governor,,REP,Greg Abbott,60,39,2,101
Kimble,3,Governor,,DEM,Wendy R. Davis,2,5,0,7
Kimble,3,Governor,,LIB,Kathie Glass,0,0,0,0
Kimble,3,Governor,,GRN,Brandon Parmer,0,0,0,0
Kimble,4,Governor,,REP,Greg Abbott,60,57,0,117
Kimble,4,Governor,,DEM,Wendy R. Davis,4,6,0,10
Kimble,4,Governor,,LIB,Kathie Glass,0,1,0,1
Kimble,4,Governor,,GRN,Brandon Parmer,0,0,0,0
Kimble,6,Governor,,REP,Greg Abbott,61,39,30,130
Kimble,6,Governor,,DEM,Wendy R. Davis,9,4,4,17
Kimble,6,Governor,,LIB,Kathie Glass,0,0,0,0
Kimble,6,Governor,,GRN,Brandon Parmer,0,0,0,0
Kimble,7,Governor,,REP,Greg Abbott,47,98,0,145
Kimble,7,Governor,,DEM,Wendy R. Davis,4,8,0,12
Kimble,7,Governor,,LIB,Kathie Glass,0,0,0,0
Kimble,7,Governor,,GRN,Brandon Parmer,0,0,0,0
Kimble,9,Governor,,REP,Greg Abbott,118,79,0,197
Kimble,9,Governor,,DEM,Wendy R. Davis,10,7,0,17
Kimble,9,Governor,,LIB,Kathie Glass,3,2,0,5
Kimble,9,Governor,,GRN,Brandon Parmer,1,1,0,2
Kimble,1,Lieutenant Governor,,REP,Dan Patrick,147,128,0,275
Kimble,1,Lieutenant Governor,,DEM,Leticia Van de Putte,17,15,0,32
Kimble,1,Lieutenant Governor,,LIB,Robert D. Butler,3,2,0,5
Kimble,1,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0
Kimble,2,Lieutenant Governor,,REP,Dan Patrick,61,59,0,120
Kimble,2,Lieutenant Governor,,DEM,Leticia Van de Putte,16,4,0,20
Kimble,2,Lieutenant Governor,,LIB,Robert D. Butler,1,1,0,2
Kimble,2,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,1,0,1
Kimble,3,Lieutenant Governor,,REP,Dan Patrick,59,40,2,101
Kimble,3,Lieutenant Governor,,DEM,Leticia Van de Putte,3,5,0,8
Kimble,3,Lieutenant Governor,,LIB,Robert D. Butler,0,0,0,0
Kimble,3,Lieutenant Governor,,GRN,Chandrakantha Courtney,1,0,0,1
Kimble,4,Lieutenant Governor,,REP,Dan Patrick,58,55,0,113
Kimble,4,Lieutenant Governor,,DEM,Leticia Van de Putte,4,7,0,11
Kimble,4,Lieutenant Governor,,LIB,Robert D. Butler,2,1,0,3
Kimble,4,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0
Kimble,6,Lieutenant Governor,,REP,Dan Patrick,58,36,30,124
Kimble,6,Lieutenant Governor,,DEM,Leticia Van de Putte,9,5,3,17
Kimble,6,Lieutenant Governor,,LIB,Robert D. Butler,1,2,1,4
Kimble,6,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0
Kimble,7,Lieutenant Governor,,REP,Dan Patrick,46,93,0,139
Kimble,7,Lieutenant Governor,,DEM,Leticia Van de Putte,5,12,0,17
Kimble,7,Lieutenant Governor,,LIB,Robert D. Butler,0,0,0,0
Kimble,7,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,0,0,0
Kimble,9,Lieutenant Governor,,REP,Dan Patrick,121,79,0,200
Kimble,9,Lieutenant Governor,,DEM,Leticia Van de Putte,9,7,0,16
Kimble,9,Lieutenant Governor,,LIB,Robert D. Butler,3,2,0,5
Kimble,9,Lieutenant Governor,,GRN,Chandrakantha Courtney,0,1,0,1
Kimble,1,Attorney General,,REP,Ken Paxton,147,125,0,272
Kimble,1,Attorney General,,DEM,Sam Houston,19,17,0,36
Kimble,1,Attorney General,,LIB,Jamie Balagia,2,2,0,4
Kimble,1,Attorney General,,GRN,Jamar Osborne,0,0,0,0
Kimble,2,Attorney General,,REP,Ken Paxton,56,57,0,113
Kimble,2,Attorney General,,DEM,Sam Houston,17,6,0,23
Kimble,2,Attorney General,,LIB,Jamie Balagia,2,0,0,2
Kimble,2,Attorney General,,GRN,Jamar Osborne,0,0,0,0
Kimble,3,Attorney General,,REP,Ken Paxton,60,38,2,100
Kimble,3,Attorney General,,DEM,Sam Houston,4,7,0,11
Kimble,3,Attorney General,,LIB,Jamie Balagia,0,0,0,0
Kimble,3,Attorney General,,GRN,Jamar Osborne,0,0,0,0
Kimble,4,Attorney General,,REP,Ken Paxton,58,56,0,114
Kimble,4,Attorney General,,DEM,Sam Houston,3,7,0,10
Kimble,4,Attorney General,,LIB,Jamie Balagia,2,1,0,3
Kimble,4,Attorney General,,GRN,Jamar Osborne,1,0,0,1
Kimble,6,Attorney General,,REP,Ken Paxton,60,35,32,127
Kimble,6,Attorney General,,DEM,Sam Houston,8,7,2,17
Kimble,6,Attorney General,,LIB,Jamie Balagia,0,1,0,1
Kimble,6,Attorney General,,GRN,Jamar Osborne,0,0,0,0
Kimble,7,Attorney General,,REP,Ken Paxton,47,95,0,142
Kimble,7,Attorney General,,DEM,Sam Houston,4,10,0,14
Kimble,7,Attorney General,,LIB,Jamie Balagia,0,0,0,0
Kimble,7,Attorney General,,GRN,Jamar Osborne,0,0,0,0
Kimble,9,Attorney General,,REP,Ken Paxton,121,74,0,195
Kimble,9,Attorney General,,DEM,Sam Houston,11,7,0,18
Kimble,9,Attorney General,,LIB,Jamie Balagia,0,2,0,2
Kimble,9,Attorney General,,GRN,Jamar Osborne,0,2,0,2
Kimble,1,Comptroller of Public Accounts,,REP,Glenn Hegar,143,121,0,264
Kimble,1,Comptroller of Public Accounts,,DEM,Mike Collier,18,17,0,35
Kimble,1,Comptroller of Public Accounts,,LIB,Ben Sanders,4,3,0,7
Kimble,1,Comptroller of Public Accounts,,GRN,Deb Shafto,0,1,0,1
Kimble,2,Comptroller of Public Accounts,,REP,Glenn Hegar,60,57,0,117
Kimble,2,Comptroller of Public Accounts,,DEM,Mike Collier,12,6,0,18
Kimble,2,Comptroller of Public Accounts,,LIB,Ben Sanders,2,1,0,3
Kimble,2,Comptroller of Public Accounts,,GRN,Deb Shafto,1,0,0,1
Kimble,3,Comptroller of Public Accounts,,REP,Glenn Hegar,59,38,2,99
Kimble,3,Comptroller of Public Accounts,,DEM,Mike Collier,3,6,0,9
Kimble,3,Comptroller of Public Accounts,,LIB,Ben Sanders,1,0,0,1
Kimble,3,Comptroller of Public Accounts,,GRN,Deb Shafto,0,0,0,0
Kimble,4,Comptroller of Public Accounts,,REP,Glenn Hegar,53,53,0,106
Kimble,4,Comptroller of Public Accounts,,DEM,Mike Collier,3,6,0,9
Kimble,4,Comptroller of Public Accounts,,LIB,Ben Sanders,6,2,0,8
Kimble,4,Comptroller of Public Accounts,,GRN,Deb Shafto,0,0,0,0
Kimble,6,Comptroller of Public Accounts,,REP,Glenn Hegar,57,37,25,119
Kimble,6,Comptroller of Public Accounts,,DEM,Mike Collier,7,4,3,14
Kimble,6,Comptroller of Public Accounts,,LIB,Ben Sanders,1,2,0,3
Kimble,6,Comptroller of Public Accounts,,GRN,Deb Shafto,1,0,0,1
Kimble,7,Comptroller of Public Accounts,,REP,Glenn Hegar,46,94,0,140
Kimble,7,Comptroller of Public Accounts,,DEM,Mike Collier,4,7,0,11
Kimble,7,Comptroller of Public Accounts,,LIB,Ben Sanders,1,2,0,3
Kimble,7,Comptroller of Public Accounts,,GRN,Deb Shafto,0,0,0,0
Kimble,9,Comptroller of Public Accounts,,REP,Glenn Hegar,116,72,0,188
Kimble,9,Comptroller of Public Accounts,,DEM,Mike Collier,13,6,0,19
Kimble,9,Comptroller of Public Accounts,,LIB,Ben Sanders,2,3,0,5
Kimble,9,Comptroller of Public Accounts,,GRN,Deb Shafto,0,1,0,1
Kimble,1,Commissioner of the General Land Office,,REP,George P. Bush,154,124,0,278
Kimble,1,Commissioner of the General Land Office,,DEM,John Cook,12,16,0,28
Kimble,1,Commissioner of the General Land Office,,LIB,Justin Knight,0,3,0,3
Kimble,1,Commissioner of the General Land Office,,GRN,Valerie Alessi,1,2,0,3
Kimble,2,Commissioner of the General Land Office,,REP,George P. Bush,62,59,0,121
Kimble,2,Commissioner of the General Land Office,,DEM,John Cook,10,4,0,14
Kimble,2,Commissioner of the General Land Office,,LIB,Justin Knight,2,1,0,3
Kimble,2,Commissioner of the General Land Office,,GRN,Valerie Alessi,2,0,0,2
Kimble,3,Commissioner of the General Land Office,,REP,George P. Bush,58,37,2,97
Kimble,3,Commissioner of the General Land Office,,DEM,John Cook,4,6,0,10
Kimble,3,Commissioner of the General Land Office,,LIB,Justin Knight,1,1,0,2
Kimble,3,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,0,0,0
Kimble,4,Commissioner of the General Land Office,,REP,George P. Bush,56,57,0,113
Kimble,4,Commissioner of the General Land Office,,DEM,John Cook,3,5,0,8
Kimble,4,Commissioner of the General Land Office,,LIB,Justin Knight,5,1,0,6
Kimble,4,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,0,0,0
Kimble,6,Commissioner of the General Land Office,,REP,George P. Bush,58,39,28,125
Kimble,6,Commissioner of the General Land Office,,DEM,John Cook,8,4,1,13
Kimble,6,Commissioner of the General Land Office,,LIB,Justin Knight,0,0,1,1
Kimble,6,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,0,1,1
Kimble,7,Commissioner of the General Land Office,,REP,George P. Bush,46,97,0,143
Kimble,7,Commissioner of the General Land Office,,DEM,John Cook,4,7,0,11
Kimble,7,Commissioner of the General Land Office,,LIB,Justin Knight,1,1,0,2
Kimble,7,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,0,0,0
Kimble,9,Commissioner of the General Land Office,,REP,George P. Bush,118,79,0,197
Kimble,9,Commissioner of the General Land Office,,DEM,John Cook,12,3,0,15
Kimble,9,Commissioner of the General Land Office,,LIB,Justin Knight,1,3,0,4
Kimble,9,Commissioner of the General Land Office,,GRN,Valerie Alessi,0,1,0,1
Kimble,1,Commissioner of Agriculture,,REP,Sid Miller,147,122,0,269
Kimble,1,Commissioner of Agriculture,,DEM,Jim Hogan,16,15,0,31
Kimble,1,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",0,3,0,3
Kimble,1,Commissioner of Agriculture,,GRN,Kenneth Kendrick,1,1,0,2
Kimble,2,Commissioner of Agriculture,,REP,Sid Miller,57,59,0,116
Kimble,2,Commissioner of Agriculture,,DEM,Jim Hogan,13,4,0,17
Kimble,2,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",1,1,0,2
Kimble,2,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,0,0,3
Kimble,3,Commissioner of Agriculture,,REP,Sid Miller,59,37,2,98
Kimble,3,Commissioner of Agriculture,,DEM,Jim Hogan,3,6,0,9
Kimble,3,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",1,0,0,1
Kimble,3,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,1,0,1
Kimble,4,Commissioner of Agriculture,,REP,Sid Miller,52,55,0,107
Kimble,4,Commissioner of Agriculture,,DEM,Jim Hogan,6,7,0,13
Kimble,4,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",4,2,0,6
Kimble,4,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,0,0,0
Kimble,6,Commissioner of Agriculture,,REP,Sid Miller,59,37,27,123
Kimble,6,Commissioner of Agriculture,,DEM,Jim Hogan,6,5,2,13
Kimble,6,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",1,1,0,2
Kimble,6,Commissioner of Agriculture,,GRN,Kenneth Kendrick,1,0,1,2
Kimble,7,Commissioner of Agriculture,,REP,Sid Miller,46,96,0,142
Kimble,7,Commissioner of Agriculture,,DEM,Jim Hogan,4,6,0,10
Kimble,7,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",0,2,0,2
Kimble,7,Commissioner of Agriculture,,GRN,Kenneth Kendrick,1,1,0,2
Kimble,9,Commissioner of Agriculture,,REP,Sid Miller,119,71,0,190
Kimble,9,Commissioner of Agriculture,,DEM,Jim Hogan,9,8,0,17
Kimble,9,Commissioner of Agriculture,,LIB,"David ""Rocky"" Palmquist",2,2,0,4
Kimble,9,Commissioner of Agriculture,,GRN,Kenneth Kendrick,0,1,0,1
Kimble,1,Railroad Commissioner,,REP,Ryan Sitton,144,120,0,264
Kimble,1,Railroad Commissioner,,DEM,Steve Brown,15,13,0,28
Kimble,1,Railroad Commissioner,,LIB,Mark A. Miller,2,3,0,5
Kimble,1,Railroad Commissioner,,GRN,Martina Salinas,2,4,0,6
Kimble,2,Railroad Commissioner,,REP,Ryan Sitton,56,57,0,113
Kimble,2,Railroad Commissioner,,DEM,Steve Brown,15,6,0,21
Kimble,2,Railroad Commissioner,,LIB,Mark A. Miller,3,1,0,4
Kimble,2,Railroad Commissioner,,GRN,Martina Salinas,1,1,0,2
Kimble,3,Railroad Commissioner,,REP,Ryan Sitton,59,38,2,99
Kimble,3,Railroad Commissioner,,DEM,Steve Brown,3,5,0,8
Kimble,3,Railroad Commissioner,,LIB,Mark A. Miller,0,1,0,1
Kimble,3,Railroad Commissioner,,GRN,Martina Salinas,0,0,0,0
Kimble,4,Railroad Commissioner,,REP,Ryan Sitton,54,52,0,106
Kimble,4,Railroad Commissioner,,DEM,Steve Brown,5,7,0,12
Kimble,4,Railroad Commissioner,,LIB,Mark A. Miller,4,2,0,6
Kimble,4,Railroad Commissioner,,GRN,Martina Salinas,0,0,0,0
Kimble,6,Railroad Commissioner,,REP,Ryan Sitton,58,36,25,119
Kimble,6,Railroad Commissioner,,DEM,Steve Brown,6,6,2,14
Kimble,6,Railroad Commissioner,,LIB,Mark A. Miller,1,1,0,2
Kimble,6,Railroad Commissioner,,GRN,Martina Salinas,1,0,1,2
Kimble,7,Railroad Commissioner,,REP,Ryan Sitton,45,96,0,141
Kimble,7,Railroad Commissioner,,DEM,Steve Brown,4,7,0,11
Kimble,7,Railroad Commissioner,,LIB,Mark A. Miller,1,0,0,1
Kimble,7,Railroad Commissioner,,GRN,Martina Salinas,1,1,0,2
Kimble,9,Railroad Commissioner,,REP,Ryan Sitton,115,72,0,187
Kimble,9,Railroad Commissioner,,DEM,Steve Brown,12,7,0,19
Kimble,9,Railroad Commissioner,,LIB,Mark A. Miller,1,2,0,3
Kimble,9,Railroad Commissioner,,GRN,Martina Salinas,1,1,0,2
Kimble,1,State Representative,53,REP,Andrew S. Murr,160,140,0,300
Kimble,1,State Representative,53,LIB,Maximillian Martin,3,4,0,7
Kimble,2,State Representative,53,REP,Andrew S. Murr,72,61,0,133
Kimble,2,State Representative,53,LIB,Maximillian Martin,6,2,0,8
Kimble,3,State Representative,53,REP,Andrew S. Murr,63,41,2,106
Kimble,3,State Representative,53,LIB,Maximillian Martin,1,3,0,4
Kimble,4,State Representative,53,REP,Andrew S. Murr,61,63,0,124
Kimble,4,State Representative,53,LIB,Maximillian Martin,3,2,0,5
Kimble,6,State Representative,53,REP,Andrew S. Murr,58,38,31,127
Kimble,6,State Representative,53,LIB,Maximillian Martin,9,2,1,12
Kimble,7,State Representative,53,REP,Andrew S. Murr,46,100,0,146
Kimble,7,State Representative,53,LIB,Maximillian Martin,1,4,0,5
Kimble,9,State Representative,53,REP,Andrew S. Murr,128,79,0,207
Kimble,9,State Representative,53,LIB,Maximillian Martin,2,6,0,8
