county,precinct,office,district,party,candidate,votes,,,,,,,,,,
Nacogdoches,12,Registered Voters,,,,1723,,,,,,,,,,
Nacogdoches,13,Registered Voters,,,,1050,,,,,,,,,,
Nacogdoches,14/17,Registered Voters,,,,2837,,,,,,,,,,
Nacogdoches,15,Registered Voters,,,,1432,,,,,,,,,,
Nacogdoches,16,Registered Voters,,,,2157,,,,,,,,,,
Nacogdoches,21,Registered Voters,,,,1520,,,,,,,,,,
Nacogdoches,22/23/24/25,Registered Voters,,,,1344,,,,,,,,,,
Nacogdoches,26,Registered Voters,,,,2767,,,,,,,,,,
Nacogdoches,27,Registered Voters,,,,1182,,,,,,,,,,
Nacogdoches,30/31/32,Registered Voters,,,,3374,,,,,,,,,,
Nacogdoches,33/34,Registered Voters,,,,4203,,,,,,,,,,
Nacogdoches,41/43,Registered Voters,,,,2000,,,,,,,,,,
Nacogdoches,42,Registered Voters,,,,1331,,,,,,,,,,
Nacogdoches,44,Registered Voters,,,,1637,,,,,,,,,,
Nacogdoches,45,Registered Voters,,,,690,,,,,,,,,,
Nacogdoches,46,Registered Voters,,,,806,,,,,,,,,,
Nacogdoches,47,Registered Voters,,,,848,,,,,,,,,,
Nacogdoches,12,Ballots Cast,,,,719,,,,,,,,,,
Nacogdoches,13,Ballots Cast,,,,478,,,,,,,,,,
Nacogdoches,14/17,Ballots Cast,,,,1133,,,,,,,,,,
Nacogdoches,15,Ballots Cast,,,,531,,,,,,,,,,
Nacogdoches,16,Ballots Cast,,,,1112,,,,,,,,,,
Nacogdoches,21,Ballots Cast,,,,614,,,,,,,,,,
Nacogdoches,22/23/24/25,Ballots Cast,,,,434,,,,,,,,,,
Nacogdoches,26,Ballots Cast,,,,908,,,,,,,,,,
Nacogdoches,27,Ballots Cast,,,,358,,,,,,,,,,
Nacogdoches,30/31/32,Ballots Cast,,,,919,,,,,,,,,,
Nacogdoches,33/34,Ballots Cast,,,,1966,,,,,,,,,,
Nacogdoches,41/43,Ballots Cast,,,,822,,,,,,,,,,
Nacogdoches,42,Ballots Cast,,,,440,,,,,,,,,,
Nacogdoches,44,Ballots Cast,,,,612,,,,,,,,,,
Nacogdoches,45,Ballots Cast,,,,363,,,,,,,,,,
Nacogdoches,46,Ballots Cast,,,,345,,,,,,,,,,
Nacogdoches,47,Ballots Cast,,,,334,,,,,,,,,,
Nacogdoches,12,Straight Party,,,Republican,407,,,,,,,,,,
Nacogdoches,13,Straight Party,,,Republican,290,,,,,,,,,,
Nacogdoches,14/17,Straight Party,,,Republican,621,,,,,,,,,,
Nacogdoches,15,Straight Party,,,Republican,304,,,,,,,,,,
Nacogdoches,16,Straight Party,,,Republican,650,,,,,,,,,,
Nacogdoches,21,Straight Party,,,Republican,347,,,,,,,,,,
Nacogdoches,22/23/24/25,Straight Party,,,Republican,88,,,,,,,,,,
Nacogdoches,26,Straight Party,,,Republican,388,,,,,,,,,,
