county,precinct,office,district,candidate,party,early_voting,election_day,votes
Wilbarger,Precinct 1,Straight Party,,Republican Party,REP,69,64,133
Wilbarger,Precinct 1,Straight Party,,Democratic Party,DEM,17,19,36
Wilbarger,Precinct 1,Straight Party,,Libertarian Party,LIB,1,1,2
Wilbarger,Precinct 1,Straight Party,,Green Party,GRN,1,0,1
Wilbarger,Precinct 1,U.S. Senate,,John Cornyn,REP,203,146,349
Wilbarger,Precinct 1,U.S. Senate,,David M. Alameel,DEM,29,31,60
Wilbarger,Precinct 1,U.S. Senate,,Rebecca Paddock,LIB,4,4,8
Wilbarger,Precinct 1,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,0,2,2
Wilbarger,Precinct 1,U.S. Senate,,Mohammed Tahiro,,0,0,0
Wilbarger,Precinct 1,U.S. House,13,Mac Thornberry,REP,215,156,371
Wilbarger,Precinct 1,U.S. House,13,Mike Minter,DEM,25,27,52
Wilbarger,Precinct 1,U.S. House,13,Emily Pivoda,LIB,5,6,11
Wilbarger,Precinct 1,U.S. House,13,Don Cook,GRN,0,0,0
Wilbarger,Precinct 1,Governor,,Greg Abbott,REP,205,150,355
Wilbarger,Precinct 1,Governor,,Wendy R. Davis,DEM,39,35,74
Wilbarger,Precinct 1,Governor,,Kathie Glass,LIB,1,1,2
Wilbarger,Precinct 1,Governor,,Brandon Parmer,GRN,2,0,2
Wilbarger,Precinct 1,Governor,,Sarah M. Pavitt,,0,0,0
Wilbarger,Precinct 1,Lieutenant Govenor,,Dan Patrick,REP,209,148,357
Wilbarger,Precinct 1,Lieutenant Govenor,,Leticia Van de Putte,DEM,31,30,61
Wilbarger,Precinct 1,Lieutenant Govenor,,Robert D. Butler,LIB,5,3,8
Wilbarger,Precinct 1,Lieutenant Govenor,,Chandrakantha Courtney,GRN,1,2,3
Wilbarger,Precinct 1,Attorney General,,Ken Paxton,REP,202,133,335
Wilbarger,Precinct 1,Attorney General,,Sam Houston,DEM,34,40,74
Wilbarger,Precinct 1,Attorney General,,Jamie Balagia,LIB,4,3,7
Wilbarger,Precinct 1,Attorney General,,Jamar Osborne,GRN,0,1,1
Wilbarger,Precinct 1,Comptroller of Public Accounts,,Glenn Hegar,REP,196,130,326
Wilbarger,Precinct 1,Comptroller of Public Accounts,,Mike Collier,DEM,32,42,74
Wilbarger,Precinct 1,Comptroller of Public Accounts,,Ben Sanders,LIB,5,3,8
Wilbarger,Precinct 1,Comptroller of Public Accounts,,Deb Shafto,GRN,0,1,1
Wilbarger,Precinct 1,Commissioner of the General Land Office,,George P. Bush,REP,206,142,348
Wilbarger,Precinct 1,Commissioner of the General Land Office,,John Cook,DEM,30,33,63
Wilbarger,Precinct 1,Commissioner of the General Land Office,,Justin Knight,LIB,8,5,13
Wilbarger,Precinct 1,Commissioner of the General Land Office,,Valerie Alessi,GRN,0,1,1
Wilbarger,Precinct 1,Commissioner of Agriculture,,Sid Miller,REP,197,137,334
Wilbarger,Precinct 1,Commissioner of Agriculture,,Jim Hogan,DEM,32,34,66
