county,precinct,office,district,party,candidate,early_voting,election_day,votes
Falls,405,U.S. House,17,DEM,NICK HAYNES,24,33,57
Falls,405,U.S. House,17,LIB,SHAWN MICHAEL HAMILTON,0,2,2
Falls,101,Governor,,REP,GREG ABBOTT,54,76,130
Falls,101,Governor,,DEM,WENDY R. DAVIS,30,37,67
Falls,101,Governor,,LIB,KATHIE GLASS,0,2,2
Falls,101,Governor,,GRN,BRANDON PARMER,1,0,1
Falls,101,Governor,,,SARAH M. PAVITT,0,0,0
Falls,104,Governor,,REP,GREG ABBOTT,84,164,248
Falls,104,Governor,,DEM,WENDY R. DAVIS,15,33,48
Falls,104,Governor,,LIB,KATHIE GLASS,1,2,3
Falls,104,Governor,,GRN,BRANDON PARMER,1,0,1
Falls,104,Governor,,,SARAH M. PAVITT,0,0,0
Falls,105,Governor,,REP,GREG ABBOTT,111,123,234
Falls,105,Governor,,DEM,WENDY R. DAVIS,35,41,76
Falls,105,Governor,,LIB,KATHIE GLASS,1,4,5
Falls,105,Governor,,GRN,BRANDON PARMER,0,1,1
Falls,105,Governor,,,SARAH M. PAVITT,0,0,0
Falls,201,Governor,,REP,GREG ABBOTT,50,90,140
Falls,201,Governor,,DEM,WENDY R. DAVIS,16,19,35
Falls,201,Governor,,LIB,KATHIE GLASS,0,0,0
Falls,201,Governor,,GRN,BRANDON PARMER,0,1,1
Falls,201,Governor,,,SARAH M. PAVITT,0,0,0
Falls,203,Governor,,REP,GREG ABBOTT,6,8,14
Falls,203,Governor,,DEM,WENDY R. DAVIS,46,77,123
Falls,203,Governor,,LIB,KATHIE GLASS,0,1,1
Falls,203,Governor,,GRN,BRANDON PARMER,0,2,2
Falls,203,Governor,,,SARAH M. PAVITT,0,0,0
Falls,204,Governor,,REP,GREG ABBOTT,26,21,47
Falls,204,Governor,,DEM,WENDY R. DAVIS,77,89,166
Falls,204,Governor,,LIB,KATHIE GLASS,1,0,1
Falls,204,Governor,,GRN,BRANDON PARMER,0,0,0
Falls,204,Governor,,,SARAH M. PAVITT,0,0,0
Falls,301,Governor,,REP,GREG ABBOTT,62,112,174
Falls,301,Governor,,DEM,WENDY R. DAVIS,12,15,27
Falls,301,Governor,,LIB,KATHIE GLASS,1,2,3
Falls,301,Governor,,GRN,BRANDON PARMER,0,0,0
Falls,301,Governor,,,SARAH M. PAVITT,0,0,0
Falls,302,Governor,,REP,GREG ABBOTT,52,27,79
Falls,302,Governor,,DEM,WENDY R. DAVIS,10,12,22
Falls,302,Governor,,LIB,KATHIE GLASS,1,1,2
Falls,302,Governor,,GRN,BRANDON PARMER,0,0,0
Falls,302,Governor,,,SARAH M. PAVITT,0,0,0
Falls,303,Governor,,REP,GREG ABBOTT,26,172,198
Falls,303,Governor,,DEM,WENDY R. DAVIS,3,21,24
Falls,303,Governor,,LIB,KATHIE GLASS,0,1,1
