county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Madison,202,Lieutenant Governor,,Chandrakantha Courtney,,0,1,1,2
Madison,202,Lieutenant Governor,,Over Votes,,0,0,0,0
Madison,202,Lieutenant Governor,,Under Votes,,2,4,4,10
Madison,202,Ballots Cast,,,,,,,650
Madison,202,Attorney General,,Ken Paxton,,44,233,221,498
Madison,202,Attorney General,,Sam Houston,,20,59,51,130
Madison,202,Attorney General,,Jamie Balagia,,0,3,7,10
Madison,202,Attorney General,,Jamar Osborne,,0,0,1,1
Madison,202,Attorney General,,Over Votes,,0,0,0,0
Madison,202,Attorney General,,Under Votes,,3,3,5,11
Madison,202,Comptroller of Public Accounts,,Glenn Hegar,,43,229,221,493
Madison,202,Comptroller of Public Accounts,,Mike Collier,,19,53,46,118
Madison,202,Comptroller of Public Accounts,,Ben Sanders,,0,4,7,11
Madison,202,Comptroller of Public Accounts,,Deb Shafto,,0,1,1,2
Madison,202,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Madison,202,Comptroller of Public Accounts,,Under Votes,,5,11,10,26
Madison,202,Commissioner of the General Land Office,,George P. Bush,,43,235,217,495
Madison,202,Commissioner of the General Land Office,,John Cook,,19,50,50,119
Madison,202,Commissioner of the General Land Office,,Justin Knight,,1,7,9,17
Madison,202,Commissioner of the General Land Office,,Valerie Alessi,,0,2,2,4
Madison,202,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Madison,202,Commissioner of the General Land Office,,Under Votes,,4,4,7,15
Madison,202,Commissioner of Agriculture,,Sid Miller,,40,226,218,484
Madison,202,Commissioner of Agriculture,,Jim Hogan,,21,52,52,125
Madison,202,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,8,9,17
Madison,202,Commissioner of Agriculture,,Kenneth Kendrick,,0,2,2,4
Madison,202,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Madison,202,Commissioner of Agriculture,,Under Votes,,6,10,4,20
Madison,202,Railroad Commissioner,,Ryan Sitton,,40,231,221,492
Madison,202,Railroad Commissioner,,Steve Brown,,20,51,48,119
