county,precinct,office,district,candidate,party,votes,early_voting,election_day
Yoakum,PRECINCT 101,REGISTERED VOTERS,,,,979,,
Yoakum,PRECINCT 101,BALLOTS CAST,,,,310,170,140
Yoakum,PRECINCT 101,Straight Party,,Republican,REP,177,92,85
Yoakum,PRECINCT 101,Straight Party,,Democratic,DEM,11,9,2
Yoakum,PRECINCT 101,Straight Party,,Libertarian,LIB,1,0,1
Yoakum,PRECINCT 101,Straight Party,,Green,GRN,0,0,0
Yoakum,PRECINCT 101,U.S. Senate,,John Cornyn,REP,286,153,133
Yoakum,PRECINCT 101,U.S. Senate,,David M. Alameel,DEM,15,11,4
Yoakum,PRECINCT 101,U.S. Senate,,Rebecca Paddock,LIB,5,3,2
Yoakum,PRECINCT 101,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,2,1,1
Yoakum,PRECINCT 101,U.S. Senate,,Write-ins,,0,0,0
Yoakum,PRECINCT 101,U.S. House,19,Randy Neugebauer,REP,273,146,127
Yoakum,PRECINCT 101,U.S. House,19,Neal Marchbanks,DEM,26,17,9
Yoakum,PRECINCT 101,U.S. House,19,Richard (Chip) Peterson,LIB,7,4,3
Yoakum,PRECINCT 101,U.S. House,19,Write-ins,,0,0,0
Yoakum,PRECINCT 101,Governor,,Greg Abbott,REP,288,156,132
Yoakum,PRECINCT 101,Governor,,Wendy R. Davis,DEM,20,13,7
Yoakum,PRECINCT 101,Governor,,Kathie Glass,LIB,1,0,1
Yoakum,PRECINCT 101,Governor,,Brandon Parmer,GRN,1,1,0
Yoakum,PRECINCT 101,Governor,,Write-ins,,0,0,0
Yoakum,PRECINCT 101,Lieutenant Governor,,Dan Patrick,REP,278,149,129
Yoakum,PRECINCT 101,Lieutenant Governor,,Leticia Van de Putte,DEM,19,12,7
Yoakum,PRECINCT 101,Lieutenant Governor,,Robert D. Butler,LIB,7,5,2
Yoakum,PRECINCT 101,Lieutenant Governor,,Chandrakantha Courtney,GRN,1,0,1
Yoakum,PRECINCT 101,Attorney General,,Ken Paxton,REP,276,150,126
Yoakum,PRECINCT 101,Attorney General,,Sam Houston,DEM,23,15,8
Yoakum,PRECINCT 101,Attorney General,,Jamie Balagia,LIB,5,2,3
Yoakum,PRECINCT 101,Attorney General,,Jamar Osborne,GRN,1,0,1
Yoakum,PRECINCT 101,Comptroller of Public Accounts,,Glenn Hegar,REP,274,148,126
Yoakum,PRECINCT 101,Comptroller of Public Accounts,,Mike Collier,DEM,24,15,9
Yoakum,PRECINCT 101,Comptroller of Public Accounts,,Ben Sanders,LIB,4,3,1
Yoakum,PRECINCT 101,Comptroller of Public Accounts,,Deb Shafto,GRN,2,0,2
Yoakum,PRECINCT 101,Commissioner of the General Land Office,,George P. Bush,REP,282,150,132
Yoakum,PRECINCT 101,Commissioner of the General Land Office,,John Cook ,DEM,21,16,5
Yoakum,PRECINCT 101,Commissioner of the General Land Office,,Justin Knight,LIB,5,3,2
Yoakum,PRECINCT 101,Commissioner of the General Land Office,,Valerie Alessi,GRN,0,0,0
Yoakum,PRECINCT 101,Commissioner of Agriculture,,Sid Miller,REP,273,144,129
Yoakum,PRECINCT 101,Commissioner of Agriculture,,Jim Hogan ,DEM,23,18,5
Yoakum,PRECINCT 101,Commissioner of Agriculture,,David (Rocky) Palmquist,LIB,6,4,2
Yoakum,PRECINCT 101,Commissioner of Agriculture,,Kenneth Kendrick,GRN,3,0,3
Yoakum,PRECINCT 101,Railroad Commissioner,,Ryan Sitton,REP,270,143,127
Yoakum,PRECINCT 101,Railroad Commissioner,,Steve Brown,DEM,26,16,10
Yoakum,PRECINCT 101,Railroad Commissioner,,Mark A. Miller.,LIB,6,5,1
Yoakum,PRECINCT 101,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Yoakum,PRECINCT 101,"Chief Justice, Supreme Court",,Nathan Hecht,REP,277,146,131
Yoakum,PRECINCT 101,"Chief Justice, Supreme Court",,William Moody,DEM,22,15,7
Yoakum,PRECINCT 101,"Chief Justice, Supreme Court",,Tom Oxford,LIB,5,5,0
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,282,151,131
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 6",,Lawrence Edward Meyers ,DEM,19,12,7
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 6",,Mark Ash. ,LIB,3,3,0
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 7",,Jeff Boyd ,REP,278,148,130
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,19,13,6
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 7",,Don Fulton,LIB,6,5,1
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 7",,Charles E. Waterbury,GRN,1,0,1
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,283,153,130
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 8",,RS Roberto Koelsch,LIB,8,4,4
Yoakum,PRECINCT 101,"Justice, Supreme Court, Place 8",,Jim Chisolm,GRN,4,2,2
