county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Edwards,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,296,0,0,0
Edwards,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,465,0,0,0
Edwards,3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,381,0,0,0
Edwards,4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,364,0,0,0
Edwards,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,171,94,77,0
Edwards,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,272,124,148,0
Edwards,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,248,167,81,0
Edwards,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,213,143,70,0
Edwards,1,Straight Party,,REP,Republican Party,14,14,0,0
Edwards,2,Straight Party,,REP,Republican Party,78,31,47,0
Edwards,3,Straight Party,,REP,Republican Party,57,38,19,0
Edwards,4,Straight Party,,REP,Republican Party,27,19,8,0
Edwards,1,Straight Party,,DEM,Democratic Party,9,9,0,0
Edwards,2,Straight Party,,DEM,Democratic Party,25,7,18,0
Edwards,3,Straight Party,,DEM,Democratic Party,26,13,13,0
Edwards,4,Straight Party,,DEM,Democratic Party,24,11,13,0
Edwards,1,Straight Party,,LIB,Libertarian Party,1,1,0,0
Edwards,2,Straight Party,,LIB,Libertarian Party,2,1,1,0
Edwards,3,Straight Party,,LIB,Libertarian Party,1,0,1,0
Edwards,4,Straight Party,,LIB,Libertarian Party,1,0,1,0
Edwards,1,Straight Party,,GRN,Green Party,0,0,0,0
Edwards,2,Straight Party,,GRN,Green Party,0,0,0,0
Edwards,3,Straight Party,,GRN,Green Party,2,2,0,0
Edwards,4,Straight Party,,GRN,Green Party,1,0,1,0
Edwards,1,Straight Party,,,OVER VOTES,0,0,0,0
Edwards,2,Straight Party,,,OVER VOTES,0,0,0,0
Edwards,3,Straight Party,,,OVER VOTES,0,0,0,0
Edwards,4,Straight Party,,,OVER VOTES,0,0,0,0
Edwards,1,Straight Party,,,UNDER VOTES,70,70,0,0
Edwards,2,Straight Party,,,UNDER VOTES,140,85,55,0
Edwards,3,Straight Party,,,UNDER VOTES,162,114,48,0
Edwards,4,Straight Party,,,UNDER VOTES,160,113,47,0
Edwards,1,U.S. Senate,,REP,John Cornyn,81,50,31,0
Edwards,2,U.S. Senate,,REP,John Cornyn,192,91,101,0
Edwards,3,U.S. Senate,,REP,John Cornyn,160,113,47,0
Edwards,4,U.S. Senate,,REP,John Cornyn,90,68,22,0
Edwards,1,U.S. Senate,,DEM,David M. Alameel,36,16,20,0
Edwards,2,U.S. Senate,,DEM,David M. Alameel,35,10,25,0
Edwards,3,U.S. Senate,,DEM,David M. Alameel,37,25,12,0
Edwards,4,U.S. Senate,,DEM,David M. Alameel,46,30,16,0
Edwards,1,U.S. Senate,,LIB,Rebecca Paddock,2,1,1,0
Edwards,2,U.S. Senate,,LIB,Rebecca Paddock,11,4,7,0
Edwards,3,U.S. Senate,,LIB,Rebecca Paddock,12,6,6,0
Edwards,4,U.S. Senate,,LIB,Rebecca Paddock,7,4,3,0
Edwards,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",4,2,2,0
Edwards,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",5,2,3,0
Edwards,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",10,7,3,0
Edwards,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",2,1,1,0
Edwards,1,U.S. Senate,,NON,WRITE-IN,0,0,0,0
Edwards,2,U.S. Senate,,NON,WRITE-IN,0,0,0,0
Edwards,3,U.S. Senate,,NON,WRITE-IN,0,0,0,0
Edwards,4,U.S. Senate,,NON,WRITE-IN,0,0,0,0
Edwards,1,U.S. Senate,,,OVER VOTES,0,0,0,0
Edwards,2,U.S. Senate,,,OVER VOTES,1,1,0,0
Edwards,3,U.S. Senate,,,OVER VOTES,0,0,0,0
Edwards,4,U.S. Senate,,,OVER VOTES,0,0,0,0
Edwards,1,U.S. Senate,,,UNDER VOTES,25,25,0,0
Edwards,2,U.S. Senate,,,UNDER VOTES,23,16,7,0
Edwards,3,U.S. Senate,,,UNDER VOTES,29,16,13,0
Edwards,4,U.S. Senate,,,UNDER VOTES,68,40,28,0
Edwards,1,U.S. House,23,REP,Will Hurd,65,42,23,0
Edwards,2,U.S. House,23,REP,Will Hurd,173,79,94,0
Edwards,3,U.S. House,23,REP,Will Hurd,147,102,45,0
Edwards,4,U.S. House,23,REP,Will Hurd,86,63,23,0
Edwards,1,U.S. House,23,DEM,Pete P. Gallego,69,33,36,0
Edwards,2,U.S. House,23,DEM,Pete P. Gallego,72,32,40,0
Edwards,3,U.S. House,23,DEM,Pete P. Gallego,79,54,25,0
Edwards,4,U.S. House,23,DEM,Pete P. Gallego,73,50,23,0
Edwards,1,U.S. House,23,LIB,Ruben Corvalan,8,3,5,0
Edwards,2,U.S. House,23,LIB,Ruben Corvalan,6,0,6,0
Edwards,3,U.S. House,23,LIB,Ruben Corvalan,8,4,4,0
Edwards,4,U.S. House,23,LIB,Ruben Corvalan,9,5,4,0
Edwards,1,U.S. House,23,,OVER VOTES,0,0,0,0
Edwards,2,U.S. House,23,,OVER VOTES,0,0,0,0
Edwards,3,U.S. House,23,,OVER VOTES,0,0,0,0
Edwards,4,U.S. House,23,,OVER VOTES,0,0,0,0
Edwards,1,U.S. House,23,,UNDER VOTES,16,16,0,0
Edwards,2,U.S. House,23,,UNDER VOTES,17,13,4,0
Edwards,3,U.S. House,23,,UNDER VOTES,14,7,7,0
Edwards,4,U.S. House,23,,UNDER VOTES,46,25,21,0
Edwards,1,Governor,,REP,Greg Abbott,83,50,33,0
Edwards,2,Governor,,REP,Greg Abbott,201,95,106,0
Edwards,3,Governor,,REP,Greg Abbott,161,116,45,0
Edwards,4,Governor,,REP,Greg Abbott,95,70,25,0
Edwards,1,Governor,,DEM,Wendy R. Davis,52,26,26,0
Edwards,2,Governor,,DEM,Wendy R. Davis,51,14,37,0
Edwards,3,Governor,,DEM,Wendy R. Davis,60,36,24,0
Edwards,4,Governor,,DEM,Wendy R. Davis,59,39,20,0
Edwards,1,Governor,,LIB,Kathie Glass,3,2,1,0
Edwards,2,Governor,,LIB,Kathie Glass,2,0,2,0
Edwards,3,Governor,,LIB,Kathie Glass,9,5,4,0
Edwards,4,Governor,,LIB,Kathie Glass,4,1,3,0
Edwards,1,Governor,,GRN,Brandon Parmer,0,0,0,0
Edwards,2,Governor,,GRN,Brandon Parmer,1,1,0,0
