county,precinct,office,district,party,candidate,early_votes,election_day,votes
Comanche,1,Straight Party,,,Republican,170,101,271
Comanche,2,Straight Party,,,Republican,133,105,238
Comanche,4,Straight Party,,,Republican,10,10,20
Comanche,5,Straight Party,,,Republican,66,59,125
Comanche,6,Straight Party,,,Republican,41,35,76
Comanche,7,Straight Party,,,Republican,14,35,49
Comanche,9,Straight Party,,,Republican,18,18,36
Comanche,10,Straight Party,,,Republican,17,59,76
Comanche,11,Straight Party,,,Republican,36,56,92
Comanche,12,Straight Party,,,Republican,94,158,252
Comanche,13,Straight Party,,,Republican,28,44,72
Comanche,14,Straight Party,,,Republican,7,16,23
Comanche,15,Straight Party,,,Republican,45,55,100
Comanche,16,Straight Party,,,Republican,18,16,34
Comanche,1,Straight Party,,,Democratic,24,22,46
Comanche,2,Straight Party,,,Democratic,9,14,23
Comanche,4,Straight Party,,,Democratic,1,4,5
Comanche,5,Straight Party,,,Democratic,9,6,15
Comanche,6,Straight Party,,,Democratic,8,3,11
Comanche,7,Straight Party,,,Democratic,4,3,7
Comanche,9,Straight Party,,,Democratic,2,2,4
Comanche,10,Straight Party,,,Democratic,4,7,11
Comanche,11,Straight Party,,,Democratic,3,16,19
Comanche,12,Straight Party,,,Democratic,27,45,72
Comanche,13,Straight Party,,,Democratic,8,4,12
Comanche,14,Straight Party,,,Democratic,2,3,5
Comanche,15,Straight Party,,,Democratic,4,3,7
Comanche,16,Straight Party,,,Democratic,0,0,0
Comanche,1,Straight Party,,,Libertarian,1,0,1
Comanche,2,Straight Party,,,Libertarian,1,1,2
Comanche,4,Straight Party,,,Libertarian,0,0,0
Comanche,5,Straight Party,,,Libertarian,0,0,0
Comanche,6,Straight Party,,,Libertarian,0,0,0
Comanche,7,Straight Party,,,Libertarian,0,1,1
Comanche,9,Straight Party,,,Libertarian,0,1,1
Comanche,10,Straight Party,,,Libertarian,0,0,0
Comanche,11,Straight Party,,,Libertarian,0,1,1
Comanche,12,Straight Party,,,Libertarian,0,1,1
Comanche,13,Straight Party,,,Libertarian,0,0,0
Comanche,14,Straight Party,,,Libertarian,0,0,0
Comanche,15,Straight Party,,,Libertarian,1,0,1
Comanche,16,Straight Party,,,Libertarian,0,0,0
Comanche,1,Straight Party,,,Green,0,0,0
Comanche,2,Straight Party,,,Green,1,0,1
