1,county,precinct,office,district,candidate,party,early_voting,election_day,votes
2,Foard,101,Ballots Cast,,,,,,49
3,Foard,201,Ballots Cast,,,,,,133
4,Foard,301,Ballots Cast,,,,,,73
5,Foard,401,Ballots Cast,,,,,,76
6,Foard,Total,Ballots Cast,,,,,,331
7,Foard,101,Straight Party,,,REP,1,7,8
8,Foard,201,Straight Party,,,REP,11,9,20
9,Foard,301,Straight Party,,,REP,8,13,21
10,Foard,401,Straight Party,,,REP,4,12,16
11,Foard,Total,Straight Party,,,REP,24,41,65
12,Foard,101,Straight Party,,,DEM,2,4,6
13,Foard,201,Straight Party,,,DEM,13,9,22
14,Foard,301,Straight Party,,,DEM,4,13,17
15,Foard,401,Straight Party,,,DEM,4,6,10
16,Foard,Total,Straight Party,,,DEM,23,32,55
17,Foard,101,Straight Party,,,LIB,0,0,0
18,Foard,201,Straight Party,,,LIB,0,0,0
19,Foard,301,Straight Party,,,LIB,0,0,0
20,Foard,401,Straight Party,,,LIB,0,0,0
21,Foard,Total,Straight Party,,,LIB,0,0,0
22,Foard,101,Straight Party,,,GRN,0,0,0
23,Foard,201,Straight Party,,,GRN,0,0,0
24,Foard,301,Straight Party,,,GRN,0,0,0
25,Foard,401,Straight Party,,,GRN,0,0,0
26,Foard,Total,Straight Party,,,GRN,0,0,0
27,Foard,101,Straight Party,,Over Votes,,0,0,0
28,Foard,201,Straight Party,,Over Votes,,0,0,0
29,Foard,301,Straight Party,,Over Votes,,0,0,0
30,Foard,401,Straight Party,,Over Votes,,0,0,0
31,Foard,Total,Straight Party,,Over Votes,,0,0,0
32,Foard,101,Straight Party,,Under Votes,,14,21,35
33,Foard,201,Straight Party,,Under Votes,,37,53,90
34,Foard,301,Straight Party,,Under Votes,,9,26,35
35,Foard,401,Straight Party,,Under Votes,,19,31,50
36,Foard,Total,Straight Party,,Under Votes,,79,131,210
37,Foard,101,U S Senate,,John Comyn,,12,21,33
38,Foard,201,U S Senate,,John Comyn,,14,24,38
39,Foard,301,U S Senate,,John Comyn,,4,7,11
40,Foard,401,U S Senate,,John Comyn,,21,20,41
41,Foard,Total,U S Senate,,John Comyn,,51,72,123
42,Foard,101,U S Senate,,David M. Alameel,,2,6,8
43,Foard,201,U S Senate,,David M. Alameel,,20,16,36
44,Foard,301,U S Senate,,David M. Alameel,,7,18,25
45,Foard,401,U S Senate,,David M. Alameel,,12,9,21
46,Foard,Total,U S Senate,,David M. Alameel,,41,49,90
47,Foard,101,U S Senate,,Rebecca Paddock,,1,1,2
48,Foard,201,U S Senate,,Rebecca Paddock,,1,1,2
49,Foard,301,U S Senate,,Rebecca Paddock,,0,3,3
50,Foard,401,U S Senate,,Rebecca Paddock,,0,2,2
51,Foard,Total,U S Senate,,Rebecca Paddock,,2,7,9
52,Foard,101,U S Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0
53,Foard,201,U S Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0
54,Foard,301,U S Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0
55,Foard,401,U S Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0
56,Foard,Total,U S Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0
57,Foard,101,U S Senate,,Mohammed Tahiro ,,0,0,0
58,Foard,201,U S Senate,,Mohammed Tahiro ,,0,0,0
59,Foard,301,U S Senate,,Mohammed Tahiro ,,0,0,0
60,Foard,401,U S Senate,,Mohammed Tahiro ,,0,0,0
61,Foard,Total,U S Senate,,Mohammed Tahiro ,,0,0,0
62,Foard,101,U S Senate,,Over Votes,,0,0,0
63,Foard,201,U S Senate,,Over Votes,,0,0,0
64,Foard,301,U S Senate,,Over Votes,,0,0,0
65,Foard,401,U S Senate,,Over Votes,,0,0,0
66,Foard,Total,U S Senate,,Over Votes,,0,0,0
67,Foard,101,U S Senate,,Under Votes,,2,4,6
68,Foard,201,U S Senate,,Under Votes,,2,12,14
69,Foard,301,U S Senate,,Under Votes,,0,7,7
70,Foard,401,U S Senate,,Under Votes,,4,5,9
71,Foard,Total,U S Senate,,Under Votes,,8,28,36
72,Foard,101,U.S. House,13,Mac Thornberry,,14,20,34
73,Foard,201,U.S. House,13,Mac Thornberry,,41,47,88
74,Foard,301,U.S. House,13,Mac Thornberry,,14,28,42
75,Foard,401,U.S. House,13,Mac Thornberry,,16,37,53
76,Foard,Total,U.S. House,13,Mac Thornberry,,85,132,217
77,Foard,101,U.S. House,13,Mike Minter,,2,6,8
78,Foard,201,U.S. House,13,Mike Minter,,18,19,37
79,Foard,301,U.S. House,13,Mike Minter,,7,20,27
80,Foard,401,U.S. House,13,Mike Minter,,10,6,16
81,Foard,Total,U.S. House,13,Mike Minter,,37,51,88
82,Foard,101,U.S. House,13,Emily Pivoda,,0,2,2
83,Foard,201,U.S. House,13,Emily Pivoda,,1,0,1
84,Foard,301,U.S. House,13,Emily Pivoda,,0,1,1
85,Foard,401,U.S. House,13,Emily Pivoda,,0,0,0
86,Foard,Total,U.S. House,13,Emily Pivoda,,1,3,4
87,Foard,101,U.S. House,13,Don Cook,,0,0,0
88,Foard,201,U.S. House,13,Don Cook,,0,0,0
89,Foard,301,U.S. House,13,Don Cook,,0,1,1
90,Foard,401,U.S. House,13,Don Cook,,0,1,1
91,Foard,Total,U.S. House,13,Don Cook,,0,2,2
92,Foard,101,U.S. House,13,Over Votes,,0,0,0
93,Foard,201,U.S. House,13,Over Votes,,0,0,0
94,Foard,301,U.S. House,13,Over Votes,,0,0,0
95,Foard,401,U.S. House,13,Over Votes,,0,0,0
96,Foard,Total,U.S. House,13,Over Votes,,0,0,0
97,Foard,101,U.S. House,13,Under Votes,,1,4,5
98,Foard,201,U.S. House,13,Under Votes,,2,5,7
99,Foard,301,U.S. House,13,Under Votes,,0,2,2
100,Foard,401,U.S. House,13,Under Votes,,1,5,6
101,Foard,Total,U.S. House,13,Under Votes,,4,16,20
102,Foard,101,Governor,,Greg Abbott,,13,22,35
103,Foard,201,Governor,,Greg Abbott,,38,39,77
104,Foard,301,Governor,,Greg Abbott,,13,31,44
