office,district,candidate,incumbent,party,votes,pct
U.S. Senator,,David M. Alameel,FALSE,DEM,145227,72.15
U.S. Senator,,Kesha Rogers,FALSE,DEM,56056,27.85
U.S. Senator,,Total,,,201283,
Commissioner of Agriculture,,"Richard ""Kinky"" Friedman",FALSE,DEM,91282,46.3
Commissioner of Agriculture,,Jim Hogan,FALSE,DEM,105887,53.7
Commissioner of Agriculture,,Total,,,197169,
Member State Board of Education,13,Erika Beltran,FALSE,DEM,13159,66.52
Member State Board of Education,13,Andrea Hilburn,FALSE,DEM,6622,33.48
Member State Board of Education,13,Total,,,19781,
State Representative,76,Cesar  Blanco,FALSE,DEM,4258,68.08
State Representative,76,Norma Chavez,FALSE,DEM,1996,31.92
State Representative,76,Total,,,6254,
State Representative,105,Terry Meza,FALSE,DEM,372,25.41
State Representative,105,Susan Motley,FALSE,DEM,1092,74.59
State Representative,105,Total,,,1464,
District Judge,45th Judicial District,John Bustamante,FALSE,DEM,8055,51.32
District Judge,45th Judicial District,Laura Flores Macom,FALSE,DEM,7642,48.68
District Judge,45th Judicial District,Total,,,15697,
District Judge,205th Judicial District,"Daniel ""Danny"" Anchondo",FALSE,DEM,8271,45.17
District Judge,205th Judicial District,Francisco X. Dominguez,FALSE,DEM,10040,54.83
District Judge,205th Judicial District,Total,,,18311,
District Judge,218th Judicial District,Carrie Moy,FALSE,DEM,2057,56.09
District Judge,218th Judicial District,Sylvia Rodriguez,FALSE,DEM,1610,43.91
District Judge,218th Judicial District,Total,,,3667,
District Judge,252nd Judicial District,Stella BatisteMorrison,FALSE,DEM,3565,43.78
District Judge,252nd Judicial District,Raquel West,FALSE,DEM,4578,56.22
District Judge,252nd Judicial District,Total,,,8143,
District Judge,275th Judicial District,"Fidencio Guerra, Jr.",FALSE,DEM,2114,26.39
District Judge,275th Judicial District,Juan R. Partida,TRUE,DEM,5896,73.61
District Judge,275th Judicial District,Total,,,8010,
U. S. Representative,4,Ralph M. Hall,TRUE,REP,19899,47.19
U. S. Representative,4,John Ratcliffe,FALSE,REP,22271,52.81
U. S. Representative,4,Total,,,42170,
U. S. Representative,23,"Francisco ""Quico"" Canseco",FALSE,REP,5930,40.54
U. S. Representative,23,Will Hurd,FALSE,REP,8699,59.46
U. S. Representative,23,Total,,,14629,
U. S. Representative,36,Brian Babin,FALSE,REP,19301,57.84
U. S. Representative,36,Ben Streusand,FALSE,REP,14069,42.16
U. S. Representative,36,Total,,,33370,
Lieutenant Governor,,David Dewhurst,TRUE,REP,263194,34.96
Lieutenant Governor,,Dan Patrick,FALSE,REP,489586,65.04
Lieutenant Governor,,Total,,,752780,
Attorney General,,Dan Branch,FALSE,REP,269098,36.59
Attorney General,,Ken Paxton,FALSE,REP,466407,63.41
Attorney General,,Total,,,735505,
Comptroller of Public Accounts,,Glenn Hegar,FALSE,REP,0,0
Comptroller of Public Accounts,,Total,,,0,
Commissioner of Agriculture,,Tommy Merritt,FALSE,REP,320835,46.8
Commissioner of Agriculture,,Sid Miller,FALSE,REP,364756,53.2
Commissioner of Agriculture,,Total,,,685591,
Railroad Commissioner,,Wayne Christian,FALSE,REP,298659,42.73
Railroad Commissioner,,Ryan Sitton,FALSE,REP,400259,57.27
Railroad Commissioner,,Total,,,698918,
Member State Board of Education,11,"Patricia ""Pat"" Hardy",TRUE,REP,32973,58.69
Member State Board of Education,11,Eric Mahroum,FALSE,REP,23211,41.31
Member State Board of Education,11,Total,,,56184,
State Senate,2,Bob Deuell,TRUE,REP,17933,49.59
State Senate,2,Bob Hall,FALSE,REP,18233,50.41
State Senate,2,Total,,,36166,
State Senate,10,Konni Burton,FALSE,REP,17435,60.22
State Senate,10,Mark M. Shelton,FALSE,REP,11515,39.78
State Senate,10,Total,,,28950,
State Representative,10,T.J. Fabby,FALSE,REP,5363,47.07
State Representative,10,John Wray,FALSE,REP,6031,52.93
State Representative,10,Total,,,11394,
State Representative,16,Will Metcalf,FALSE,REP,8914,62.07
State Representative,16,Ted Seago,FALSE,REP,5448,37.93
State Representative,16,Total,,,14362,
State Representative,53,Rob Henneke,FALSE,REP,6100,39.39
State Representative,53,Andrew S. Murr,FALSE,REP,9387,60.61
State Representative,53,Total,,,15487,
State Representative,58,DeWayne Burns,FALSE,REP,5142,53.41
State Representative,58,Philip Eby,FALSE,REP,4485,46.59
State Representative,58,Total,,,9627,
State Representative,66,Glenn Callison,FALSE,REP,3886,45.73
State Representative,66,Matt Shaheen,FALSE,REP,4612,54.27
State Representative,66,Total,,,8498,
State Representative,102,Stefani Carter,TRUE,REP,3407,40.18
State Representative,102,Linda Koop,FALSE,REP,5073,59.82
State Representative,102,Total,,,8480,
State Representative,108,Morgan Meyer,FALSE,REP,8551,74.45
State Representative,108,Chart Westcott,FALSE,REP,2935,25.55
State Representative,108,Total,,,11486,
State Representative,129,Sheryl Berg,FALSE,REP,3767,47.65
State Representative,129,Dennis Paul,FALSE,REP,4138,52.35
State Representative,129,Total,,,7905,
State Representative,132,Ann Hodge,FALSE,REP,1655,32.42
State Representative,132,Mike Schofield,FALSE,REP,3450,67.58
State Representative,132,Total,,,5105,
District Judge,86th Judicial District,Casey Blair,FALSE,REP,3511,58.15
District Judge,86th Judicial District,Wade Gent,FALSE,REP,2527,41.85
District Judge,86th Judicial District,Total,,,6038,
District Judge,144th Judicial District,Tanner Neidhardt,FALSE,REP,14195,45.26
District Judge,144th Judicial District,Lorina Rummel,FALSE,REP,17170,54.74
District Judge,144th Judicial District,Total,,,31365,
District Judge,212th Judicial District,Patricia Grady,FALSE,REP,6979,51.38
District Judge,212th Judicial District,Bret Griffin,FALSE,REP,6605,48.62
District Judge,212th Judicial District,Total,,,13584,
District Judge,247th Judicial District,John Schmude,FALSE,REP,42858,51.63
District Judge,247th Judicial District,M L Walker,FALSE,REP,40153,48.37
District Judge,247th Judicial District,Total,,,83011,
District Judge,258th Judicial District,Shelly Bush Sitton,FALSE,REP,3254,44.93
District Judge,258th Judicial District,"E.L. ""Ernie"" McClendon",FALSE,REP,3988,55.07
District Judge,258th Judicial District,Total,,,7242,
District Judge,306th Judicial District,Anne B. Darring,FALSE,REP,6968,54.49
District Judge,306th Judicial District,Wilfried Schmitz,FALSE,REP,5819,45.51
District Judge,306th Judicial District,Total,,,12787,
District Judge,311th Judicial District,Alicia Franklin,FALSE,REP,65204,77.44
District Judge,311th Judicial District,Denise Pratt,TRUE,REP,18993,22.56
District Judge,311th Judicial District,Total,,,84197,
Criminal,Attorney Denton County,Karen Alexander,FALSE,REP,9299,44.02
Criminal,Attorney Denton County,Paul Johnson,TRUE,REP,11825,55.98
Criminal,Attorney Denton County,Total,,,21124,
