county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Aranas,1,Ballots Cast,,,,,,,719
Aranas,1A,Ballots Cast,,,,,,,402
Aranas,2,Ballots Cast,,,,,,,1082
Aranas,3,Ballots Cast,,,,,,,1871
Aranas,4,Ballots Cast,,,,,,,1565
Aranas,4A,Ballots Cast,,,,,,,483
Aranas,Total,Ballots Cast,,,,,,,6122
Aranas,1,Straight Party,,Republican Party,,20,138,141,299
Aranas,1A,Straight Party,,Republican Party,,13,71,77,161
Aranas,2,Straight Party,,Republican Party,,49,148,157,354
Aranas,3,Straight Party,,Republican Party,,139,462,249,850
Aranas,4,Straight Party,,Republican Party,,98,368,234,700
Aranas,4A,Straight Party,,Republican Party,,23,102,101,226
Aranas,Total,Straight Party,,Republican Party,,342,1289,959,2590
Aranas,1,Straight Party,,Democratic Party,,5,32,34,71
Aranas,1A,Straight Party,,Democratic Party,,5,12,22,39
Aranas,2,Straight Party,,Democratic Party,,20,79,73,172
Aranas,3,Straight Party,,Democratic Party,,13,63,71,147
Aranas,4,Straight Party,,Democratic Party,,21,65,43,129
Aranas,4A,Straight Party,,Democratic Party,,2,20,21,43
Aranas,Total,Straight Party,,Democratic Party,,66,271,264,601
Aranas,1,Straight Party,,Libertarian Party,,0,0,2,2
Aranas,1A,Straight Party,,Libertarian Party,,0,0,1,1
Aranas,2,Straight Party,,Libertarian Party,,1,4,6,11
Aranas,3,Straight Party,,Libertarian Party,,1,1,1,3
Aranas,4,Straight Party,,Libertarian Party,,0,3,2,5
Aranas,4A,Straight Party,,Libertarian Party,,1,1,2,4
Aranas,Total,Straight Party,,Libertarian Party,,3,9,14,26
Aranas,1,Straight Party,,Green Party,,0,0,1,1
Aranas,1A,Straight Party,,Green Party,,0,0,0,0
Aranas,2,Straight Party,,Green Party,,0,0,2,2
Aranas,3,Straight Party,,Green Party,,0,1,1,2
Aranas,4,Straight Party,,Green Party,,0,0,2,2
Aranas,4A,Straight Party,,Green Party,,0,0,0,0
Aranas,Total,Straight Party,,Green Party,,0,1,6,7
Aranas,1,Straight Party,,Over Votes,,0,0,2,2
Aranas,1A,Straight Party,,Over Votes,,0,3,0,3
Aranas,2,Straight Party,,Over Votes,,0,1,0,1
Aranas,3,Straight Party,,Over Votes,,0,4,1,5
Aranas,4,Straight Party,,Over Votes,,0,6,0,6
Aranas,4A,Straight Party,,Over Votes,,0,0,0,0
Aranas,Total,Straight Party,,Over Votes,,0,14,3,17
Aranas,1,Straight Party,,Under Votes,,26,152,166,344
Aranas,1A,Straight Party,,Under Votes,,13,79,106,198
Aranas,2,Straight Party,,Under Votes,,33,236,273,542
Aranas,3,Straight Party,,Under Votes,,67,530,267,864
Aranas,4,Straight Party,,Under Votes,,70,397,256,723
Aranas,4A,Straight Party,,Under Votes,,19,90,101,210
Aranas,Total,Straight Party,,Under Votes,,228,1484,1169,2881
Aranas,1,U.S. Senate,,John Cornyn,REP,39,240,263,542
Aranas,1A,U.S. Senate,,John Cornyn,REP,20,127,144,291
Aranas,2,U.S. Senate,,John Cornyn,REP,65,288,314,667
Aranas,3,U.S. Senate,,John Cornyn,REP,184,823,426,"1,433"
Aranas,4,U.S. Senate,,John Cornyn,REP,148,647,403,"1,198"
Aranas,4A,U.S. Senate,,John Cornyn,REP,40,167,174,381
Aranas,Total,U.S. Senate,,John Cornyn,REP,496,2292,1724,4512
Aranas,1,U.S. Senate,,David M. Alameel,DEM,9,65,59,133
Aranas,1A,U.S. Senate,,David M. Alameel,DEM,7,26,47,80
Aranas,2,U.S. Senate,,David M. Alameel,DEM,36,139,131,306
Aranas,3,U.S. Senate,,David M. Alameel,DEM,28,159,128,315
Aranas,4,U.S. Senate,,David M. Alameel,DEM,35,135,88,258
Aranas,4A,U.S. Senate,,David M. Alameel,DEM,3,34,36,73
Aranas,Total,U.S. Senate,,David M. Alameel,DEM,118,558,489,1165
Aranas,1,U.S. Senate,,Rebecca Paddock,LIB,1,11,10,22
Aranas,1A,U.S. Senate,,Rebecca Paddock,LIB,4,1,7,12
Aranas,2,U.S. Senate,,Rebecca Paddock,LIB,1,10,24,35
Aranas,3,U.S. Senate,,Rebecca Paddock,LIB,3,20,17,40
Aranas,4,U.S. Senate,,Rebecca Paddock,LIB,4,22,17,43
Aranas,4A,U.S. Senate,,Rebecca Paddock,LIB,2,5,6,13
Aranas,Total,U.S. Senate,,Rebecca Paddock,LIB,15,69,81,165
Aranas,1,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,1,1,2,4
Aranas,1A,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,0,3,2,5
Aranas,2,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,0,5,9,14
Aranas,3,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,0,4,5,9
Aranas,4,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,0,3,9,12
Aranas,4A,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,0,1,1,2
Aranas,Total,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",GRN,1,17,28,46
Aranas,1,U.S. Senate,,Mohammed Tahiro (W),,0,0,0,0
Aranas,1A,U.S. Senate,,Mohammed Tahiro (W),,0,0,0,0
Aranas,2,U.S. Senate,,Mohammed Tahiro (W),,0,0,0,0
Aranas,3,U.S. Senate,,Mohammed Tahiro (W),,0,1,0,1
Aranas,4,U.S. Senate,,Mohammed Tahiro (W),,0,0,0,0
Aranas,4A,U.S. Senate,,Mohammed Tahiro (W),,0,0,0,0
Aranas,Total,U.S. Senate,,Mohammed Tahiro (W),,0,1,0,1
Aranas,1,U.S. Senate,,Over Votes,,0,0,0,0
Aranas,1A,U.S. Senate,,Over Votes,,0,0,0,0
Aranas,2,U.S. Senate,,Over Votes,,0,0,0,0
Aranas,3,U.S. Senate,,Over Votes,,0,0,0,0
Aranas,4,U.S. Senate,,Over Votes,,0,1,0,1
Aranas,4A,U.S. Senate,,Over Votes,,0,0,0,0
Aranas,Total,U.S. Senate,,Over Votes,,0,1,0,1
Aranas,1,U.S. Senate,,Under Votes,,1,5,12,18
Aranas,1A,U.S. Senate,,Under Votes,,0,8,6,14
Aranas,2,U.S. Senate,,Under Votes,,1,26,33,60
Aranas,3,U.S. Senate,,Under Votes,,4,54,14,72
Aranas,4,U.S. Senate,,Under Votes,,2,31,20,53
Aranas,4A,U.S. Senate,,Under Votes,,0,6,8,14
Aranas,Total,U.S. Senate,,Under Votes,,8,130,93,231
Aranas,1,U.S. House ,27,Blake Farenthold,,37,234,250,521
Aranas,1A,U.S. House ,27,Blake Farenthold,,19,127,138,284
Aranas,2,U.S. House ,27,Blake Farenthold,,67,273,309,649
Aranas,3,U.S. House ,27,Blake Farenthold,,181,792,416,"1,389"
Aranas,4,U.S. House ,27,Blake Farenthold,,143,626,393,"1,162"
Aranas,4A,U.S. House ,27,Blake Farenthold,,38,165,174,377
Aranas,Total,U.S. House ,27,Blake Farenthold,,485,2217,1680,4382
Aranas,1,U.S. House ,27,Wesley Reed,,12,75,78,165
Aranas,1A,U.S. House ,27,Wesley Reed,,10,29,54,93
Aranas,2,U.S. House ,27,Wesley Reed,,33,161,159,353
Aranas,3,U.S. House ,27,Wesley Reed,,32,208,151,391
Aranas,4,U.S. House ,27,Wesley Reed,,38,171,112,321
Aranas,4A,U.S. House ,27,Wesley Reed,,4,38,41,83
Aranas,Total,U.S. House ,27,Wesley Reed,,129,682,595,1406
Aranas,1,U.S. House ,27,Roxanne Simonson,,1,5,8,14
Aranas,1A,U.S. House ,27,Roxanne Simonson,,2,3,8,13
Aranas,2,U.S. House ,27,Roxanne Simonson,,1,14,20,35
Aranas,3,U.S. House ,27,Roxanne Simonson,,4,30,14,48
Aranas,4,U.S. House ,27,Roxanne Simonson,,5,18,20,43
Aranas,4A,U.S. House ,27,Roxanne Simonson,,3,5,7,15
Aranas,Total,U.S. House ,27,Roxanne Simonson,,16,75,77,168
Aranas,1,U.S. House ,27,Over Votes,REP,0,0,0,0
Aranas,1A,U.S. House ,27,Over Votes,REP,0,0,1,1
Aranas,2,U.S. House ,27,Over Votes,REP,0,1,0,1
Aranas,3,U.S. House ,27,Over Votes,REP,0,0,0,0
Aranas,4,U.S. House ,27,Over Votes,REP,0,3,0,3
Aranas,4A,U.S. House ,27,Over Votes,REP,0,0,0,0
Aranas,Total,U.S. House ,27,Over Votes,REP,0,4,1,5
Aranas,1,U.S. House ,27,Under Votes,DEM,1,8,10,19
Aranas,1A,U.S. House ,27,Under Votes,DEM,0,6,5,11
Aranas,2,U.S. House ,27,Under Votes,DEM,2,19,23,44
Aranas,3,U.S. House ,27,Under Votes,DEM,3,31,9,43
Aranas,4,U.S. House ,27,Under Votes,DEM,3,21,12,36
Aranas,4A,U.S. House ,27,Under Votes,DEM,0,5,3,8
Aranas,Total,U.S. House ,27,Under Votes,DEM,9,90,62,161
Aranas,1,Governor,,Greg Abbott,,37,244,271,552
Aranas,1A,Governor,,Greg Abbott,,20,130,140,290
Aranas,2,Governor,,Greg Abbott,,63,283,313,659
Aranas,3,Governor,,Greg Abbott,,181,811,410,"1,402"
Aranas,4,Governor,,Greg Abbott,,142,632,398,"1,172"
Aranas,4A,Governor,,Greg Abbott,,38,169,178,385
Aranas,Total,Governor,,Greg Abbott,,481,2269,1710,4460
Aranas,1,Governor,,Wendy R. Davis,,13,73,69,155
Aranas,1A,Governor,,Wendy R. Davis,,9,32,56,97
Aranas,2,Governor,,Wendy R. Davis,,40,159,163,362
Aranas,3,Governor,,Wendy R. Davis,,37,230,164,431
Aranas,4,Governor,,Wendy R. Davis,,45,184,119,348
Aranas,4A,Governor,,Wendy R. Davis,,5,40,42,87
Aranas,Total,Governor,,Wendy R. Davis,,149,718,613,1480
Aranas,1,Governor,,Kathie Glass,REP,0,1,4,5
Aranas,1A,Governor,,Kathie Glass,REP,2,1,5,8
Aranas,2,Governor,,Kathie Glass,REP,0,10,14,24
Aranas,3,Governor,,Kathie Glass,REP,1,13,10,24
Aranas,4,Governor,,Kathie Glass,REP,1,12,10,23
Aranas,4A,Governor,,Kathie Glass,REP,1,2,3,6
Aranas,Total,Governor,,Kathie Glass,REP,5,39,46,90
Aranas,1,Governor,,Brandon Parmer,DEM,0,1,1,2
Aranas,1A,Governor,,Brandon Parmer,DEM,0,1,1,2
Aranas,2,Governor,,Brandon Parmer,DEM,0,8,6,14
Aranas,3,Governor,,Brandon Parmer,DEM,0,4,1,5
Aranas,4,Governor,,Brandon Parmer,DEM,0,3,7,10
Aranas,4A,Governor,,Brandon Parmer,DEM,0,0,2,2
Aranas,Total,Governor,,Brandon Parmer,DEM,0,17,18,35
Aranas,1,Governor,,Sarah M. Pavitt (W),LIB,1,0,0,1
Aranas,1A,Governor,,Sarah M. Pavitt (W),LIB,0,0,0,0
Aranas,2,Governor,,Sarah M. Pavitt (W),LIB,0,0,1,1
Aranas,3,Governor,,Sarah M. Pavitt (W),LIB,0,0,1,1
Aranas,4,Governor,,Sarah M. Pavitt (W),LIB,1,1,0,2
Aranas,4A,Governor,,Sarah M. Pavitt (W),LIB,0,0,0,0
Aranas,Total,Governor,,Sarah M. Pavitt (W),LIB,2,1,2,5
Aranas,1,Governor,,Over Votes,GRN,0,0,0,0
Aranas,1A,Governor,,Over Votes,GRN,0,0,0,0
Aranas,2,Governor,,Over Votes,GRN,0,0,0,0
Aranas,3,Governor,,Over Votes,GRN,0,0,0,0
Aranas,4,Governor,,Over Votes,GRN,0,1,0,1
Aranas,4A,Governor,,Over Votes,GRN,1,0,0,1
Aranas,Total,Governor,,Over Votes,GRN,1,1,0,2
Aranas,1,Governor,,Under Votes,,0,3,1,4
Aranas,1A,Governor,,Under Votes,,0,0,4,4
Aranas,2,Governor,,Under Votes,,0,8,14,22
Aranas,3,Governor,,Under Votes,,1,3,3,7
Aranas,4,Governor,,Under Votes,,0,5,3,8
Aranas,4A,Governor,,Under Votes,,0,2,0,2
Aranas,Total,Governor,,Under Votes,,1,21,25,47
Aranas,1,Lieutenant Governor,,Dan Patrick,,40,235,255,530
Aranas,1A,Lieutenant Governor,,Dan Patrick,,21,125,139,285
Aranas,2,Lieutenant Governor,,Dan Patrick,,66,270,304,640
Aranas,3,Lieutenant Governor,,Dan Patrick,,180,796,407,"1,383"
Aranas,4,Lieutenant Governor,,Dan Patrick,,142,618,388,"1,148"
Aranas,4A,Lieutenant Governor,,Dan Patrick,,39,164,175,378
Aranas,Total,Lieutenant Governor,,Dan Patrick,,488,2208,1668,4364
Aranas,1,Lieutenant Governor,,Leticia Van de Putte,,10,76,75,161
Aranas,1A,Lieutenant Governor,,Leticia Van de Putte,,8,34,51,93
Aranas,2,Lieutenant Governor,,Leticia Van de Putte,,33,164,154,351
Aranas,3,Lieutenant Governor,,Leticia Van de Putte,,34,221,154,409
Aranas,4,Lieutenant Governor,,Leticia Van de Putte,,43,190,120,353
Aranas,4A,Lieutenant Governor,,Leticia Van de Putte,,4,42,42,88
Aranas,Total,Lieutenant Governor,,Leticia Van de Putte,,132,727,596,1455
Aranas,1,Lieutenant Governor,,Robert D. Butler,,0,5,8,13
Aranas,1A,Lieutenant Governor,,Robert D. Butler,,2,3,9,14
Aranas,2,Lieutenant Governor,,Robert D. Butler,,3,19,24,46
Aranas,3,Lieutenant Governor,,Robert D. Butler,,3,23,12,38
Aranas,4,Lieutenant Governor,,Robert D. Butler,,2,16,17,35
Aranas,4A,Lieutenant Governor,,Robert D. Butler,,2,3,5,10
Aranas,Total,Lieutenant Governor,,Robert D. Butler,,12,69,75,156
Aranas,1,Lieutenant Governor,,Chandrakantha Courtney,,0,1,1,2
Aranas,1A,Lieutenant Governor,,Chandrakantha Courtney,,0,1,4,5
Aranas,2,Lieutenant Governor,,Chandrakantha Courtney,,0,1,4,5
Aranas,3,Lieutenant Governor,,Chandrakantha Courtney,,1,2,5,8
Aranas,4,Lieutenant Governor,,Chandrakantha Courtney,,0,2,4,6
Aranas,4A,Lieutenant Governor,,Chandrakantha Courtney,,0,2,2,4
Aranas,Total,Lieutenant Governor,,Chandrakantha Courtney,,1,9,20,30
Aranas,1,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,1A,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,2,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,3,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,4,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,4A,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,Total,Lieutenant Governor,,Over Votes,,0,0,0,0
Aranas,1,Lieutenant Governor,,Under Votes,,1,5,7,13
Aranas,1A,Lieutenant Governor,,Under Votes,,0,2,3,5
Aranas,2,Lieutenant Governor,,Under Votes,,1,14,25,40
Aranas,3,Lieutenant Governor,,Under Votes,,2,19,12,33
Aranas,4,Lieutenant Governor,,Under Votes,,2,13,8,23
Aranas,4A,Lieutenant Governor,,Under Votes,,0,2,1,3
Aranas,Total,Lieutenant Governor,,Under Votes,,6,55,56,117
Aranas,1,Attorney General,,Ken Paxton,,40,241,253,534
Aranas,1A,Attorney General,,Ken Paxton,,20,130,141,291
Aranas,2,Attorney General,,Ken Paxton,,62,275,301,638
Aranas,3,Attorney General,,Ken Paxton,,180,812,403,"1,395"
Aranas,4,Attorney General,,Ken Paxton,,147,613,398,"1,158"
Aranas,4A,Attorney General,,Ken Paxton,,36,169,175,380
