county,precinct,candidate,party,office,district,early_voting,election_day,votes
Johnson,Pct1,Republican,,Straight Party,,49,32,81
Johnson,Pct2,Republican,,Straight Party,,313,369,682
Johnson,Pct3,Republican,,Straight Party,,241,331,572
Johnson,Pct4,Republican,,Straight Party,,440,542,982
Johnson,Pct5,Republican,,Straight Party,,280,412,692
Johnson,Pct6,Republican,,Straight Party,,28,72,100
Johnson,Pct7,Republican,,Straight Party,,560,639,1199
Johnson,Pct8,Republican,,Straight Party,,395,367,762
Johnson,Pct9,Republican,,Straight Party,,90,85,175
Johnson,Pct10,Republican,,Straight Party,,222,230,452
Johnson,Pct11,Republican,,Straight Party,,380,397,777
Johnson,Pct12,Republican,,Straight Party,,202,318,520
Johnson,Pct13,Republican,,Straight Party,,160,175,335
Johnson,Pct14,Republican,,Straight Party,,41,27,68
Johnson,Pct15,Republican,,Straight Party,,131,134,265
Johnson,Pct16,Republican,,Straight Party,,58,45,103
Johnson,Pct17,Republican,,Straight Party,,171,192,363
Johnson,Pct18,Republican,,Straight Party,,207,313,520
Johnson,Pct19,Republican,,Straight Party,,386,554,940
Johnson,Pct20,Republican,,Straight Party,,49,42,91
Johnson,Pct21,Republican,,Straight Party,,91,119,210
Johnson,Pct22,Republican,,Straight Party,,349,235,584
Johnson,Pct23,Republican,,Straight Party,,235,105,340
Johnson,Pct24,Republican,,Straight Party,,114,99,213
Johnson,Pct25,Republican,,Straight Party,,140,40,180
Johnson,Pct26,Republican,,Straight Party,,147,111,258
Johnson,Pct27,Republican,,Straight Party,,142,220,362
Johnson,Pct28,Republican,,Straight Party,,133,205,338
Johnson,Pct29,Republican,,Straight Party,,75,80,155
Johnson,Pct30,Republican,,Straight Party,,126,40,166
Johnson,Pct31,Republican,,Straight Party,,99,90,189
Johnson,Pct32,Republican,,Straight Party,,222,317,539
Johnson,Pct33,Republican,,Straight Party,,101,74,175
Johnson,Pct34,Republican,,Straight Party,,123,226,349
Johnson,Pct35,Republican,,Straight Party,,352,452,804
Johnson,Pct36,Republican,,Straight Party,,54,16,70
Johnson,Total,Republican,,Straight Party,,6906,7705,14611
Johnson,Pct1,Democratic,,Straight Party,,7,7,14
Johnson,Pct2,Democratic,,Straight Party,,43,63,106
Johnson,Pct3,Democratic,,Straight Party,,42,62,104
Johnson,Pct4,Democratic,,Straight Party,,84,122,206
Johnson,Pct5,Democratic,,Straight Party,,36,71,107
Johnson,Pct6,Democratic,,Straight Party,,3,4,7
Johnson,Pct7,Democratic,,Straight Party,,77,103,180
Johnson,Pct8,Democratic,,Straight Party,,118,97,215
Johnson,Pct9,Democratic,,Straight Party,,12,20,32
Johnson,Pct10,Democratic,,Straight Party,,66,62,128
Johnson,Pct11,Democratic,,Straight Party,,54,78,132
Johnson,Pct12,Democratic,,Straight Party,,28,48,76
Johnson,Pct13,Democratic,,Straight Party,,27,26,53
Johnson,Pct14,Democratic,,Straight Party,,0,5,5
Johnson,Pct15,Democratic,,Straight Party,,29,14,43
Johnson,Pct16,Democratic,,Straight Party,,12,2,14
Johnson,Pct17,Democratic,,Straight Party,,40,51,91
Johnson,Pct18,Democratic,,Straight Party,,45,60,105
Johnson,Pct19,Democratic,,Straight Party,,67,81,148
Johnson,Pct20,Democratic,,Straight Party,,45,36,81
Johnson,Pct21,Democratic,,Straight Party,,14,24,38
Johnson,Pct22,Democratic,,Straight Party,,70,37,107
Johnson,Pct23,Democratic,,Straight Party,,60,18,78
Johnson,Pct24,Democratic,,Straight Party,,19,19,38
Johnson,Pct25,Democratic,,Straight Party,,19,13,32
Johnson,Pct26,Democratic,,Straight Party,,15,14,29
Johnson,Pct27,Democratic,,Straight Party,,17,31,48
Johnson,Pct28,Democratic,,Straight Party,,23,29,52
Johnson,Pct29,Democratic,,Straight Party,,6,11,17
Johnson,Pct30,Democratic,,Straight Party,,15,4,19
Johnson,Pct31,Democratic,,Straight Party,,13,17,30
Johnson,Pct32,Democratic,,Straight Party,,42,45,87
Johnson,Pct33,Democratic,,Straight Party,,13,7,20
Johnson,Pct34,Democratic,,Straight Party,,16,42,58
Johnson,Pct35,Democratic,,Straight Party,,49,59,108
Johnson,Pct36,Democratic,,Straight Party,,16,27,43
Johnson,Total,Democratic,,Straight Party,,1242,1409,2651
Johnson,Pct1,Libertarian,,Straight Party,,1,1,2
Johnson,Pct2,Libertarian,,Straight Party,,2,5,7
Johnson,Pct3,Libertarian,,Straight Party,,5,0,5
Johnson,Pct4,Libertarian,,Straight Party,,5,2,7
Johnson,Pct5,Libertarian,,Straight Party,,3,7,10
Johnson,Pct6,Libertarian,,Straight Party,,0,0,0
Johnson,Pct7,Libertarian,,Straight Party,,4,3,7
Johnson,Pct8,Libertarian,,Straight Party,,6,5,11
Johnson,Pct9,Libertarian,,Straight Party,,1,0,1
Johnson,Pct10,Libertarian,,Straight Party,,2,0,2
Johnson,Pct11,Libertarian,,Straight Party,,3,0,3
Johnson,Pct12,Libertarian,,Straight Party,,8,1,9
Johnson,Pct13,Libertarian,,Straight Party,,2,1,3
Johnson,Pct14,Libertarian,,Straight Party,,1,0,1
Johnson,Pct15,Libertarian,,Straight Party,,2,0,2
Johnson,Pct16,Libertarian,,Straight Party,,1,0,1
Johnson,Pct17,Libertarian,,Straight Party,,1,2,3
Johnson,Pct18,Libertarian,,Straight Party,,1,4,5
Johnson,Pct19,Libertarian,,Straight Party,,4,5,9
Johnson,Pct20,Libertarian,,Straight Party,,0,1,1
Johnson,Pct21,Libertarian,,Straight Party,,0,0,0
Johnson,Pct22,Libertarian,,Straight Party,,6,2,8
Johnson,Pct23,Libertarian,,Straight Party,,2,0,2
Johnson,Pct24,Libertarian,,Straight Party,,3,0,3
Johnson,Pct25,Libertarian,,Straight Party,,0,1,1
Johnson,Pct26,Libertarian,,Straight Party,,2,0,2
Johnson,Pct27,Libertarian,,Straight Party,,1,0,1
Johnson,Pct28,Libertarian,,Straight Party,,1,1,2
Johnson,Pct29,Libertarian,,Straight Party,,1,0,1
Johnson,Pct30,Libertarian,,Straight Party,,0,0,0
Johnson,Pct31,Libertarian,,Straight Party,,0,0,0
Johnson,Pct32,Libertarian,,Straight Party,,2,0,2
Johnson,Pct33,Libertarian,,Straight Party,,3,0,3
Johnson,Pct34,Libertarian,,Straight Party,,1,0,1
Johnson,Pct35,Libertarian,,Straight Party,,1,5,6
Johnson,Pct36,Libertarian,,Straight Party,,0,0,0
Johnson,Total,Libertarian,,Straight Party,,75,46,121
Johnson,Pct1,Green Party,,Straight Party,,0,0,0
Johnson,Pct2,Green Party,,Straight Party,,1,0,1
Johnson,Pct3,Green Party,,Straight Party,,0,0,0
Johnson,Pct4,Green Party,,Straight Party,,2,0,2
Johnson,Pct5,Green Party,,Straight Party,,0,1,1
Johnson,Pct6,Green Party,,Straight Party,,0,0,0
Johnson,Pct7,Green Party,,Straight Party,,0,2,2
Johnson,Pct8,Green Party,,Straight Party,,0,1,1
Johnson,Pct9,Green Party,,Straight Party,,0,0,0
Johnson,Pct10,Green Party,,Straight Party,,4,0,4
Johnson,Pct11,Green Party,,Straight Party,,1,0,1
Johnson,Pct12,Green Party,,Straight Party,,1,1,2
Johnson,Pct13,Green Party,,Straight Party,,0,0,0
Johnson,Pct14,Green Party,,Straight Party,,0,0,0
Johnson,Pct15,Green Party,,Straight Party,,0,0,0
Johnson,Pct16,Green Party,,Straight Party,,0,0,0
Johnson,Pct17,Green Party,,Straight Party,,0,0,0
Johnson,Pct18,Green Party,,Straight Party,,0,0,0
Johnson,Pct19,Green Party,,Straight Party,,2,1,3
Johnson,Pct20,Green Party,,Straight Party,,0,0,0
Johnson,Pct21,Green Party,,Straight Party,,0,0,0
Johnson,Pct22,Green Party,,Straight Party,,2,0,2
Johnson,Pct23,Green Party,,Straight Party,,0,1,1
