county,precinct,office,district,party,candidate,election_day,early_voting,absentee,votes
Denton,1000,Registered Voters,,,,,,,2471.0
Denton,1000,Ballots Cast,,,,,,,1044.0
Denton,1001,Registered Voters,,,,,,,1474.0
Denton,1001,Ballots Cast,,,,,,,492.0
Denton,1002,Registered Voters,,,,,,,3603.0
Denton,1002,Ballots Cast,,,,,,,1116.0
Denton,1003,Registered Voters,,,,,,,2947.0
Denton,1003,Ballots Cast,,,,,,,1045.0
Denton,1004,Registered Voters,,,,,,,5179.0
Denton,1004,Ballots Cast,,,,,,,1631.0
Denton,1005,Registered Voters,,,,,,,2129.0
Denton,1005,Ballots Cast,,,,,,,823.0
Denton,1006,Registered Voters,,,,,,,3547.0
Denton,1006,Ballots Cast,,,,,,,1211.0
Denton,1007,Registered Voters,,,,,,,3974.0
Denton,1007,Ballots Cast,,,,,,,1540.0
Denton,1008,Registered Voters,,,,,,,1258.0
Denton,1008,Ballots Cast,,,,,,,535.0
Denton,1009,Registered Voters,,,,,,,2284.0
Denton,1009,Ballots Cast,,,,,,,790.0
Denton,1010,Registered Voters,,,,,,,2436.0
Denton,1010,Ballots Cast,,,,,,,1128.0
Denton,1011,Registered Voters,,,,,,,2831.0
Denton,1011,Ballots Cast,,,,,,,1115.0
Denton,1012,Registered Voters,,,,,,,2625.0
Denton,1012,Ballots Cast,,,,,,,1464.0
Denton,1013,Registered Voters,,,,,,,2752.0
Denton,1013,Ballots Cast,,,,,,,944.0
Denton,1014,Registered Voters,,,,,,,253.0
Denton,1014,Ballots Cast,,,,,,,56.0
Denton,1015,Registered Voters,,,,,,,2605.0
Denton,1015,Ballots Cast,,,,,,,1375.0
Denton,1016,Registered Voters,,,,,,,2653.0
Denton,1016,Ballots Cast,,,,,,,1202.0
Denton,1017,Registered Voters,,,,,,,4302.0
Denton,1017,Ballots Cast,,,,,,,1856.0
Denton,1018,Registered Voters,,,,,,,4148.0
Denton,1018,Ballots Cast,,,,,,,1782.0
Denton,1019,Registered Voters,,,,,,,2491.0
Denton,1019,Ballots Cast,,,,,,,813.0
Denton,1020,Registered Voters,,,,,,,3863.0
Denton,1020,Ballots Cast,,,,,,,1633.0
Denton,1021,Registered Voters,,,,,,,3075.0
Denton,1021,Ballots Cast,,,,,,,1119.0
Denton,1022,Registered Voters,,,,,,,2841.0
Denton,1022,Ballots Cast,,,,,,,921.0
Denton,1023,Registered Voters,,,,,,,3694.0
Denton,1023,Ballots Cast,,,,,,,1231.0
Denton,1024,Registered Voters,,,,,,,1962.0
Denton,1024,Ballots Cast,,,,,,,905.0
Denton,1025,Registered Voters,,,,,,,4039.0
Denton,1025,Ballots Cast,,,,,,,1482.0
Denton,1026,Registered Voters,,,,,,,2612.0
Denton,1026,Ballots Cast,,,,,,,924.0
Denton,1027,Registered Voters,,,,,,,38.0
Denton,1027,Ballots Cast,,,,,,,15.0
Denton,1028,Registered Voters,,,,,,,1125.0
Denton,1028,Ballots Cast,,,,,,,307.0
Denton,1029,Registered Voters,,,,,,,5194.0
Denton,1029,Ballots Cast,,,,,,,1732.0
Denton,1030,Registered Voters,,,,,,,3786.0
Denton,1030,Ballots Cast,,,,,,,1349.0
Denton,1031,Registered Voters,,,,,,,3944.0
Denton,1031,Ballots Cast,,,,,,,1310.0
Denton,1032,Registered Voters,,,,,,,4290.0
Denton,1032,Ballots Cast,,,,,,,1510.0
Denton,1033,Registered Voters,,,,,,,1957.0
