county,precinct,office,district,party,candidate,election_day,early_voting,absentee,votes
Montague,2,Registered Voters,,,,,,,2211.0
Montague,2,Ballots Cast,,,,,,,1420.0
Montague,3,Registered Voters,,,,,,,1274.0
Montague,3,Ballots Cast,,,,,,,699.0
Montague,4,Registered Voters,,,,,,,698.0
Montague,4,Ballots Cast,,,,,,,210.0
Montague,5,Registered Voters,,,,,,,950.0
Montague,5,Ballots Cast,,,,,,,427.0
Montague,6,Registered Voters,,,,,,,978.0
Montague,6,Ballots Cast,,,,,,,409.0
Montague,7,Registered Voters,,,,,,,915.0
Montague,7,Ballots Cast,,,,,,,491.0
Montague,8,Registered Voters,,,,,,,696.0
Montague,8,Ballots Cast,,,,,,,360.0
Montague,9,Registered Voters,,,,,,,1070.0
Montague,9,Ballots Cast,,,,,,,657.0
Montague,10,Registered Voters,,,,,,,1010.0
Montague,10,Ballots Cast,,,,,,,461.0
Montague,11,Registered Voters,,,,,,,1046.0
Montague,11,Ballots Cast,,,,,,,547.0
Montague,12,Registered Voters,,,,,,,123.0
Montague,12,Ballots Cast,,,,,,,75.0
Montague,13,Registered Voters,,,,,,,1011.0
Montague,13,Ballots Cast,,,,,,,508.0
Montague,14,Registered Voters,,,,,,,198.0
Montague,14,Ballots Cast,,,,,,,116.0
Montague,15,Registered Voters,,,,,,,461.0
Montague,15,Ballots Cast,,,,,,,273.0
Montague,16,Registered Voters,,,,,,,312.0
Montague,16,Ballots Cast,,,,,,,168.0
Montague,BURG ISD,Registered Voters,,,,,,,0.0
Montague,BURG ISD,Ballots Cast,,,,,,,0.0
Montague,Total:,Registered Voters,,,,,,,12953.0
Montague,Total:,Ballots Cast,,,,,,,6821.0
Montague,2,Straight Party,,,REPUBLICAN PARTY,434.0,251.0,40.0,725.0
Montague,2,Straight Party,,,DEMOCRATIC PARTY,59.0,34.0,7.0,100.0
Montague,2,Straight Party,,,LIBERTARIAN PARTY,1.0,1.0,0.0,2.0
Montague,2,Straight Party,,,GREEN PARTY,0.0,0.0,0.0,0.0
Montague,3,Straight Party,,,REPUBLICAN PARTY,208.0,121.0,21.0,350.0
