county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Polk,Precinct 1,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,3,,,
Polk,Precinct 2,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,1,,,
Polk,Precinct 3,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,5,,,
Polk,Precinct 4,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,7,,,
Polk,Precinct 5,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,11,,,
Polk,Precinct 6,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,14,,,
Polk,Precinct 7,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,4,,,
Polk,Precinct 8,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,6,,,
Polk,Precinct 9,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,4,,,
Polk,Precinct 10,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,6,,,
Polk,Precinct 11,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,4,,,
Polk,Precinct 12,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,0,,,
Polk,Precinct 13,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,0,,,
Polk,Precinct 14,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,3,,,
Polk,Precinct 15,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,1,,,
Polk,Precinct 16,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,3,,,
Polk,Precinct 17,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,0,,,
Polk,Precinct 18,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,5,,,
Polk,Precinct 19,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,12,,,
Polk,Precinct 20,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,21,,,
Polk,Precinct 21,United States Senator POLK COUNTYWIDE,,DEM,Maxey Marie Scherr,5,,,
Polk,Precinct 1,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,1,,,
Polk,Precinct 2,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,1,,,
Polk,Precinct 3,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,10,,,
Polk,Precinct 4,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,2,,,
Polk,Precinct 5,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,5,,,
Polk,Precinct 6,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,15,,,
Polk,Precinct 7,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,7,,,
Polk,Precinct 8,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,14,,,
Polk,Precinct 9,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,2,,,
Polk,Precinct 10,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,7,,,
Polk,Precinct 11,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,2,,,
Polk,Precinct 12,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,1,,,
Polk,Precinct 13,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,1,,,
Polk,Precinct 14,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,8,,,
Polk,Precinct 15,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,1,,,
Polk,Precinct 16,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,1,,,
Polk,Precinct 17,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,7,,,
Polk,Precinct 18,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,6,,,
Polk,Precinct 19,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,10,,,
Polk,Precinct 20,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,8,,,
Polk,Precinct 21,United States Senator POLK COUNTYWIDE,,DEM,Kesha Rogers,3,,,
Polk,Precinct 1,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,0,,,
Polk,Precinct 2,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,0,,,
Polk,Precinct 3,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,3,,,
Polk,Precinct 4,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,1,,,
Polk,Precinct 5,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,3,,,
Polk,Precinct 6,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,5,,,
Polk,Precinct 7,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,1,,,
Polk,Precinct 8,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,2,,,
Polk,Precinct 9,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,3,,,
Polk,Precinct 10,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,4,,,
Polk,Precinct 11,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,1,,,
Polk,Precinct 12,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,1,,,
Polk,Precinct 13,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,0,,,
Polk,Precinct 14,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,0,,,
Polk,Precinct 15,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,2,,,
Polk,Precinct 16,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,0,,,
Polk,Precinct 17,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,1,,,
Polk,Precinct 18,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,4,,,
Polk,Precinct 19,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,4,,,
Polk,Precinct 20,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,2,,,
Polk,Precinct 21,United States Senator POLK COUNTYWIDE,,DEM,Harry Kim,0,,,
Polk,Precinct 1,United States Senator POLK COUNTYWIDE,,DEM,David M. Alameel,3,,,
Polk,Precinct 2,United States Senator POLK COUNTYWIDE,,DEM,David M. Alameel,1,,,
