office,district,candidate,incumbent,party,votes,pct
U.S. Senate,,David M. Alameel,FALSE,DEM,239914,47.04
U.S. Senate,,"Michael ""Fjet"" Fjetland",FALSE,DEM,24383,4.78
U.S. Senate,,Harry Kim,FALSE,DEM,45207,8.86
U.S. Senate,,Kesha Rogers,FALSE,DEM,110146,21.6
U.S. Senate,,Maxey Marie Scherr,FALSE,DEM,90359,17.72
U.S. Senate,,Total,,,510009,
U. S. Representative,1,Shirley J. McKellar,FALSE,DEM,7240,100
U. S. Representative,1,Total,,,7240,
U. S. Representative,2,Niko Letsos,FALSE,DEM,5906,100
U. S. Representative,2,Total,,,5906,
U. S. Representative,6,David E. Cozad,FALSE,DEM,11727,100
U. S. Representative,6,Total,,,11727,
U. S. Representative,7,James Cargas,FALSE,DEM,4098,62.19
U. S. Representative,7,Lissa Squiers,FALSE,DEM,2491,37.81
U. S. Representative,7,Total,,,6589,
U. S. Representative,9,Al Green,TRUE,DEM,13442,100
U. S. Representative,9,Total,,,13442,
U. S. Representative,10,Tawana WalterCadien,FALSE,DEM,13915,100
U. S. Representative,10,Total,,,13915,
U. S. Representative,12,Mark Greene,FALSE,DEM,9700,100
U. S. Representative,12,Total,,,9700,
U. S. Representative,13,Mike Minter,FALSE,DEM,4842,100
U. S. Representative,13,Total,,,4842,
U. S. Representative,14,Donald G. Brown,FALSE,DEM,9780,68.24
U. S. Representative,14,Gagan Panjhazari,FALSE,DEM,853,5.95
U. S. Representative,14,Buck Willis,FALSE,DEM,3699,25.81
U. S. Representative,14,Total,,,14332,
U. S. Representative,15,Rub̩n Hinojosa,TRUE,DEM,29916,100
U. S. Representative,15,Total,,,29916,
U. S. Representative,16,Beto O'Rourke,TRUE,DEM,24728,100
U. S. Representative,16,Total,,,24728,
U. S. Representative,17,Nick Haynes,FALSE,DEM,10141,100
U. S. Representative,17,Total,,,10141,
U. S. Representative,18,Sheila Jackson Lee,TRUE,DEM,14373,100
U. S. Representative,18,Total,,,14373,
U. S. Representative,19,Neal Marchbanks,FALSE,DEM,6476,100
U. S. Representative,19,Total,,,6476,
U. S. Representative,20,Joaquin Castro,TRUE,DEM,16275,100
U. S. Representative,20,Total,,,16275,
U. S. Representative,22,Frank Briscoe,FALSE,DEM,3378,53.19
U. S. Representative,22,Mark Gibson,FALSE,DEM,2973,46.81
U. S. Representative,22,Total,,,6351,
U. S. Representative,23,Pete P. Gallego,TRUE,DEM,26484,100
U. S. Representative,23,Total,,,26484,
U. S. Representative,24,Patrick McGehearty,FALSE,DEM,8247,100
U. S. Representative,24,Total,,,8247,
U. S. Representative,25,Stuart Gourd,FALSE,DEM,3863,24.84
U. S. Representative,25,Marco Montoya,FALSE,DEM,11691,75.16
U. S. Representative,25,Total,,,15554,
U. S. Representative,27,Wesley Reed,FALSE,DEM,11585,100
U. S. Representative,27,Total,,,11585,
U. S. Representative,28,Henry Cuellar,TRUE,DEM,36821,100
U. S. Representative,28,Total,,,36821,
U. S. Representative,29,Gene Green,TRUE,DEM,6244,100
U. S. Representative,29,Total,,,6244,
U. S. Representative,30,Barbara Mallory Caraway,FALSE,DEM,10216,30.07
U. S. Representative,30,Eddie Bernice Johnson,TRUE,DEM,23756,69.93
U. S. Representative,30,Total,,,33972,
U. S. Representative,31,Louie Minor,FALSE,DEM,8036,100
U. S. Representative,31,Total,,,8036,
U. S. Representative,32,Frank Perez,FALSE,DEM,10681,100
U. S. Representative,32,Total,,,10681,
U. S. Representative,33,Tom Sanchez,FALSE,DEM,4798,26.52
U. S. Representative,33,Marc Veasey,TRUE,DEM,13292,73.48
U. S. Representative,33,Total,,,18090,
U. S. Representative,34,Filemon B Vela,TRUE,DEM,26237,100
U. S. Representative,34,Total,,,26237,
U. S. Representative,35,Lloyd Doggett,TRUE,DEM,15399,100
U. S. Representative,35,Total,,,15399,
U. S. Representative,36,Michael K. Cole,FALSE,DEM,6507,100
U. S. Representative,36,Total,,,6507,
Governor,,Wendy R. Davis,FALSE,DEM,432595,78.08
Governor,,"Reynaldo ""Ray"" Madrigal",FALSE,DEM,121419,21.92
Governor,,Total,,,554014,
Lieutenant Governor,,Leticia Van de Putte,FALSE,DEM,451822,100
Lieutenant Governor,,Total,,,451822,
Attorney General,,Sam Houston,FALSE,DEM,437518,100
Attorney General,,Total,,,437518,
Comptroller of Public Accounts,,Mike Collier,FALSE,DEM,429920,100
Comptroller of Public Accounts,,Total,,,429920,
Commissioner of the General Land Office,,John Cook,FALSE,DEM,433210,100
Commissioner of the General Land Office,,Total,,,433210,
Commissioner of Agriculture,,Hugh Asa Fitzsimons III,FALSE,DEM,115395,23.52
Commissioner of Agriculture,,"Richard ""Kinky"" Friedman",FALSE,DEM,185180,37.74
Commissioner of Agriculture,,Jim Hogan,FALSE,DEM,190090,38.74
Commissioner of Agriculture,,Total,,,490665,
Railroad Commissioner,,Steve Brown,FALSE,DEM,299009,64.02
Railroad Commissioner,,Dale Henry,FALSE,DEM,168036,35.98
Railroad Commissioner,,Total,,,467045,
"Chief Justice, Supreme Court",,William Moody,FALSE,DEM,427420,100
"Chief Justice, Supreme Court",,Total,,,427420,
Justice Supreme Court,6 Unexpired Term,Lawrence Edward Meyers,FALSE,DEM,416888,100
Justice Supreme Court,6 Unexpired Term,Total,,,416888,
Justice Supreme Court,7,Gina Benavides,FALSE,DEM,430924,100
Justice Supreme Court,7,Total,,,430924,
Judge Court of Criminal Appeals,3,John Granberg,FALSE,DEM,411659,100
Judge Court of Criminal Appeals,3,Total,,,411659,
Member State Board of Education,2,Ruben Cortez Jr.,TRUE,DEM,43959,100
Member State Board of Education,2,Total,,,43959,
Member State Board of Education,3,Marisa B. Perez,TRUE,DEM,45328,100
Member State Board of Education,3,Total,,,45328,
Member State Board of Education,4,Lawrence A. Allen Jr.,TRUE,DEM,26415,100
Member State Board of Education,4,Total,,,26415,
Member State Board of Education,7,Kathy King,FALSE,DEM,22990,100
Member State Board of Education,7,Total,,,22990,
Member State Board of Education,11,Nancy Bean,FALSE,DEM,22853,100
Member State Board of Education,11,Total,,,22853,
Member State Board of Education,12,Lois Parrott,FALSE,DEM,21314,100
Member State Board of Education,12,Total,,,21314,
Member State Board of Education,13,Erika Beltran,FALSE,DEM,23570,47.03
Member State Board of Education,13,Andrea Hilburn,FALSE,DEM,13733,27.4
Member State Board of Education,13,A Denise Russell,FALSE,DEM,12819,25.58
Member State Board of Education,13,Total,,,50122,
State Senate,5,Joel Shapiro,FALSE,DEM,10806,100
State Senate,5,Total,,,10806,
State Senate,7,Jim Davis,FALSE,DEM,4567,100
State Senate,7,Total,,,4567,
State Senate,9,Gregory R. Perry,FALSE,DEM,8941,100
State Senate,9,Total,,,8941,
State Senate,10,George Boll,,,DEM,
State Senate,10,Mike Martinez,FALSE,DEM,10047,43.52
State Senate,10,Libby Willis,FALSE,DEM,13041,56.48
State Senate,10,Total,,,23088,
State Senate,14,Kirk Watson,TRUE,DEM,36761,100
State Senate,14,Total,,,36761,
State Senate,15,Damian LaCroix,FALSE,DEM,3239,24.91
State Senate,15,John Whitmire,TRUE,DEM,9766,75.09
State Senate,15,Total,,,13005,
State Senate,17,Rita Lucido,FALSE,DEM,8047,100
State Senate,17,Total,,,8047,
State Senate,23,Royce West,TRUE,DEM,32493,100
State Senate,23,Total,,,32493,
State Senate,25,Daniel Boone,FALSE,DEM,15537,100
State Senate,25,Total,,,15537,
State Representative,14,Andrew Metscher,FALSE,DEM,1344,100
State Representative,14,Total,,,1344,
State Representative,16,"Michael Hayles, Sr.",FALSE,DEM,715,100
State Representative,16,Total,,,715,
State Representative,17,Carolyn Banks,FALSE,DEM,4492,100
State Representative,17,Total,,,4492,
State Representative,20,Stephen M. Wyman,FALSE,DEM,2496,100
State Representative,20,Total,,,2496,
State Representative,21,Gavin Bruney,FALSE,DEM,3046,100
State Representative,21,Total,,,3046,
State Representative,22,Joe Deshotel,TRUE,DEM,8115,100
State Representative,22,Total,,,8115,
State Representative,23,Susan Criss,FALSE,DEM,2653,100
State Representative,23,Total,,,2653,
State Representative,26,Amber C. Paaso,FALSE,DEM,1252,100
