county,precinct,office,district,party,candidate,votes,early_votes,election_day
Taylor,101-0,Straight-Party Vote,,REP,Republican,548,342,206
Taylor,101-0,Straight-Party Vote,,,Over Votes,0,0,0
Taylor,101-0,Straight-Party Vote,,,Under Votes,537,287,250
Taylor,101-0,Straight-Party Vote,,DEM,Democratic,138,86,52
Taylor,101-0,Straight-Party Vote,,LIB,Libertarian,5,2,3
Taylor,101-0,Straight-Party Vote,,GRN,Green,1,0,1
Taylor,101-0,United States Senator,,REP,John Cornyn,939,560,379
Taylor,101-0,United States Senator,,,Over Votes,0,0,0
Taylor,101-0,United States Senator,,,Under Votes,23,13,10
Taylor,101-0,United States Senator,,DEM,David M. Alameel,225,130,95
Taylor,101-0,United States Senator,,LIB,Rebecca Paddock,29,10,19
Taylor,101-0,United States Senator,,GRN,"Emily ""Spicybrown"" Sanchez",13,4,9
Taylor,101-0,United States Senator,,"",Mohammed Tahiro,0,0,0
Taylor,101-0,United States Representative,19,REP,Randy Neugebauer,876,508,368
Taylor,101-0,United States Representative,19,,Over Votes,0,0,0
Taylor,101-0,United States Representative,19,,Under Votes,31,19,12
Taylor,101-0,United States Representative,19,DEM,Neal Marchbanks,263,155,108
Taylor,101-0,United States Representative,19,LIB,Richard (Chip) Peterson,59,35,24
Taylor,101-0,United States Representative,19,"",Donald L. Vance,0,0,0
Taylor,101-0,Governor,,REP,Greg Abbott,936,553,383
Taylor,101-0,Governor,,,Over Votes,0,0,0
Taylor,101-0,Governor,,,Under Votes,24,14,10
Taylor,101-0,Governor,,DEM,Wendy R. Davis,248,142,106
Taylor,101-0,Governor,,LIB,Kathie Glass,18,7,11
Taylor,101-0,Governor,,GRN,Brandon Parmer,3,1,2
Taylor,101-0,Governor,,"",Sarah M. Pavitt,0,0,0
Taylor,101-0,Lieutenant Governor,,REP,Dan Patrick,934,556,378
Taylor,101-0,Lieutenant Governor,,,Over Votes,0,0,0
Taylor,101-0,Lieutenant Governor,,,Under Votes,24,13,11
