county,precinct,office,district,party,candidate,election_day,early_voting,absentee,votes
Rockwall,PRECINCT 1,Registered Voters,,,,,,,4489.0
Rockwall,PRECINCT 1,Ballots Cast,,,,,,,1993.0
Rockwall,PRECINCT 1A,Registered Voters,,,,,,,3445.0
Rockwall,PRECINCT 1A,Ballots Cast,,,,,,,1203.0
Rockwall,PRECINCT 1B,Registered Voters,,,,,,,3655.0
Rockwall,PRECINCT 1B,Ballots Cast,,,,,,,1677.0
Rockwall,PRECINCT 1C,Registered Voters,,,,,,,2922.0
Rockwall,PRECINCT 1C,Ballots Cast,,,,,,,1396.0
Rockwall,PRECINCT 2,Registered Voters,,,,,,,4026.0
Rockwall,PRECINCT 2,Ballots Cast,,,,,,,1726.0
Rockwall,PRECINCT 2A,Registered Voters,,,,,,,4096.0
Rockwall,PRECINCT 2A,Ballots Cast,,,,,,,1659.0
Rockwall,PRECINCT 2B,Registered Voters,,,,,,,1807.0
Rockwall,PRECINCT 2B,Ballots Cast,,,,,,,738.0
Rockwall,PRECINCT 2C,Registered Voters,,,,,,,4120.0
Rockwall,PRECINCT 2C,Ballots Cast,,,,,,,2046.0
Rockwall,PRECINCT 3,Registered Voters,,,,,,,585.0
Rockwall,PRECINCT 3,Ballots Cast,,,,,,,180.0
Rockwall,PRECINCT 3A,Registered Voters,,,,,,,1372.0
Rockwall,PRECINCT 3A,Ballots Cast,,,,,,,365.0
Rockwall,PRECINCT 3B,Registered Voters,,,,,,,2721.0
Rockwall,PRECINCT 3B,Ballots Cast,,,,,,,949.0
Rockwall,PRECINCT 3C,Registered Voters,,,,,,,2329.0
Rockwall,PRECINCT 3C,Ballots Cast,,,,,,,1138.0
Rockwall,PRECINCT 3D,Registered Voters,,,,,,,4394.0
Rockwall,PRECINCT 3D,Ballots Cast,,,,,,,1897.0
Rockwall,PRECINCT 4,Registered Voters,,,,,,,2263.0
Rockwall,PRECINCT 4,Ballots Cast,,,,,,,971.0
Rockwall,PRECINCT 4A,Registered Voters,,,,,,,5270.0
Rockwall,PRECINCT 4A,Ballots Cast,,,,,,,2642.0
Rockwall,PRECINCT 4B,Registered Voters,,,,,,,1531.0
Rockwall,PRECINCT 4B,Ballots Cast,,,,,,,477.0
Rockwall,PRECINCT 4C,Registered Voters,,,,,,,2764.0
Rockwall,PRECINCT 4C,Ballots Cast,,,,,,,897.0
Rockwall,FEDERAL ONLY,Registered Voters,,,,,,,0.0
Rockwall,FEDERAL ONLY,Ballots Cast,,,,,,,0.0
Rockwall,Total:,Registered Voters,,,,,,,51789.0
Rockwall,Total:,Ballots Cast,,,,,,,21954.0
Rockwall,PRECINCT 1,STRAIGHT PARTY,,,REPUBLICAN PARTY,162.0,362.0,116.0,281.0
Rockwall,PRECINCT 1,STRAIGHT PARTY,,,DEMOCRATIC PARTY,58.0,979.0,31.0,78.0
Rockwall,PRECINCT 1,STRAIGHT PARTY,,,LIBERTARIAN PARTY,17.0,42.0,18.0,186.0
Rockwall,PRECINCT 1,STRAIGHT PARTY,,,GREEN PARTY,0.0,2.0,0.0,2.0
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,,REPUBLICAN PARTY,75.0,193.0,107.0,178.0
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,,DEMOCRATIC PARTY,46.0,599.0,30.0,67.0
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,,LIBERTARIAN PARTY,24.0,61.0,10.0,192.0
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,,GREEN PARTY,0.0,0.0,3.0,1.0
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,,REPUBLICAN PARTY,124.0,264.0,193.0,245.0
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,,DEMOCRATIC PARTY,47.0,873.0,10.0,45.0
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,,LIBERTARIAN PARTY,15.0,46.0,18.0,134.0
