county,precinct,office,district,party,candidate,early_voting,election_day,votes
Brewster,1,U.S. Senate,,REP,John Cornyn,404,160,564
Brewster,2,U.S. Senate,,REP,John Cornyn,186,70,256
Brewster,3,U.S. Senate,,REP,John Cornyn,34,41,75
Brewster,4,U.S. Senate,,REP,John Cornyn,188,123,311
Brewster,5,U.S. Senate,,REP,John Cornyn,4,19,23
Brewster,6,U.S. Senate,,REP,John Cornyn,45,79,124
Brewster,7,U.S. Senate,,REP,John Cornyn,0,18,18
Brewster,8,U.S. Senate,,REP,John Cornyn,34,32,66
Brewster,1,U.S. Senate,,DEM,David M. Alameel,189,66,255
Brewster,2,U.S. Senate,,DEM,David M. Alameel,185,53,238
Brewster,3,U.S. Senate,,DEM,David M. Alameel,29,37,66
Brewster,4,U.S. Senate,,DEM,David M. Alameel,182,80,262
Brewster,5,U.S. Senate,,DEM,David M. Alameel,3,19,22
Brewster,6,U.S. Senate,,DEM,David M. Alameel,33,81,114
Brewster,7,U.S. Senate,,DEM,David M. Alameel,13,21,34
Brewster,8,U.S. Senate,,DEM,David M. Alameel,109,69,178
Brewster,1,U.S. Senate,,LIB,Rebecca Paddock,9,22,31
Brewster,2,U.S. Senate,,LIB,Rebecca Paddock,11,9,20
Brewster,3,U.S. Senate,,LIB,Rebecca Paddock,4,3,7
Brewster,4,U.S. Senate,,LIB,Rebecca Paddock,13,12,25
Brewster,5,U.S. Senate,,LIB,Rebecca Paddock,0,3,3
Brewster,6,U.S. Senate,,LIB,Rebecca Paddock,4,14,18
Brewster,7,U.S. Senate,,LIB,Rebecca Paddock,2,1,3
Brewster,8,U.S. Senate,,LIB,Rebecca Paddock,9,7,16
Brewster,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",16,9,25
Brewster,2,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",8,8,16
Brewster,3,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,6,6
Brewster,4,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",19,12,31
Brewster,5,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,1,1
Brewster,6,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",7,8,15
Brewster,7,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,2,3
Brewster,8,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",6,6,12
Brewster,1,U.S. House,23,REP,Will Hurd,338,129,467
Brewster,2,U.S. House,23,REP,Will Hurd,147,50,197
Brewster,3,U.S. House,23,REP,Will Hurd,33,40,73
Brewster,4,U.S. House,23,REP,Will Hurd,158,90,248
Brewster,5,U.S. House,23,REP,Will Hurd,3,15,18
Brewster,6,U.S. House,23,REP,Will Hurd,37,60,97
Brewster,7,U.S. House,23,REP,Will Hurd,0,13,13
Brewster,8,U.S. House,23,REP,Will Hurd,23,21,44
Brewster,1,U.S. House,23,DEM,Pete P. Gallego,286,130,416
Brewster,2,U.S. House,23,DEM,Pete P. Gallego,256,92,348
Brewster,3,U.S. House,23,DEM,Pete P. Gallego,32,52,84
Brewster,4,U.S. House,23,DEM,Pete P. Gallego,251,138,389
Brewster,5,U.S. House,23,DEM,Pete P. Gallego,4,27,31
Brewster,6,U.S. House,23,DEM,Pete P. Gallego,51,111,162
Brewster,7,U.S. House,23,DEM,Pete P. Gallego,16,34,50
Brewster,8,U.S. House,23,DEM,Pete P. Gallego,145,97,242
Brewster,1,U.S. House,23,LIB,Ruben Corvalan,6,9,15
Brewster,2,U.S. House,23,LIB,Ruben Corvalan,4,3,7
Brewster,3,U.S. House,23,LIB,Ruben Corvalan,2,4,6
Brewster,4,U.S. House,23,LIB,Ruben Corvalan,5,10,15
Brewster,5,U.S. House,23,LIB,Ruben Corvalan,0,1,1
Brewster,6,U.S. House,23,LIB,Ruben Corvalan,4,13,17
Brewster,7,U.S. House,23,LIB,Ruben Corvalan,0,0,0
Brewster,8,U.S. House,23,LIB,Ruben Corvalan,4,3,7
Brewster,1,Registered Voters,,,,,,1865
Brewster,2,Registered Voters,,,,,,1332
Brewster,3,Registered Voters,,,,,,401
Brewster,4,Registered Voters,,,,,,1674
Brewster,5,Registered Voters,,,,,,137
Brewster,6,Registered Voters,,,,,,540
Brewster,7,Registered Voters,,,,,,125
Brewster,8,Registered Voters,,,,,,964
Brewster,1,Ballots Cast,,,,635,271,906
Brewster,2,Ballots Cast,,,,412,145,557
Brewster,3,Ballots Cast,,,,67,120,187
Brewster,4,Ballots Cast,,,,418,236,654
Brewster,5,Ballots Cast,,,,7,43,50
Brewster,6,Ballots Cast,,,,91,194,285
