county,precinct,office,district,candidate,party,votes,early_voting,election day
Lynn,Precinct 1/5,Registered Voters,,,,430,,
Lynn,Precinct 1/5,Ballots Cast,,,,136,64,72
Lynn,Precinct 1/5,U.S. Senate,,Curt Cleaver,REP,3,3,0
Lynn,Precinct 1/5,U.S. Senate,,Dwayne Stovall,REP,7,4,3
Lynn,Precinct 1/5,U.S. Senate,,John Cornyn,REP,59,29,30
Lynn,Precinct 1/5,U.S. Senate,,Chris Mapp,REP,4,3,1
Lynn,Precinct 1/5,U.S. Senate,,Steve Stockman,REP,16,7,9
Lynn,Precinct 1/5,U.S. Senate,,Reid Reasor,REP,2,1,1
Lynn,Precinct 1/5,U.S. Senate,,Linda Vega,REP,13,7,6
Lynn,Precinct 1/5,U.S. Senate,,Ken Cope,REP,2,1,1
Lynn,Precinct 1/5,U.S. House,19,Randy Neugebauer,REP,84,46,38
Lynn,Precinct 1/5,U.S. House,19,Donald R. May,REP,12,3,9
Lynn,Precinct 1/5,U.S. House,19,Chris Winn,REP,22,10,12
Lynn,Precinct 1/5,Governor,,SECEDE Kilgore,REP,4,2,2
Lynn,Precinct 1/5,Governor,,Greg Abbott,REP,95,44,51
Lynn,Precinct 1/5,Governor,,Lisa Fritsch,REP,8,5,3
Lynn,Precinct 1/5,Governor,,Miriam Martinez,REP,10,6,4
Lynn,Precinct 1/5,Lieutenant Governor,,Todd Staples,REP,26,11,15
Lynn,Precinct 1/5,Lieutenant Governor,,Dan Patrick,REP,26,14,12
Lynn,Precinct 1/5,Lieutenant Governor,,David Dewhurst,REP,47,24,23
Lynn,Precinct 1/5,Lieutenant Governor,,Jerry Patterson,REP,12,8,4
Lynn,Precinct 1/5,Attorney General,,Barry Smitherman,REP,36,23,13
Lynn,Precinct 1/5,Attorney General,,Dan Branch,REP,32,15,17
Lynn,Precinct 1/5,Attorney General,,Ken Paxton,REP,29,13,16
Lynn,Precinct 1/5,Comptroller of Public Accounts,,Glenn Hegar,REP,38,21,17
Lynn,Precinct 1/5,Comptroller of Public Accounts,,Raul Torres,REP,5,4,1
Lynn,Precinct 1/5,Comptroller of Public Accounts,,Harvey Hilderbran,REP,27,14,13
Lynn,Precinct 1/5,Comptroller of Public Accounts,,Debra Medina,REP,20,12,8
Lynn,Precinct 1/5,Commissioner of the General Land Office,,George P. Bush,REP,80,46,34
Lynn,Precinct 1/5,Commissioner of the General Land Office,,David Watts,REP,23,11,12
Lynn,Precinct 1/5,Commissioner of Agriculture,,Joe Cotten,REP,27,16,11
Lynn,Precinct 1/5,Commissioner of Agriculture,,Sid Miller,REP,23,11,12
Lynn,Precinct 1/5,Commissioner of Agriculture,,Tommy Merritt,REP,21,9,12
Lynn,Precinct 1/5,Commissioner of Agriculture,,J. Allen Carnes,REP,15,9,6
Lynn,Precinct 1/5,Commissioner of Agriculture,,Eric Opiela,REP,6,3,3
Lynn,Precinct 1/5,Railroad Commissioner,,Malachi Boyuls,REP,5,2,3
Lynn,Precinct 1/5,Railroad Commissioner,,Becky Berger,REP,21,13,8
Lynn,Precinct 1/5,Railroad Commissioner,,Ryan Sitton,REP,31,14,17
Lynn,Precinct 1/5,Railroad Commissioner,,Wayne Christian,REP,35,21,14
Lynn,Precinct 1/5,State Representative,83,Charles Perry,REP,68,39,29
Lynn,Precinct 1/5,State Representative,83,Steve Massengale,REP,48,20,28
Lynn,Precinct 2/8,Registered Voters,,,,,,473
Lynn,Precinct 2/8,Ballots Cast,,,,,,95
Lynn,Precinct 2/8,U.S. Senate,,Curt Cleaver,REP,3,2,1
Lynn,Precinct 2/8,U.S. Senate,,Dwayne Stovall,REP,11,1,10
Lynn,Precinct 2/8,U.S. Senate,,John Cornyn,REP,50,12,38
Lynn,Precinct 2/8,U.S. Senate,,Chris Mapp,REP,4,0,4
Lynn,Precinct 2/8,U.S. Senate,,Steve Stockman,REP,13,1,12
Lynn,Precinct 2/8,U.S. Senate,,Reid Reasor,REP,1,0,1
Lynn,Precinct 2/8,U.S. Senate,,Linda Vega,REP,2,0,2
Lynn,Precinct 2/8,U.S. Senate,,Ken Cope,REP,5,1,4
Lynn,Precinct 2/8,U.S. House,19,Randy Neugebauer,REP,53,9,44
Lynn,Precinct 2/8,U.S. House,19,Donald R. May,REP,29,5,24
Lynn,Precinct 2/8,U.S. House,19,Chris Winn,REP,11,3,8
Lynn,Precinct 2/8,Governor,,SECEDE Kilgore,REP,0,0,0
Lynn,Precinct 2/8,Governor,,Greg Abbott,REP,82,17,65
Lynn,Precinct 2/8,Governor,,Lisa Fritsch,REP,8,0,8
Lynn,Precinct 2/8,Governor,,Miriam Martinez,REP,2,0,2
Lynn,Precinct 2/8,Lieutenant Governor,,Todd Staples,REP,22,3,19
Lynn,Precinct 2/8,Lieutenant Governor,,Dan Patrick,REP,28,7,21
Lynn,Precinct 2/8,Lieutenant Governor,,David Dewhurst,REP,35,7,28
Lynn,Precinct 2/8,Lieutenant Governor,,Jerry Patterson,REP,6,0,6
Lynn,Precinct 2/8,Attorney General,,Barry Smitherman,REP,24,10,14
Lynn,Precinct 2/8,Attorney General,,Dan Branch,REP,36,2,34
Lynn,Precinct 2/8,Attorney General,,Ken Paxton,REP,29,4,25
Lynn,Precinct 2/8,Comptroller of Public Accounts,,Glenn Hegar,REP,44,7,37
Lynn,Precinct 2/8,Comptroller of Public Accounts,,Raul Torres,REP,1,0,1
Lynn,Precinct 2/8,Comptroller of Public Accounts,,Harvey Hilderbran,REP,35,9,26
Lynn,Precinct 2/8,Comptroller of Public Accounts,,Debra Medina,REP,9,0,9
Lynn,Precinct 2/8,Commissioner of the General Land Office,,George P. Bush,REP,62,14,48
Lynn,Precinct 2/8,Commissioner of the General Land Office,,David Watts,REP,27,3,24
Lynn,Precinct 2/8,Commissioner of Agriculture,,Joe Cotten,REP,15,1,14
Lynn,Precinct 2/8,Commissioner of Agriculture,,Sid Miller,REP,26,5,21
Lynn,Precinct 2/8,Commissioner of Agriculture,,Tommy Merritt,REP,17,4,13
Lynn,Precinct 2/8,Commissioner of Agriculture,,J. Allen Carnes,REP,22,4,18
Lynn,Precinct 2/8,Commissioner of Agriculture,,Eric Opiela,REP,4,0,4
Lynn,Precinct 2/8,Railroad Commissioner,,Malachi Boyuls,REP,3,0,3
Lynn,Precinct 2/8,Railroad Commissioner,,Becky Berger,REP,16,3,13
Lynn,Precinct 2/8,Railroad Commissioner,,Ryan Sitton,REP,24,7,17
Lynn,Precinct 2/8,Railroad Commissioner,,Wayne Christian,REP,38,3,35
Lynn,Precinct 2/8,State Representative,83,Charles Perry,REP,66,13,53
Lynn,Precinct 2/8,State Representative,83,Steve Massengale,REP,27,4,23
Lynn,Precinct 3/10,Registered Voters,,,,,,687
Lynn,Precinct 3/10,Ballots Cast,,,,,,119
Lynn,Precinct 3/10,U.S. Senate,,Curt Cleaver,REP,2,1,1
Lynn,Precinct 3/10,U.S. Senate,,Dwayne Stovall,REP,13,5,8
Lynn,Precinct 3/10,U.S. Senate,,John Cornyn,REP,55,14,41
Lynn,Precinct 3/10,U.S. Senate,,Chris Mapp,REP,2,0,2
Lynn,Precinct 3/10,U.S. Senate,,Steve Stockman,REP,16,4,12
Lynn,Precinct 3/10,U.S. Senate,,Reid Reasor,REP,6,2,4
Lynn,Precinct 3/10,U.S. Senate,,Linda Vega,REP,14,2,12
Lynn,Precinct 3/10,U.S. Senate,,Ken Cope,REP,7,2,5
Lynn,Precinct 3/10,U.S. House,19,Randy Neugebauer,REP,63,20,43
Lynn,Precinct 3/10,U.S. House,19,Donald R. May,REP,31,6,25
Lynn,Precinct 3/10,U.S. House,19,Chris Winn,REP,22,5,17
Lynn,Precinct 3/10,Governor,,SECEDE Kilgore,REP,1,0,1
Lynn,Precinct 3/10,Governor,,Greg Abbott,REP,87,25,62
Lynn,Precinct 3/10,Governor,,Lisa Fritsch,REP,10,3,7
Lynn,Precinct 3/10,Governor,,Miriam Martinez,REP,20,2,18
Lynn,Precinct 3/10,Lieutenant Governor,,Todd Staples,REP,33,12,21
Lynn,Precinct 3/10,Lieutenant Governor,,Dan Patrick,REP,34,10,24
Lynn,Precinct 3/10,Lieutenant Governor,,David Dewhurst,REP,39,7,32
Lynn,Precinct 3/10,Lieutenant Governor,,Jerry Patterson,REP,9,1,8
Lynn,Precinct 3/10,Attorney General,,Barry Smitherman,REP,35,10,25
Lynn,Precinct 3/10,Attorney General,,Dan Branch,REP,41,8,33
Lynn,Precinct 3/10,Attorney General,,Ken Paxton,REP,38,12,26
Lynn,Precinct 3/10,Comptroller of Public Accounts,,Glenn Hegar,REP,51,15,36
Lynn,Precinct 3/10,Comptroller of Public Accounts,,Raul Torres,REP,16,3,13
Lynn,Precinct 3/10,Comptroller of Public Accounts,,Harvey Hilderbran,REP,28,8,20
