county,precinct,office,district,party,candidate,votes,early_votes,election_day
Young,5,Straight Party,,,Over Votes,0,0,0
Young,5,Straight Party,,,Under Votes,742,538,204
Young,5,Registered Voters,,,,2823,,
Young,5,Ballots Cast,,,,1488,1089,174
Young,5,Straight Party,,REP,Republican Party,658,484,174
Young,5,Straight Party,,,Over Votes,0,0,0
Young,5,Straight Party,,,Under Votes,742,538,204
Young,5,Straight Party,,DEM,Democratic Party,71,54,17
Young,5,Straight Party,,LIB,Libertarian Party,12,9,3
Young,5,Straight Party,,GRN,Green Party,5,4,1
Young,5,U.S. Senate,,REP,John Cornyn,1215,885,330
Young,5,U.S. Senate,,,Over Votes,0,0,0
Young,5,U.S. Senate,,,Under Votes,81,65,16
Young,5,U.S. Senate,,DEM,David M. Alameel,136,100,36
Young,5,U.S. Senate,,LIB,Rebecca Paddock,41,29,12
Young,5,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",15,10,5
Young,5,U.S. Senate,,"",MOHAMMED TAHIRO,0,0,0
Young,5,United States Representative,19,REP,Randy Neugebauer,1259,922,337
Young,5,United States Representative,19,,Over Votes,0,0,0
Young,5,United States Representative,19,,Under Votes,43,37,6
Young,5,United States Representative,19,DEM,Neal Marchbanks,145,103,42
Young,5,United States Representative,19,LIB,Richard (Chip) Peterson,41,27,14
Young,5,United States Representative,19,"",DONALD L VANCE,0,0,0
Young,5,Governor,,REP,Greg Abbott,1234,901,333
Young,5,Governor,,,Over Votes,0,0,0
Young,5,Governor,,,Under Votes,33,26,7
Young,5,Governor,,DEM,Wendy R. Davis,186,137,49
Young,5,Governor,,LIB,Kathie Glass,31,22,9
Young,5,Governor,,GRN,Brandon Parmer,4,3,1
Young,5,Governor,,"",SARAH M PAVITT,0,0,0
Young,5,Lieutenant Governor,,REP,Dan Patrick,1222,888,334
Young,5,Lieutenant Governor,,,Over Votes,0,0,0
Young,5,Lieutenant Governor,,,Under Votes,55,45,10
Young,5,Lieutenant Governor,,DEM,Leticia Van de Putte,148,108,40
Young,5,Lieutenant Governor,,LIB,Robert D. Butler,55,40,15
Young,5,Lieutenant Governor,,GRN,Chandrakantha Courtney,8,8,0
Young,5,Attorney General,,REP,Ken Paxton,1225,899,326
Young,5,Attorney General,,,Over Votes,0,0,0
Young,5,Attorney General,,,Under Votes,40,33,7
