county,precinct,office,district,candidate,party,early_voting,election day,votes
Archer,1,Ballots Cast,,,,,,487
Archer,1,Straight Party,,,REP,28,86,114
Archer,1,Straight Party,,,DEM,2,13,15
Archer,1,Straight Party,,,LIB,0,2,2
Archer,1,Straight Party,,,GRN,1,0,1
Archer,1,U.S. Senate,,John Cornyn,,136,262,398
Archer,1,U.S. Senate,,David M. Alameel,,10,36,46
Archer,1,U.S. Senate,,Rebecca Paddock,,4,7,11
Archer,1,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0
Archer,1,U.S. Senate,,Mohammed Tahiro (W),,0,0,0
Archer,1,U.S. House,13,Mac Thornberry,,139,281,420
Archer,1,U.S. House,13,Mike Minter,,11,28,39
Archer,1,U.S. House,13,Emily Pivoda,,4,5,9
Archer,1,U.S. House,13,Don Cook,,1,4,5
Archer,1,Governor,,Greg Abbott,,140,272,412
Archer,1,Governor,,Wendy R. Davis,,13,40,53
Archer,1,Governor,,Kathie Glass,,4,4,8
Archer,1,Governor,,Brandon Parmer,,0,1,1
Archer,1,Governor,,Sarah M. Pavitt (W),,0,0,0
Archer,1,Lieutenant Governor,,Dan Patrick,,134,273,407
Archer,1,Lieutenant Governor,,Leticia Van de Putte,,13,37,50
Archer,1,Lieutenant Governor,,Robert D. Butler,,7,4,11
Archer,1,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0
Archer,1,Attorney General,,Ken Paxton,,132,263,395
Archer,1,Attorney General,,Sam Houston,,15,45,60
Archer,1,Attorney General,,Jamie Balagia,,7,5,12
Archer,1,Attorney General,,Jamar Osborne,,0,1,1
Archer,1,Comptroller of Public Accounts,,Glenn Hegar,,126,263,389
Archer,1,Comptroller of Public Accounts,,Mike Collier,,16,38,54
Archer,1,Comptroller of Public Accounts,,Ben Sanders,,9,6,15
Archer,1,Comptroller of Public Accounts,,Deb Shafto,,0,0,0
Archer,1,Ballots Cast,,,,,,487
Archer,1,Commissioner of the General Land Office,,George P. Bush,,131,274,405
Archer,1,Commissioner of the General Land Office,,John Cook,,11,35,46
Archer,1,Commissioner of the General Land Office,,Justin Knight,,7,6,13
Archer,1,Commissioner of the General Land Office,,Valerie Alessi,,1,0,1
Archer,1,Commissioner of Agriculture,,Sid Miller,,126,256,382
Archer,1,Commissioner of Agriculture,,Jim Hogan,,15,40,55
Archer,1,Commissioner of Agriculture,,David (Rocky) Palmquist,,8,9,17
Archer,1,Commissioner of Agriculture,,Kenneth Kendrick,,0,3,3
Archer,1,Railroad Commissioner,,Ryan Sitton,,126,263,389
Archer,1,Railroad Commissioner,,Steve Brown,,14,35,49
Archer,1,Railroad Commissioner,,Mark A. Miller,,6,12,18
Archer,1,Railroad Commissioner,,Martina Salinas,,0,0,0
Archer,1,Ballots Cast,,,,,,487
Archer,1,State Senate,30,Craig Estes,,135,261,396
Archer,1,State Senate,30,Cory Lane,,15,48,63
Archer,1,State Representative,69,James Frank,,137,277,414
Archer,2,Ballots Cast,,,,,,342
Archer,2,Straight Party,,,REP,20,38,58
Archer,2,Straight Party,,,DEM,1,2,3
Archer,2,Straight Party,,,LIB,0,2,2
Archer,2,Straight Party,,,GRN,0,1,1
Archer,2,U.S. Senate,,John Cornyn,,67,222,289
Archer,2,U.S. Senate,,David M. Alameel,,9,19,28
Archer,2,U.S. Senate,,Rebecca Paddock,,1,8,9
Archer,2,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,1,1,2
Archer,2,U.S. Senate,,Mohammed Tahiro (W),,0,0,0
Archer,2,U.S. House,13,Mac Thornberry,,66,230,296
Archer,2,U.S. House,13,Mike Minter,,11,21,32
Archer,2,U.S. House,13,Emily Pivoda,,2,5,7
Archer,2,U.S. House,13,Don Cook,,1,1,2
