county,precinct,office,district,Candidate,party,absentee,election_day,votes
Frio,1,Straight Party,,Republican Party,,22,22,44
Frio,2,Straight Party,,Republican Party,,6,8,14
Frio,3,Straight Party,,Republican Party,,5,6,11
Frio,4,Straight Party,,Republican Party,,29,42,71
Frio,5,Straight Party,,Republican Party,,17,38,55
Frio,6,Straight Party,,Republican Party,,13,20,33
Frio,8,Straight Party,,Republican Party,,19,16,35
Frio,9,Straight Party,,Republican Party,,3,16,19
Frio,10,Straight Party,,Republican Party,,15,50,65
Frio,Total,Straight Party,,Republican Party,,129,218,347
Frio,1,Straight Party,,Democratic Party,,44,63,107
Frio,2,Straight Party,,Democratic Party,,43,47,90
Frio,3,Straight Party,,Democratic Party,,44,61,105
Frio,4,Straight Party,,Democratic Party,,31,46,77
Frio,5,Straight Party,,Democratic Party,,5,20,25
Frio,6,Straight Party,,Democratic Party,,5,26,31
Frio,8,Straight Party,,Democratic Party,,41,51,92
Frio,9,Straight Party,,Democratic Party,,7,61,68
Frio,10,Straight Party,,Democratic Party,,9,26,35
Frio,Total,Straight Party,,Democratic Party,,229,401,630
Frio,1,Straight Party,,Libertarian Party,,0,0,0
Frio,2,Straight Party,,Libertarian Party,,0,0,0
Frio,3,Straight Party,,Libertarian Party,,0,1,1
Frio,4,Straight Party,,Libertarian Party,,0,0,0
Frio,5,Straight Party,,Libertarian Party,,0,0,0
Frio,6,Straight Party,,Libertarian Party,,1,0,1
Frio,8,Straight Party,,Libertarian Party,,0,0,0
Frio,9,Straight Party,,Libertarian Party,,1,0,1
Frio,10,Straight Party,,Libertarian Party,,0,0,0
Frio,Total,Straight Party,,Libertarian Party,,2,1,3
Frio,1,Straight Party,,Green Party,,0,0,0
Frio,2,Straight Party,,Green Party,,1,0,1
Frio,3,Straight Party,,Green Party,,1,0,1
Frio,4,Straight Party,,Green Party,,0,0,0
Frio,5,Straight Party,,Green Party,,0,0,0
Frio,6,Straight Party,,Green Party,,0,0,0
Frio,8,Straight Party,,Green Party,,1,0,1
Frio,9,Straight Party,,Green Party,,0,0,0
Frio,10,Straight Party,,Green Party,,0,0,0
Frio,Total,Straight Party,,Green Party,,3,0,3
Frio,1,United States Senator,,John Cornyn,REP,59,58,117
Frio,2,United States Senator,,John Cornyn,REP,13,19,32
Frio,3,United States Senator,,John Cornyn,REP,8,8,16
Frio,4,United States Senator,,John Cornyn,REP,102,124,226
Frio,5,United States Senator,,John Cornyn,REP,36,82,118
Frio,6,United States Senator,,John Cornyn,REP,25,80,105
Frio,8,United States Senator,,John Cornyn,REP,34,29,63
Frio,9,United States Senator,,John Cornyn,REP,12,39,51
Frio,10,United States Senator,,John Cornyn,REP,33,119,152
Frio,Total,United States Senator,,John Cornyn,REP,322,558,880
Frio,1,United States Senator,,David M. Alameel,DEM,71,85,156
Frio,2,United States Senator,,David M. Alameel,DEM,50,58,108
Frio,3,United States Senator,,David M. Alameel,DEM,56,75,131
Frio,4,United States Senator,,David M. Alameel,DEM,50,75,125
Frio,5,United States Senator,,David M. Alameel,DEM,9,29,38
Frio,6,United States Senator,,David M. Alameel,DEM,7,42,49
Frio,8,United States Senator,,David M. Alameel,DEM,55,72,127
Frio,9,United States Senator,,David M. Alameel,DEM,15,80,95
Frio,10,United States Senator,,David M. Alameel,DEM,11,43,54
Frio,Total,United States Senator,,David M. Alameel,DEM,324,559,883
Frio,1,United States Senator,,Rebecca Paddock,LIB,3,2,5
Frio,2,United States Senator,,Rebecca Paddock,LIB,5,0,5
Frio,3,United States Senator,,Rebecca Paddock,LIB,1,3,4
Frio,4,United States Senator,,Rebecca Paddock,LIB,0,5,5
Frio,5,United States Senator,,Rebecca Paddock,LIB,0,1,1
Frio,6,United States Senator,,Rebecca Paddock,LIB,1,4,5
Frio,8,United States Senator,,Rebecca Paddock,LIB,2,1,3
Frio,9,United States Senator,,Rebecca Paddock,LIB,1,1,2
Frio,10,United States Senator,,Rebecca Paddock,LIB,1,3,4
Frio,Total,United States Senator,,Rebecca Paddock,LIB,14,20,34
Frio,1,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,1,0,1
Frio,2,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,1,1,2
Frio,3,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,1,3,4
Frio,4,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,2,1,3
Frio,5,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,0,2,2
Frio,6,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,0,1,1
Frio,8,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,1,3,4
Frio,9,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,0,0,2
Frio,10,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,2,0,2
Frio,Total,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,8,11,21
Frio,1,U.S House,23,Will Hurd,REP,45,56,101
Frio,2,U.S House,23,Will Hurd,REP,11,19,30
Frio,3,U.S House,23,Will Hurd,REP,10,9,19
Frio,4,U.S House,23,Will Hurd,REP,94,109,203
Frio,5,U.S House,23,Will Hurd,REP,32,66,98
Frio,6,U.S House,23,Will Hurd,REP,22,68,90
