county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Upshur,1,U.S. Senate,,DEM,"Michael ""Fjet"" Fjetland",3,3,0,0
Upshur,1,U.S. Senate,,DEM,Harry Kim,2,1,1,0
Upshur,1,U.S. Senate,,DEM,Kesha Rogers,2,1,1,0
Upshur,1,U.S. Senate,,DEM,Maxey Marie Scherr,3,2,1,0
Upshur,1,U.S. Senate,,DEM,Over Votes,0,0,0,0
Upshur,1,U.S. Senate,,DEM,Under Votes,1,1,0,0
Upshur,1,Registered Voters,,DEM,,3146,,,
Upshur,1,Ballots Cast,,DEM,,326,227,99,0
Upshur,1,U.S. Senate,,DEM,David M. Alameel,17,13,4,0
Upshur,1,U.S. Senate,,DEM,Over Votes,0,0,0,0
Upshur,1,U.S. Senate,,DEM,Under Votes,1,1,0,0
Upshur,1,Governor,,DEM,Wendy R. Davis,24,17,7,0
Upshur,1,Governor,,DEM,Over Votes,0,0,0,0
Upshur,1,Governor,,DEM,Under Votes,2,2,0,0
Upshur,1,Governor,,DEM,"Reynaldo ""Ray"" Madrigal",2,2,0,0
Upshur,1,Lieutenant Governor,,DEM,Leticia Van de Putte,23,17,6,0
Upshur,1,Lieutenant Governor,,DEM,Over Votes,0,0,0,0
Upshur,1,Lieutenant Governor,,DEM,Under Votes,5,4,1,0
Upshur,1,Attorney General,,DEM,Sam Houston,24,18,6,0
Upshur,1,Attorney General,,DEM,Over Votes,0,0,0,0
Upshur,1,Attorney General,,DEM,Under Votes,4,3,1,0
Upshur,1,Comptroller of Public Accounts,,DEM,Mike Collier,24,18,6,0
Upshur,1,Comptroller of Public Accounts,,DEM,Over Votes,0,0,0,0
Upshur,1,Comptroller of Public Accounts,,DEM,Under Votes,4,3,1,0
Upshur,1,Commissioner of the General Land Office,,DEM,John Cook,24,18,6,0
Upshur,1,Commissioner of the General Land Office,,DEM,Over Votes,0,0,0,0
Upshur,1,Commissioner of the General Land Office,,DEM,Under Votes,4,3,1,0
Upshur,1,Commissioner of Agriculture,,DEM,"Richard ""Kinky"" Friedman",7,5,2,0
Upshur,1,Commissioner of Agriculture,,DEM,Jim Hogan,12,9,3,0
Upshur,1,Commissioner of Agriculture,,DEM,Hugh Asa Fitzsimons III,6,4,2,0
Upshur,1,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Upshur,1,Commissioner of Agriculture,,DEM,Under Votes,3,3,0,0
Upshur,1,Railroad Commissioner,,DEM,Steve Brown,18,13,5,0
Upshur,1,Railroad Commissioner,,DEM,Over Votes,0,0,0,0
Upshur,1,Railroad Commissioner,,DEM,Under Votes,4,3,1,0
Upshur,1,Railroad Commissioner,,DEM,Dale Henry,6,5,1,0
Upshur,1,"Chief Justice, Supreme Court",,DEM,William Moody,23,17,6,0
Upshur,1,"Chief Justice, Supreme Court",,DEM,Over Votes,0,0,0,0
Upshur,1,"Chief Justice, Supreme Court",,DEM,Under Votes,5,4,1,0
Upshur,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,DEM,Lawrence Edward Meyers,23,17,6,0
Upshur,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,DEM,Over Votes,0,0,0,0
Upshur,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,DEM,Under Votes,5,4,1,0
Upshur,1,"Justice, Supreme Court, Place 7",,DEM,Gina Benavides,23,17,6,0
Upshur,1,"Justice, Supreme Court, Place 7",,DEM,Over Votes,0,0,0,0
Upshur,1,"Justice, Supreme Court, Place 7",,DEM,Under Votes,5,4,1,0
Upshur,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,John Granberg,23,17,6,0
Upshur,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,Over Votes,0,0,0,0
Upshur,1,"Judge, Court of Criminal Appeals, Place 3",,DEM,Under Votes,5,4,1,0
Upshur,1,County Chairman,,DEM,"Dan Miles, Jr.",24,18,6,0
Upshur,1,County Chairman,,DEM,Over Votes,0,0,0,0
Upshur,1,County Chairman,,DEM,Under Votes,4,3,1,0
Upshur,1,ON IMMIGRATION REFORM,,DEM,FOR,23,18,5,0
Upshur,1,ON IMMIGRATION REFORM,,DEM,Over Votes,0,0,0,0
Upshur,1,ON IMMIGRATION REFORM,,DEM,Under Votes,0,0,0,0
Upshur,1,ON IMMIGRATION REFORM,,DEM,AGAINST,5,3,2,0
Upshur,1,A LIVING WAGE FOR ALL TEXANS,,DEM,FOR,21,17,4,0
Upshur,1,A LIVING WAGE FOR ALL TEXANS,,DEM,Over Votes,0,0,0,0
Upshur,1,A LIVING WAGE FOR ALL TEXANS,,DEM,Under Votes,0,0,0,0
Upshur,1,A LIVING WAGE FOR ALL TEXANS,,DEM,AGAINST,7,4,3,0
Upshur,1,MEDICAID EXPANSION,,DEM,FOR,24,20,4,0
Upshur,1,MEDICAID EXPANSION,,DEM,Over Votes,0,0,0,0
Upshur,1,MEDICAID EXPANSION,,DEM,Under Votes,0,0,0,0
Upshur,1,MEDICAID EXPANSION,,DEM,AGAINST,4,1,3,0
Upshur,1,ON NON-DISCRIMINATION LEGISLATION,,DEM,FOR,21,17,4,0
Upshur,1,ON NON-DISCRIMINATION LEGISLATION,,DEM,Over Votes,0,0,0,0
Upshur,1,ON NON-DISCRIMINATION LEGISLATION,,DEM,Under Votes,0,0,0,0
Upshur,1,ON NON-DISCRIMINATION LEGISLATION,,DEM,AGAINST,7,4,3,0
Upshur,2,U.S. Senate,,DEM,"Michael ""Fjet"" Fjetland",0,0,0,0
Upshur,2,U.S. Senate,,DEM,Harry Kim,0,0,0,0
Upshur,2,U.S. Senate,,DEM,Kesha Rogers,2,0,2,0
Upshur,2,U.S. Senate,,DEM,Maxey Marie Scherr,0,0,0,0
Upshur,2,U.S. Senate,,DEM,Over Votes,0,0,0,0
Upshur,2,U.S. Senate,,DEM,Under Votes,2,0,2,0
Upshur,2,Registered Voters,,DEM,,5538,,,
Upshur,2,Ballots Cast,,DEM,,323,135,188,0
Upshur,2,U.S. Senate,,DEM,David M. Alameel,3,1,2,0
Upshur,2,U.S. Senate,,DEM,Over Votes,0,0,0,0
Upshur,2,U.S. Senate,,DEM,Under Votes,2,0,2,0
Upshur,2,Governor,,DEM,Wendy R. Davis,6,1,5,0
Upshur,2,Governor,,DEM,Over Votes,0,0,0,0
Upshur,2,Governor,,DEM,Under Votes,1,0,1,0
Upshur,2,Governor,,DEM,"Reynaldo ""Ray"" Madrigal",0,0,0,0
Upshur,2,Lieutenant Governor,,DEM,Leticia Van de Putte,4,1,3,0
Upshur,2,Lieutenant Governor,,DEM,Over Votes,0,0,0,0
Upshur,2,Lieutenant Governor,,DEM,Under Votes,3,0,3,0
Upshur,2,Attorney General,,DEM,Sam Houston,5,1,4,0
Upshur,2,Attorney General,,DEM,Over Votes,0,0,0,0
Upshur,2,Attorney General,,DEM,Under Votes,2,0,2,0
Upshur,2,Comptroller of Public Accounts,,DEM,Mike Collier,4,1,3,0
Upshur,2,Comptroller of Public Accounts,,DEM,Over Votes,0,0,0,0
Upshur,2,Comptroller of Public Accounts,,DEM,Under Votes,3,0,3,0
Upshur,2,Commissioner of the General Land Office,,DEM,John Cook,4,1,3,0
Upshur,2,Commissioner of the General Land Office,,DEM,Over Votes,0,0,0,0
Upshur,2,Commissioner of the General Land Office,,DEM,Under Votes,3,0,3,0
Upshur,2,Commissioner of Agriculture,,DEM,"Richard ""Kinky"" Friedman",2,1,1,0
Upshur,2,Commissioner of Agriculture,,DEM,Jim Hogan,4,0,4,0
Upshur,2,Commissioner of Agriculture,,DEM,Hugh Asa Fitzsimons III,1,0,1,0
Upshur,2,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Upshur,2,Commissioner of Agriculture,,DEM,Under Votes,0,0,0,0
Upshur,2,Railroad Commissioner,,DEM,Steve Brown,3,1,2,0
Upshur,2,Railroad Commissioner,,DEM,Over Votes,0,0,0,0
Upshur,2,Railroad Commissioner,,DEM,Under Votes,1,0,1,0
Upshur,2,Railroad Commissioner,,DEM,Dale Henry,3,0,3,0
Upshur,2,"Chief Justice, Supreme Court",,DEM,William Moody,4,1,3,0
Upshur,2,"Chief Justice, Supreme Court",,DEM,Over Votes,0,0,0,0
