county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Ellis,PRECINCT 101,REGISTERED VOTERS,,,,2628,,,,
Ellis,PRECINCT 101,BALLOTS CAST,,,,963,51,466,446,0
Ellis,PRECINCT 101,Straight Party,,REPUBLICAN PARTY,REP,508,35,241,232,0
Ellis,PRECINCT 101,Straight Party,,DEMOCRATIC PARTY,DEM,125,4,44,77,0
Ellis,PRECINCT 101,Straight Party,,LIBERTARIAN PARTY,LIB,4,0,3,1,0
Ellis,PRECINCT 101,Straight Party,,GREEN PARTY,GRN,1,1,0,0,0
Ellis,PRECINCT 101,Straight Party,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Straight Party,,Under Votes,,325,11,178,136,0
Ellis,PRECINCT 101,United States Senator,,John Cornyn,REP,730,46,366,318,0
Ellis,PRECINCT 101,United States Senator,,David M. Alameel,DEM,198,4,85,109,0
Ellis,PRECINCT 101,United States Senator,,Rebecca Paddock,LIB,25,0,11,14,0
Ellis,PRECINCT 101,United States Senator,,"Emily ""Spicybrown"" Sanchez",GRN,5,1,2,2,0
Ellis,PRECINCT 101,United States Senator,,Write-ins,,0,0,0,0,0
Ellis,PRECINCT 101,United States Senator,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,United States Senator,,Under Votes,,5,0,2,3,0
Ellis,PRECINCT 101,U.S. House,6,Joe Barton,REP,715,45,358,312,0
Ellis,PRECINCT 101,U.S. House,6,David E. Cozad,DEM,211,5,90,116,0
Ellis,PRECINCT 101,U.S. House,6,Hugh Chauvin,LIB,27,1,11,15,0
Ellis,PRECINCT 101,U.S. House,6,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,U.S. House,6,Under Votes,,10,0,7,3,0
Ellis,PRECINCT 101,Governor,,Greg Abbott,REP,715,44,352,319,0
Ellis,PRECINCT 101,Governor,,Wendy R. Davis,DEM,234,6,106,122,0
Ellis,PRECINCT 101,Governor,,Kathie Glass,LIB,8,0,4,4,0
Ellis,PRECINCT 101,Governor,,Brandon Parmer,GRN,4,1,2,1,0
Ellis,PRECINCT 101,Governor,,Write-ins,,0,0,0,0,0
Ellis,PRECINCT 101,Governor,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Governor,,Under Votes,,2,0,2,0,0
Ellis,PRECINCT 101,Lieutenant Governor,,Dan Patrick,REP,704,45,343,316,0
Ellis,PRECINCT 101,Lieutenant Governor,,Leticia Van de Putte,DEM,227,5,108,114,0
Ellis,PRECINCT 101,Lieutenant Governor,,Robert D. Butler,LIB,20,0,9,11,0
Ellis,PRECINCT 101,Lieutenant Governor,,Chandrakantha Courtney,GRN,8,1,4,3,0
Ellis,PRECINCT 101,Lieutenant Governor,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Lieutenant Governor,,Under Votes,,4,0,2,2,0
Ellis,PRECINCT 101,Attorney General,,Ken Paxton,REP,698,44,343,311,0
Ellis,PRECINCT 101,Attorney General,,Sam Houston,DEM,234,6,111,117,0
Ellis,PRECINCT 101,Attorney General,,Jamie Balagia,LIB,21,0,10,11,0
Ellis,PRECINCT 101,Attorney General,,Jamar Osborne,GRN,3,1,1,1,0
Ellis,PRECINCT 101,Attorney General,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Attorney General,,Under Votes,,7,0,1,6,0
Ellis,PRECINCT 101,Comptroller of Public Accounts,,Glenn Hegar,REP,691,41,346,304,0
Ellis,PRECINCT 101,Comptroller of Public Accounts,,Mike Collier,DEM,216,7,98,111,0
Ellis,PRECINCT 101,Comptroller of Public Accounts,,Ben Sanders,LIB,22,0,10,12,0
Ellis,PRECINCT 101,Comptroller of Public Accounts,,Deb Shafto,GRN,16,1,6,9,0
Ellis,PRECINCT 101,Comptroller of Public Accounts,,Over Votes,,1,0,1,0,0
Ellis,PRECINCT 101,Comptroller of Public Accounts,,Under Votes,,17,2,5,10,0
Ellis,PRECINCT 101,Commissioner of the General Land Office,,George P. Bush,REP,710,45,354,311,0
Ellis,PRECINCT 101,Commissioner of the General Land Office,,John Cook,DEM,209,5,95,109,0
Ellis,PRECINCT 101,Commissioner of the General Land Office,,Justin Knight,LIB,24,0,11,13,0
Ellis,PRECINCT 101,Commissioner of the General Land Office,,Valerie Alessi,GRN,11,1,3,7,0
Ellis,PRECINCT 101,Commissioner of the General Land Office,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Commissioner of the General Land Office,,Under Votes,,9,0,3,6,0
Ellis,PRECINCT 101,Commissioner of Agriculture,,Sid Miller,REP,693,42,346,305,0
Ellis,PRECINCT 101,Commissioner of Agriculture,,Jim Hogan,DEM,223,5,103,115,0
Ellis,PRECINCT 101,Commissioner of Agriculture,,David (Rocky) Palmquist,LIB,19,0,10,9,0
Ellis,PRECINCT 101,Commissioner of Agriculture,,Kenneth Kendrick,GRN,12,1,3,8,0
Ellis,PRECINCT 101,Commissioner of Agriculture,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Commissioner of Agriculture,,Under Votes,,16,3,4,9,0
Ellis,PRECINCT 101,Railroad Commissioner,,Ryan Sitton,REP,682,40,342,300,0
Ellis,PRECINCT 101,Railroad Commissioner,,Steve Brown,DEM,224,7,105,112,0
Ellis,PRECINCT 101,Railroad Commissioner,,Mark A. Miller,LIB,25,0,7,18,0
Ellis,PRECINCT 101,Railroad Commissioner,,Martina Salinas,GRN,14,1,6,7,0
Ellis,PRECINCT 101,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Ellis,PRECINCT 101,Railroad Commissioner,,Under Votes,,18,3,6,9,0
Ellis,PRECINCT 101,"Chief Justice, Supreme Court",,Nathan Hecht,REP,701,44,351,306,0
Ellis,PRECINCT 101,"Chief Justice, Supreme Court",,William Moody,DEM,223,6,99,118,0
Ellis,PRECINCT 101,"Chief Justice, Supreme Court",,Tom Oxford,LIB,24,0,10,14,0
