county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Jack,1,Ballots Cast,,,,,,,206
Jack,1,U.S. Senate,,Reid Reasor,,0,4,9,13
Jack,1,U.S. Senate,,John Cornyn,,10,61,61,132
Jack,1,U.S. Senate,,Ken Cope,,0,3,1,4
Jack,1,U.S. Senate,,Linda Vega,,0,0,1,1
Jack,1,U.S. Senate,,Chris Mapp,,2,0,1,3
Jack,1,U.S. Senate,,Steve Stockman,,2,6,18,26
Jack,1,U.S. Senate,,Curt Cleaver,,0,0,2,2
Jack,1,U.S. Senate,,Dwayne Stovall,,0,5,3,8
Jack,1,U.S. Senate,,Over Votes,,0,0,0,0
Jack,1,U.S. Senate,,Under Votes,,0,6,11,17
Jack,1,U.S. House,13,Elaine Hays,,0,10,19,29
Jack,1,U.S. House,13,Pam Barlow,,0,14,14,28
Jack,1,U.S. House,13,Mac Thornberry,,14,56,66,136
Jack,1,U.S. House,13,Over Votes,,0,0,0,0
Jack,1,U.S. House,13,Under Votes,,0,5,8,13
Jack,1,Governor,,Lisa Fritsch,,0,2,7,9
Jack,1,Governor,,Greg Abbott,,14,78,86,178
Jack,1,Governor,,SECEDE Kilgore,,0,0,3,3
Jack,1,Governor,,Miriam Martinez,,0,0,2,2
Jack,1,Governor,,Over Votes,,0,0,0,0
Jack,1,Governor,,Under Votes,,0,5,9,14
Jack,1,Lieutenant Governor,,Jerry Patterson,,0,6,12,18
Jack,1,Lieutenant Governor,,David Dewhurst,,5,26,31,62
Jack,1,Lieutenant Governor,,Dan Patrick,,8,26,32,66
Jack,1,Lieutenant Governor,,Todd Staples,,1,21,21,43
Jack,1,Lieutenant Governor,,Over Votes,,0,0,0,0
Jack,1,Lieutenant Governor,,Under Votes,,0,6,11,17
Jack,1,Ballots Cast,,,,,,,206
Jack,1,Attorney General,,Barry Smitherman,,5,22,14,41
Jack,1,Attorney General,,Dan Branch,,5,29,37,71
Jack,1,Attorney General,,Ken Paxton,,4,22,38,64
Jack,1,Attorney General,,Over Votes,,0,0,0,0
Jack,1,Attorney General,,Under Votes,,0,12,18,30
Jack,1,Comptroller of Public Accounts,,Raul Torres,,0,5,6,11
Jack,1,Comptroller of Public Accounts,,Harvey Hilderbran,,5,29,22,56
Jack,1,Comptroller of Public Accounts,,Glenn Hegar,,8,30,45,83
Jack,1,Comptroller of Public Accounts,,Debra Medina,,0,7,15,22
Jack,1,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Jack,1,Comptroller of Public Accounts,,Under Votes,,1,14,19,34
Jack,1,Commissioner of the General Land Office,,David Watts,,2,24,26,52
Jack,1,Commissioner of the General Land Office,,George P. Bush,,12,51,66,129
Jack,1,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Jack,1,Commissioner of the General Land Office,,Under Votes,,0,10,15,25
Jack,1,Commissioner of Agriculture,,Sid Miller,,7,24,26,57
Jack,1,Commissioner of Agriculture,,Eric Opiela,,3,12,22,37
Jack,1,Commissioner of Agriculture,,J Allen Carnes,,2,12,12,26
Jack,1,Commissioner of Agriculture,,Joe Cotten,,2,13,13,28
Jack,1,Commissioner of Agriculture,,Tommy Merritt,,0,8,13,21
Jack,1,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Jack,1,Commissioner of Agriculture,,Under Votes,,0,16,21,37
Jack,1,Railroad Commissioner,,Wayne Christian,,4,33,49,86
Jack,1,Railroad Commissioner,,Becky Berger,,0,11,16,27
Jack,1,Railroad Commissioner,,Malachi Boyuls,,2,3,0,5
Jack,1,Railroad Commissioner,,Ryan Sitton,,8,20,19,47
Jack,1,Railroad Commissioner,,Over Votes,,0,0,0,0
Jack,1,Railroad Commissioner,,Under Votes,,0,18,23,41
Jack,1,Ballots Cast,,,,,,,206
Jack,1,Ballots Cast,,,,,,,206
Jack,1,State Senate,30,Craig Estes,,14,70,83,167
Jack,1,State Senate,30,Over Votes,,0,0,0,0
Jack,1,State Senate,30,Under Votes,,0,15,24,39
Jack,1,State Representative,68,Drew Springer,,14,70,82,166
Jack,1,State Representative,68,Over Votes,,0,0,0,0
Jack,1,State Representative,68,Under Votes,,0,15,25,40
Jack,1,Ballots Cast,,,,,,,206
Jack,1,Ballots Cast,,,,,,,206
Jack,2,Ballots Cast,,,,,,,189
Jack,2,U.S. Senate,,Reid Reasor,,0,5,9,14
Jack,2,U.S. Senate,,John Cornyn,,7,27,68,102
Jack,2,U.S. Senate,,Ken Cope,,0,3,2,5
Jack,2,U.S. Senate,,Linda Vega,,1,1,5,7
Jack,2,U.S. Senate,,Chris Mapp,,0,0,2,2
Jack,2,U.S. Senate,,Steve Stockman,,0,9,28,37
Jack,2,U.S. Senate,,Curt Cleaver,,0,0,1,1
Jack,2,U.S. Senate,,Dwayne Stovall,,0,3,8,11
Jack,2,U.S. Senate,,Over Votes,,0,0,0,0
Jack,2,U.S. Senate,,Under Votes,,0,5,5,10
Jack,2,U.S. House,13,Elaine Hays,,0,16,25,41
Jack,2,U.S. House,13,Pam Barlow,,1,5,16,22
Jack,2,U.S. House,13,Mac Thornberry,,7,26,80,113
Jack,2,U.S. House,13,Over Votes,,0,0,0,0
Jack,2,U.S. House,13,Under Votes,,0,6,7,13
Jack,2,Governor,,Lisa Fritsch,,1,1,9,11
Jack,2,Governor,,Greg Abbott,,7,49,109,165
Jack,2,Governor,,SECEDE Kilgore,,0,0,4,4
Jack,2,Governor,,Miriam Martinez,,0,1,1,2
Jack,2,Governor,,Over Votes,,0,0,0,0
Jack,2,Governor,,Under Votes,,0,2,5,7
Jack,2,Lieutenant Governor,,Jerry Patterson,,1,1,16,18
Jack,2,Lieutenant Governor,,David Dewhurst,,3,17,31,51
Jack,2,Lieutenant Governor,,Dan Patrick,,4,15,41,60
Jack,2,Lieutenant Governor,,Todd Staples,,0,18,35,53
Jack,2,Lieutenant Governor,,Over Votes,,0,0,0,0
Jack,2,Lieutenant Governor,,Under Votes,,0,2,5,7
Jack,2,Ballots Cast,,,,,,,189
Jack,2,Attorney General,,Barry Smitherman,,1,8,19,28
Jack,2,Attorney General,,Dan Branch,,3,19,54,76
Jack,2,Attorney General,,Ken Paxton,,4,20,46,70
Jack,2,Attorney General,,Over Votes,,0,0,0,0
Jack,2,Attorney General,,Under Votes,,0,6,9,15
Jack,2,Comptroller of Public Accounts,,Raul Torres,,0,1,6,7
Jack,2,Comptroller of Public Accounts,,Harvey Hilderbran,,3,11,23,37
Jack,2,Comptroller of Public Accounts,,Glenn Hegar,,3,30,55,88
Jack,2,Comptroller of Public Accounts,,Debra Medina,,2,4,31,37
Jack,2,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Jack,2,Comptroller of Public Accounts,,Under Votes,,0,7,13,20
Jack,2,Commissioner of the General Land Office,,David Watts,,2,16,29,47
