office,district,candidate,incumbent,party,votes,pct
President/VicePresident,,Gary Bauer,FALSE,REP,2189,0.19
President/VicePresident,,George W. Bush,FALSE,REP,986416,87.54
President/VicePresident,,Steve Forbes,FALSE,REP,2865,0.25
President/VicePresident,,Orrin G. Hatch,FALSE,REP,1324,0.12
President/VicePresident,,Alan Keyes,FALSE,REP,43518,3.86
President/VicePresident,,John McCain,FALSE,REP,80082,7.11
President/VicePresident,,Charles Bass Urban,FALSE,REP,793,0.07
President/VicePresident,,Uncommitted,FALSE,REP,9570,0.85
President/VicePresident,,Total,,,1126757,
U. S. Senator,,Kay Bailey Hutchison,TRUE,REP,955033,100
U. S. Senator,,Total,,,955033,
U. S. Representative,1,John Lawrence,FALSE,REP,10919,42.76
U. S. Representative,1,Noble Willingham,FALSE,REP,14619,57.24
U. S. Representative,1,Total,,,25538,
U. S. Representative,3,J. A.  Gonnell,FALSE,REP,2843,6.51
U. S. Representative,3,Sam Johnson,TRUE,REP,40802,93.49
U. S. Representative,3,Total,,,43645,
U. S. Representative,4,Jon Newton,FALSE,REP,21791,54.54
U. S. Representative,4,Mark D. Peterman,FALSE,REP,18164,45.46
U. S. Representative,4,Total,,,39955,
U. S. Representative,5,Pete Sessions,TRUE,REP,26179,100
U. S. Representative,5,Total,,,26179,
U. S. Representative,6,Joe Barton,TRUE,REP,51664,100
U. S. Representative,6,Total,,,51664,
U. S. Representative,7,Mark Brewer,FALSE,REP,4865,7.68
U. S. Representative,7,John  Culberson,FALSE,REP,23894,37.74
U. S. Representative,7,Wallace Henley,FALSE,REP,4649,7.34
U. S. Representative,7,Gene Hsiao,FALSE,REP,1063,1.68
U. S. Representative,7,Ron Kapche,FALSE,REP,3107,4.91
U. S. Representative,7,Susan Malfer,FALSE,REP,411,0.65
U. S. Representative,7,Cathy McConn,FALSE,REP,8488,13.41
U. S. Representative,7,Peter Wareing,FALSE,REP,16837,26.59
U. S. Representative,7,Total,,,63314,
U. S. Representative,8,Kevin Brady,TRUE,REP,61252,100
U. S. Representative,8,Total,,,61252,
U. S. Representative,9,Paul Williams,FALSE,REP,19886,100
U. S. Representative,9,Total,,,19886,
U. S. Representative,10,"Ronnie ""Reeferseed"" Gjemre",FALSE,REP,2759,8.2
U. S. Representative,10,"Jerry J. Mikus, Jr.",FALSE,REP,11002,32.7
U. S. Representative,10,Charles Moritz,FALSE,REP,19889,59.11
U. S. Representative,10,Total,,,33650,
U. S. Representative,11,Rob Curnock,FALSE,REP,7078,19.78
U. S. Representative,11,Ramsey Farley,FALSE,REP,14171,39.6
U. S. Representative,11,Rodney Geer,FALSE,REP,14537,40.62
U. S. Representative,11,Total,,,35786,
U. S. Representative,12,Kay Granger,TRUE,REP,32382,100
U. S. Representative,12,Total,,,32382,
U. S. Representative,13,David G. Morris,FALSE,REP,2863,8.49
U. S. Representative,13,Mac Thornberry,TRUE,REP,30867,91.51
U. S. Representative,13,Total,,,33730,
U. S. Representative,14,Ron Paul,TRUE,REP,37892,100
U. S. Representative,14,Total,,,37892,
U. S. Representative,16,Daniel S. Power,FALSE,REP,9602,100
U. S. Representative,16,Total,,,9602,
U. S. Representative,17,Darrell Clements,FALSE,REP,15167,51.56
U. S. Representative,17,Shane Hunt,FALSE,REP,14248,48.44
U. S. Representative,17,Total,,,29415,
U. S. Representative,18,Bob Levy,FALSE,REP,5234,54.12
U. S. Representative,18,Elmer L. Zoch,FALSE,REP,4437,45.88
U. S. Representative,18,Total,,,9671,
U. S. Representative,19,Larry Combest,TRUE,REP,64433,100
U. S. Representative,19,Total,,,64433,
U. S. Representative,21,Lamar Smith,TRUE,REP,90924,100
U. S. Representative,21,Total,,,90924,
U. S. Representative,22,Tom DeLay,TRUE,REP,41901,83.33
U. S. Representative,22,"Michael ""Fjet"" Fjetland",FALSE,REP,8385,16.67
U. S. Representative,22,Total,,,50286,
U. S. Representative,23,Henry Bonilla,TRUE,REP,25231,100
U. S. Representative,23,Total,,,25231,
U. S. Representative,24,Cynthia Newman,FALSE,REP,3837,22.71
U. S. Representative,24,Bill Payne,FALSE,REP,4369,25.86
U. S. Representative,24,Mac Warren,FALSE,REP,3135,18.56
U. S. Representative,24,"James ""Bryndan"" Wright",FALSE,REP,5551,32.86
U. S. Representative,24,Total,,,16892,
U. S. Representative,25,Tom Reiser,FALSE,REP,11060,48.68
U. S. Representative,25,Phil Sudan,FALSE,REP,11658,51.32
U. S. Representative,25,Total,,,22718,
U. S. Representative,26,Dick Armey,TRUE,REP,48179,87.62
U. S. Representative,26,Larry K. Thompson,FALSE,REP,6806,12.38
U. S. Representative,26,Total,,,54985,
U. S. Representative,27,Pat Ahumada,FALSE,REP,13652,100
U. S. Representative,27,Total,,,13652,
U. S. Representative,29,Allen H. Goforth,FALSE,REP,3685,48.2
U. S. Representative,29,Joe Vu,FALSE,REP,3960,51.8
U. S. Representative,29,Total,,,7645,
Railroad Commissioner,,Charles R. Matthews,TRUE,REP,793355,100
Railroad Commissioner,,Total,,,793355,
Railroad  Commissioner  Unexpired Term,,Andy Draughn,FALSE,REP,167422,20.02
Railroad  Commissioner  Unexpired Term,,Michael L. Williams,TRUE,REP,668769,79.98
Railroad  Commissioner  Unexpired Term,,Total,,,836191,
"Justice, Supreme Court, Place 1",,Valorie W. Davenport,FALSE,REP,316410,35.44
"Justice, Supreme Court, Place 1",,Nathan Hecht,TRUE,REP,576415,64.56
"Justice, Supreme Court, Place 1",,Total,,,892825,
"Justice, Supreme Court, Place 2",,Priscilla Owen,TRUE,REP,739039,100
"Justice, Supreme Court, Place 2",,Total,,,739039,
"Justice, Supreme Court, Place 3",,Al Gonzales,TRUE,REP,509242,57.78
"Justice, Supreme Court, Place 3",,Rod E. Gorman,FALSE,REP,372142,42.22
"Justice, Supreme Court, Place 3",,Total,,,881384,
"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,FALSE,REP,271184,33.61
"Presiding Judge, Court of Criminal Appeals",,Connie J. Kelley,FALSE,REP,135059,16.74
"Presiding Judge, Court of Criminal Appeals",,Tom Price,FALSE,REP,306855,38.03
"Presiding Judge, Court of Criminal Appeals",,J. Gary Trichter,FALSE,REP,93805,11.63
"Presiding Judge, Court of Criminal Appeals",,Total,,,806903,
Judge Court of Criminal Appeals,1,John Boston,FALSE,REP,84985,11.05
Judge Court of Criminal Appeals,1,Alan Curry,FALSE,REP,164801,21.42
Judge Court of Criminal Appeals,1,Tom Greenwell,FALSE,REP,141183,18.35
Judge Court of Criminal Appeals,1,Charles Holcomb,FALSE,REP,202987,26.39
Judge Court of Criminal Appeals,1,Guy Williams,FALSE,REP,175291,22.79
Judge Court of Criminal Appeals,1,Total,,,769247,
Judge Court of Criminal Appeals,2,Pat  Barber,FALSE,REP,132074,17.2
Judge Court of Criminal Appeals,2,Barbara Parker Hervey,FALSE,REP,196235,25.56
Judge Court of Criminal Appeals,2,"W. B. ""Bennie"" House",FALSE,REP,64578,8.41
Judge Court of Criminal Appeals,2,Sally L. Ray,FALSE,REP,131609,17.14
Judge Court of Criminal Appeals,2,Jim  Wallace,FALSE,REP,243329,31.69
Judge Court of Criminal Appeals,2,Total,,,767825,
Member State Board of Education,5,Dan Montgomery,FALSE,REP,62308,60.88
Member State Board of Education,5,Bob Offutt,FALSE,REP,40043,39.12
Member State Board of Education,5,Total,,,102351,
Member State Board of Education,6,Chase Untermeyer,TRUE,REP,71651,100
Member State Board of Education,6,Total,,,71651,
Member State Board of Education,7,David Bradley,FALSE,REP,41665,100
Member State Board of Education,7,Total,,,41665,
Member State Board of Education,10,Dolores Hillyer,FALSE,REP,9260,11.19
Member State Board of Education,10,Bob Schoolfield,FALSE,REP,29288,35.4
Member State Board of Education,10,Brad Shields,FALSE,REP,21713,26.24
Member State Board of Education,10,Cynthia A. Thornton,FALSE,REP,22479,27.17
Member State Board of Education,10,Total,,,82740,
Member State Board of Education,11,Richard Neill,FALSE,REP,67403,100
Member State Board of Education,11,Total,,,67403,
Member State Board of Education,12,"Geraldine ""Tincy"" Miller",FALSE,REP,66012,100
Member State Board of Education,12,Total,,,66012,
State Senator,2,Bob  Deuell,FALSE,REP,9916,36.6
State Senator,2,Richard Harvey,FALSE,REP,10263,37.88
State Senator,2,Keith Wheeler,FALSE,REP,6912,25.51
State Senator,2,Total,,,27091,
State Senator,3,Van Brookshire,FALSE,REP,4875,11.8
State Senator,3,Todd Staples,FALSE,REP,28977,70.15
State Senator,3,Les Tarrance,FALSE,REP,7455,18.05
State Senator,3,Total,,,41307,
State Senator,7,Jon Lindsay,TRUE,REP,49562,100
State Senator,7,Total,,,49562,
State Senator,8,Florence Shapiro,TRUE,REP,45359,100
State Senator,8,Total,,,45359,
State Senator,9,Jane Nelson,TRUE,REP,35532,100
State Senator,9,Total,,,35532,
State Senator,10,Chris Harris,TRUE,REP,38221,100
State Senator,10,Total,,,38221,
State Senator,12,George  Host,FALSE,REP,19549,100
State Senator,12,Total,,,19549,
State Senator,15,Warren A. Lawless,FALSE,REP,10994,100
State Senator,15,Total,,,10994,
State Senator,21,David Swift,FALSE,REP,13807,100
State Senator,21,Total,,,13807,
State Senator,24,Troy Fraser,FALSE,REP,29552,100
State Senator,24,Total,,,29552,
State Senator,25,Jeff Wentworth,TRUE,REP,84970,100
State Senator,25,Total,,,84970,
State Representative,4,Betty Brown,TRUE,REP,8005,100
State Representative,4,Total,,,8005,
State Representative,5,Bill G. Hollowell,FALSE,REP,4174,100
State Representative,5,Total,,,4174,
State Representative,6,Leo Berman,TRUE,REP,5736,100
State Representative,6,Total,,,5736,
State Representative,7,Tommy Merritt,TRUE,REP,9640,100
State Representative,7,Total,,,9640,
State Representative,9,Wayne Christian,TRUE,REP,8380,100
State Representative,9,Total,,,8380,
State Representative,10,Jim Pitts,TRUE,REP,7510,100
State Representative,10,Total,,,7510,
State Representative,11,Kenneth Durrett,FALSE,REP,3409,49.59
State Representative,11,"Paul S. Woodard, Jr.",FALSE,REP,3466,50.41
State Representative,11,Total,,,6875,
State Representative,13,Charles B.  Jones,TRUE,REP,5002,44.56
State Representative,13,Lois W. Kolkhorst,FALSE,REP,6223,55.44
State Representative,13,Total,,,11225,
State Representative,14,Fred Brown,TRUE,REP,8126,100
State Representative,14,Total,,,8126,
State Representative,15,"Thomas D. ""Tommy""  Williams",TRUE,REP,11096,100
State Representative,15,Total,,,11096,
State Representative,16,"Ruben W.  Hope, Jr.",TRUE,REP,13244,100
State Representative,16,Total,,,13244,
State Representative,18,Ben Bius,FALSE,REP,3712,57.9
State Representative,18,Thomas Leeper,FALSE,REP,2699,42.1
State Representative,18,Total,,,6411,
State Representative,20,Eddie Shauberger,FALSE,REP,4363,100
State Representative,20,Total,,,4363,
