office,district,candidate,incumbent,party,votes,pct
President/VicePresident,,George W. Bush  /Dick Cheney,False,REP,3799639,59.30
President/VicePresident,,Al Gore /Joe Lieberman,False,DEM,2433746,37.98
President/VicePresident,,Harry Browne /Art Olivier,False,LIB,23160,0.36
President/VicePresident,,Ralph Nader /Winona LaDuke,False,GRN,137994,2.15
President/VicePresident,,Pat Buchanan /Ezola Foster,False,IND,12394,0.19
President/VicePresident,,Howard Phillips /J. Curtis Frazier,False,WI,567,0.01
President/VicePresident,,"James ""Jim"" Wright /Leonard L. Foster",False,WI,74,0.00
President/VicePresident,,David McReynolds /Mary Cal Hollis,False,WI,63,0.00
President/VicePresident,,Total,,,6407637,
U.S. Senate,,Kay Bailey Hutchison,True,REP,4082091,65.04
U.S. Senate,,Gene Kelly,False,DEM,2030315,32.35
U.S. Senate,,Mary J. Ruwart,False,LIB,72798,1.16
U.S. Senate,,Douglas S. Sandage,False,GRN,91448,1.46
U.S. Senate,,Total,,,6276652,
U. S. Representative,1,Noble Willingham,False,REP,91912,43.39
U. S. Representative,1,Max Sandlin,True,DEM,118157,55.77
U. S. Representative,1,Ray Carr,False,LIB,1779,0.84
U. S. Representative,1,Total,,,211848,
U. S. Representative,2,Jim Turner,True,DEM,162891,91.09
U. S. Representative,2,Gary Lyndon  Dye,False,LIB,15939,8.91
U. S. Representative,2,Total,,,178830,
U. S. Representative,3,Sam Johnson,True,REP,187486,71.59
U. S. Representative,3,Billy Wayne  Zachary,False,DEM,67233,25.67
U. S. Representative,3,Lance Flores,False,LIB,7178,2.74
U. S. Representative,3,Total,,,261897,
U. S. Representative,4,Jon Newton,False,REP,91574,37.86
U. S. Representative,4,Ralph M. Hall,True,DEM,145887,60.31
U. S. Representative,4,Joe Turner,False,LIB,4417,1.83
U. S. Representative,4,Total,,,241878,
U. S. Representative,5,Pete Sessions,True,REP,100487,54.04
U. S. Representative,5,Regina Montoya Coggins,False,DEM,82629,44.43
U. S. Representative,5,Ken Ashby,False,LIB,2842,1.53
U. S. Representative,5,Total,,,185958,
U. S. Representative,6,Joe Barton,True,REP,222685,88.11
U. S. Representative,6,Frank  Brady,False,LIB,30056,11.89
U. S. Representative,6,Total,,,252741,
U. S. Representative,7,John  Culberson,False,REP,183712,73.90
U. S. Representative,7,Jeff Sell,False,DEM,60694,24.42
