office,district,candidate,incumbent,party,votes,pct
State Representative,115  Unexpired Term,Roberto Vazquez,False,DEM,1470,49.78
State Representative,115  Unexpired Term,Mike Villarreal,False,DEM,1469,49.75
State Representative,115  Unexpired Term,Jeffrey Munoz,False,WI,1,0.03
State Representative,115  Unexpired Term,None,False,WI,4,0.14
State Representative,115  Unexpired Term,Bill Hanson,False,WI,1,0.03
State Representative,115  Unexpired Term,John V. Garcia,False,WI,1,0.03
State Representative,115  Unexpired Term,Andren Ramon,False,WI,1,0.03
State Representative,115  Unexpired Term,Edward G. Prott,False,WI,1,0.03
State Representative,115  Unexpired Term,George West,False,WI,1,0.03
State Representative,115  Unexpired Term,Weir Labatt,False,WI,1,0.03
State Representative,115  Unexpired Term,"Keith A. Lytle, Jr.",False,WI,1,0.03
State Representative,115  Unexpired Term,John Paul Berow,False,WI,1,0.03
State Representative,115  Unexpired Term,Pablo Uresti,False,WI,1,0.03
State Representative,115  Unexpired Term,Total,,,2953,
