candidate,office,district,party,county,precinct,votes,early_voting,election_day
,Registered Voters,,,Lynn,Precinct 1,380,,
,Ballots Cast,,,Lynn,Precinct 1,143,70,73
,Straight Party,,REP,Lynn,Precinct 1,56,28,28
,Straight Party,,DEM,Lynn,Precinct 1,18,11,7
,Straight Party,,LIB,Lynn,Precinct 1,1,0,1
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 1,108,51,57
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 1,34,19,15
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 1,1,0,1
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 1,112,52,60
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 1,30,18,12
Greg Abbott,Governor,,REP,Lynn,Precinct 1,113,53,60
Lupe Valdez,Governor,,DEM,Lynn,Precinct 1,30,17,13
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 1,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 1,99,48,51
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 1,37,17,20
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 1,5,4,1
Ken Paxton,Attorney General,,REP,Lynn,Precinct 1,101,49,52
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 1,35,17,18
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 1,3,3,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 1,108,51,57
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 1,29,18,11
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 1,3,0,3
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 1,104,47,57
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 1,30,17,13
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 1,5,4,1
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 1,106,51,55
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 1,30,17,13
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 1,4,1,3
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 1,108,49,59
Drew Landry,State Representative,83,DEM,Lynn,Precinct 1,31,19,13
,Registered Voters,,,Lynn,Precinct 2/8,460,,
,Ballots Cast,,,Lynn,Precinct 2/8,193,58,135
,Straight Party,,REP,Lynn,Precinct 2/8,62,19,43
,Straight Party,,DEM,Lynn,Precinct 2/8,27,6,21
,Straight Party,,LIB,Lynn,Precinct 2/8,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 2/8,153,45,108
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 2/8,40,13,27
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 2/8,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 2/8,149,46,103
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 2/8,44,12,32
Greg Abbott,Governor,,REP,Lynn,Precinct 2/8,147,46,101
Lupe Valdez,Governor,,DEM,Lynn,Precinct 2/8,44,11,33
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 2/8,2,1,1
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 2/8,130,40,90
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 2/8,54,17,37
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 2/8,7,1,6
Ken Paxton,Attorney General,,REP,Lynn,Precinct 2/8,140,42,98
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 2/8,45,14,31
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 2/8,6,2,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 2/8,141,44,97
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 2/8,42,11,31
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 2/8,8,3,5
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 2/8,134,39,95
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 2/8,41,11,30
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 2/8,15,7,8
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 2/8,142,44,98
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 2/8,37,10,27
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 2/8,11,4,7
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 2/8,145,45,100
Drew Landry,State Representative,83,DEM,Lynn,Precinct 2/8,46,12,34
,Registered Voters,,,Lynn,Precinct 3/10,689,,
,Ballots Cast,,,Lynn,Precinct 3/10,247,67,180
,Straight Party,,REP,Lynn,Precinct 3/10,102,43,59
,Straight Party,,DEM,Lynn,Precinct 3/10,32,2,30
,Straight Party,,LIB,Lynn,Precinct 3/10,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 3/10,196,64,132
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 3/10,50,3,47
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 3/10,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 3/10,189,64,125
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 3/10,54,3,51
Greg Abbott,Governor,,REP,Lynn,Precinct 3/10,192,63,129
Lupe Valdez,Governor,,DEM,Lynn,Precinct 3/10,50,3,47
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 3/10,3,1,2
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 3/10,132,50,82
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 3/10,110,14,96
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 3/10,4,3,1
Ken Paxton,Attorney General,,REP,Lynn,Precinct 3/10,178,57,121
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 3/10,61,7,54
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 3/10,4,3,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 3/10,178,63,115
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 3/10,59,3,56
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 3/10,9,1,8
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 3/10,188,59,129
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 3/10,53,4,49
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 3/10,5,3,2
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 3/10,185,63,122
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 3/10,58,3,55
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 3/10,3,1,2
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 3/10,177,63,114
Drew Landry,State Representative,83,DEM,Lynn,Precinct 3/10,68,4,64
,Registered Voters,,,Lynn,Precinct 4/11,619,,
,Ballots Cast,,,Lynn,Precinct 4/11,401,95,306
,Straight Party,,REP,Lynn,Precinct 4/11,202,50,152
,Straight Party,,DEM,Lynn,Precinct 4/11,21,3,18
,Straight Party,,LIB,Lynn,Precinct 4/11,1,0,1
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 4/11,355,90,265
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 4/11,45,5,40
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 4/11,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 4/11,363,89,274
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 4/11,37,6,31
Greg Abbott,Governor,,REP,Lynn,Precinct 4/11,359,91,268
Lupe Valdez,Governor,,DEM,Lynn,Precinct 4/11,38,4,34
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 4/11,3,0,3
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 4/11,307,82,225
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 4/11,79,11,68
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 4/11,11,2,9
Ken Paxton,Attorney General,,REP,Lynn,Precinct 4/11,342,88,254
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 4/11,52,6,46
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 4/11,5,1,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 4/11,354,86,268
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 4/11,34,4,30
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 4/11,5,3,2
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 4/11,349,84,265
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 4/11,35,4,31
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 4/11,9,4,5
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 4/11,353,86,267
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 4/11,36,5,31
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 4/11,6,3,3
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 4/11,359,89,270
Drew Landry,State Representative,83,DEM,Lynn,Precinct 4/11,39,5,34
,Registered Voters,,,Lynn,Precinct 5,41,,
,Ballots Cast,,,Lynn,Precinct 5,25,19,6
,Straight Party,,REP,Lynn,Precinct 5,15,11,4
,Straight Party,,DEM,Lynn,Precinct 5,2,2,0
,Straight Party,,LIB,Lynn,Precinct 5,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 5,23,17,6
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 5,2,2,0
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 5,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 5,23,17,6
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 5,2,2,0
Greg Abbott,Governor,,REP,Lynn,Precinct 5,23,17,6
Lupe Valdez,Governor,,DEM,Lynn,Precinct 5,2,2,0
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 5,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 5,22,16,6
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 5,3,3,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 5,0,0,0
Ken Paxton,Attorney General,,REP,Lynn,Precinct 5,23,17,6
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 5,2,2,0
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 5,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 5,23,17,6
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 5,2,2,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 5,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 5,21,15,6
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 5,3,3,0
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 5,1,1,0
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 5,20,14,6
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 5,3,3,0
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 5,2,2,0
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 5,23,17,6
Drew Landry,State Representative,83,DEM,Lynn,Precinct 5,2,2,0
,Registered Voters,,,Lynn,Precinct 6,430,,
,Ballots Cast,,,Lynn,Precinct 6,192,110,82
,Straight Party,,REP,Lynn,Precinct 6,77,53,24
,Straight Party,,DEM,Lynn,Precinct 6,28,14,14
,Straight Party,,LIB,Lynn,Precinct 6,1,0,1
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 6,143,90,53
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 6,46,19,27
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 6,3,1,2
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 6,150,90,60
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 6,39,19,20
Greg Abbott,Governor,,REP,Lynn,Precinct 6,145,88,57
Lupe Valdez,Governor,,DEM,Lynn,Precinct 6,43,20,23
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 6,4,2,2
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 6,116,75,41
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 6,63,32,31
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 6,7,1,6
Ken Paxton,Attorney General,,REP,Lynn,Precinct 6,132,84,48
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 6,50,24,26
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 6,4,0,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 6,135,87,48
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 6,39,18,21
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 6,7,2,5
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 6,141,87,54
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 6,38,19,19
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 6,5,2,3
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 6,134,85,49
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 6,39,19,20
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 6,9,3,6
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 6,136,87,49
Drew Landry,State Representative,83,DEM,Lynn,Precinct 6,49,20,29
,Registered Voters,,,Lynn,Precinct 7,38,,
,Ballots Cast,,,Lynn,Precinct 7,29,12,17
,Straight Party,,REP,Lynn,Precinct 7,19,8,11
,Straight Party,,DEM,Lynn,Precinct 7,1,0,1
,Straight Party,,LIB,Lynn,Precinct 7,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 7,28,12,16
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 7,1,0,1
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 7,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 7,28,12,16
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 7,1,0,1
Greg Abbott,Governor,,REP,Lynn,Precinct 7,28,12,16
Lupe Valdez,Governor,,DEM,Lynn,Precinct 7,1,0,1
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 7,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 7,27,11,16
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 7,2,1,1
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 7,0,0,0
Ken Paxton,Attorney General,,REP,Lynn,Precinct 7,27,11,16
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 7,0,1,1
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 7,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 7,28,12,16
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 7,1,0,1
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 7,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 7,28,12,16
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 7,1,0,1
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 7,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 7,28,12,16
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 7,1,0,1
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 7,0,0,0
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 7,28,12,16
Drew Landry,State Representative,83,DEM,Lynn,Precinct 7,1,0,1
,Registered Voters,,,Lynn,Precinct 9,416,,
,Ballots Cast,,,Lynn,Precinct 9,223,136,87
,Straight Party,,REP,Lynn,Precinct 9,113,71,42
,Straight Party,,DEM,Lynn,Precinct 9,12,7,5
,Straight Party,,LIB,Lynn,Precinct 9,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 9,195,118,77
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 9,27,17,10
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 9,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 9,201,123,78
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 9,19,10,9
Greg Abbott,Governor,,REP,Lynn,Precinct 9,199,124,75
Lupe Valdez,Governor,,DEM,Lynn,Precinct 9,22,11,11
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 9,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 9,174,108,66
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 9,39,22,17
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 9,4,3,1
Ken Paxton,Attorney General,,REP,Lynn,Precinct 9,178,105,73
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 9,36,24,12
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 9,6,6,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 9,194,120,74
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 9,18,10,8
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 9,2,2,0
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 9,195,120,75
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 9,17,10,7
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 9,4,2,2
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 9,191,115,76
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 9,20,13,7
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 9,5,4,1
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 9,192,116,76
Drew Landry,State Representative,83,DEM,Lynn,Precinct 9,28,18,10
,Registered Voters,,,Lynn,Precinct 12,255,,
,Ballots Cast,,,Lynn,Precinct 12,68,42,26
,Straight Party,,REP,Lynn,Precinct 12,32,24,8
,Straight Party,,DEM,Lynn,Precinct 12,13,5,8
,Straight Party,,LIB,Lynn,Precinct 12,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 12,47,34,13
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 12,19,7,12
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 12,1,0,1
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 12,49,36,13
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 12,17,6,11
Greg Abbott,Governor,,REP,Lynn,Precinct 12,49,35,14
Lupe Valdez,Governor,,DEM,Lynn,Precinct 12,19,7,12
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 12,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 12,48,35,13
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 12,19,7,12
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 12,1,0,1
Ken Paxton,Attorney General,,REP,Lynn,Precinct 12,46,32,14
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 12,20,9,11
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 12,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 12,46,34,12
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 12,19,6,13
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 12,3,2,1
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 12,51,35,16
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 12,16,7,9
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 12,1,0,1
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 12,49,35,14
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 12,17,5,12
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 12,2,2,0
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 12,49,34,15
Drew Landry,State Representative,83,DEM,Lynn,Precinct 12,19,8,11
,Registered Voters,,,Lynn,Precinct 13,148,,
,Ballots Cast,,,Lynn,Precinct 13,83,42,41
,Straight Party,,REP,Lynn,Precinct 13,28,14,14
,Straight Party,,DEM,Lynn,Precinct 13,8,5,3
,Straight Party,,LIB,Lynn,Precinct 13,0,0,0
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 13,68,35,33
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 13,15,7,8
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 13,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 13,71,35,36
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 13,12,7,5
Greg Abbott,Governor,,REP,Lynn,Precinct 13,67,33,34
Lupe Valdez,Governor,,DEM,Lynn,Precinct 13,15,8,7
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 13,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 13,55,30,25
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 13,27,11,16
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 13,1,1,0
Ken Paxton,Attorney General,,REP,Lynn,Precinct 13,67,34,33
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 13,16,8,8
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 13,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 13,67,34,33
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 13,10,6,4
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 13,5,1,4
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 13,62,30,32
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 13,14,9,5
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 13,3,2,1
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 13,67,35,32
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 13,13,7,6
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 13,2,0,2
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 13,66,31,35
Drew Landry,State Representative,83,DEM,Lynn,Precinct 13,17,11,6
,Registered Voters,,,Lynn,Precinct 14,467,,
,Ballots Cast,,,Lynn,Precinct 14,98,48,50
,Straight Party,,REP,Lynn,Precinct 14,26,10,16
,Straight Party,,DEM,Lynn,Precinct 14,28,13,15
,Straight Party,,LIB,Lynn,Precinct 14,1,0,1
Ted Cruz,U.S. Senate,,REP,Lynn,Precinct 14,53,23,30
Beto O'Rourke,U.S. Senate,,DEM,Lynn,Precinct 14,44,24,20
Neal M Dikeman,U.S. Senate,,LIB,Lynn,Precinct 14,0,0,0
Jodey Arrington,U.S. House,19,REP,Lynn,Precinct 14,58,26,32
Miguel Levario,U.S. House,19,DEM,Lynn,Precinct 14,40,22,18
Greg Abbott,Governor,,REP,Lynn,Precinct 14,58,24,34
Lupe Valdez,Governor,,DEM,Lynn,Precinct 14,38,23,15
Mark Jay Tippetts,Governor,,LIB,Lynn,Precinct 14,2,1,1
Dan Patrick,Lieutenant Governor,,REP,Lynn,Precinct 14,50,21,29
Mike Collier,Lieutenant Governor,,DEM,Lynn,Precinct 14,47,27,20
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lynn,Precinct 14,1,0,1
Ken Paxton,Attorney General,,REP,Lynn,Precinct 14,48,19,29
Justin Nelson,Attorney General,,DEM,Lynn,Precinct 14,46,25,21
Michael Ray Harris,Attorney General,,LIB,Lynn,Precinct 14,3,3,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lynn,Precinct 14,49,22,27
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lynn,Precinct 14,41,21,20
Ben Sanders,Comptroller of Public Accounts,,LIB,Lynn,Precinct 14,5,3,2
George P. Bush,Commissioner of the General Land Office,,REP,Lynn,Precinct 14,56,25,31
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lynn,Precinct 14,36,20,16
Matt Pina,Commissioner of the General Land Office,,LIB,Lynn,Precinct 14,3,1,2
Christi Craddick,Railroad Commissioner,,REP,Lynn,Precinct 14,52,27,25
Roman McAllen,Railroad Commissioner,,DEM,Lynn,Precinct 14,42,19,23
Mike Wright,Railroad Commissioner,,LIB,Lynn,Precinct 14,1,0,1
Dustin Burrows,State Representative,83,REP,Lynn,Precinct 14,53,25,28
Drew Landry,State Representative,83,DEM,Lynn,Precinct 14,42,21,21
Sid Miller,Commissioner of Agriculture,,REP,Lynn,Precinct 1,101,50,51
Kim Olson,Commissioner of Agriculture,,DEM,Lynn,Precinct 1,36,18,18
Richard Carpenter,Commissioner of Agriculture,,LIB,Lynn,Precinct 1,2,0,2
Sid Miller,Commissioner of Agriculture,,REP,Lynn,Precinct 2/8,145,46,99
Kim Olson,Commissioner of Agriculture,,DEM,Lynn,Precinct 2/8,42,12,30
Richard Carpenter,Commissioner of Agriculture,,LIB,Lynn,Precinct 2/8,3,0,3
Sid Miller,Commissioner of Agriculture,,REP,Lynn,Precinct 3/10,181,63,118
