county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Culberson,U.S. House,23,Angela Ann Villescaz,DEM,1,Conv. Center/Capitan Room,8,15,23
Culberson,U.S. House,23,Gina Maria Ortiz Jones,DEM,1,Conv. Center/Capitan Room,20,19,39
Culberson,U.S. House,23,Harry Jay Hulings,DEM,1,Conv. Center/Capitan Room,2,4,6
Culberson,U.S. House,23,Judith Ann Canales,DEM,1,Conv. Center/Capitan Room,6,5,11
Culberson,U.S. House,23,Ricardo Jose Trevio,DEM,1,Conv. Center/Capitan Room,14,11,25
Culberson,U.S. House,23,Angela Ann Villescaz,DEM,2,Methodist Church Hall,14,6,20
Culberson,U.S. House,23,Gina Maria Ortiz Jones,DEM,2,Methodist Church Hall,24,16,40
Culberson,U.S. House,23,Harry Jay Hulings,DEM,2,Methodist Church Hall,9,1,10
Culberson,U.S. House,23,Judith Ann Canales,DEM,2,Methodist Church Hall,16,8,24
Culberson,U.S. House,23,Ricardo Jose Trevio,DEM,2,Methodist Church Hall,20,9,29
Culberson,U.S. House,23,Ricardo Jose Trevio,DEM,2,Methodist Church Hall,21,1,22
Culberson,U.S. House,23,Angela Ann Villescaz,DEM,3~3,Choya Chateau/Rec Room,0,1,1
Culberson,U.S. House,23,Gina Maria Ortiz Jones,DEM,3~3,Choya Chateau/Rec Room,1,0,1
Culberson,U.S. House,23,Harry Jay Hulings,DEM,3~3,Choya Chateau/Rec Room,0,1,1
Culberson,U.S. House,23,Judith Ann Canales,DEM,3~3,Choya Chateau/Rec Room,0,2,2
Culberson,U.S. House,23,Ricardo Jose Trevio,DEM,3~3,Choya Chateau/Rec Room,0,15,15
Culberson,U.S. House,23,Angela Ann Villescaz,DEM,3~5,CCAISD/Board Room,8,14,22
Culberson,U.S. House,23,Gina Maria Ortiz Jones,DEM,3~5,CCAISD/Board Room,30,5,35
Culberson,U.S. House,23,Harry Jay Hulings,DEM,3~5,CCAISD/Board Room,4,10,14
Culberson,U.S. House,23,Judith Ann Canales,DEM,3~5,CCAISD/Board Room,3,12,15
Culberson,U.S. House,23,Ricardo Jose Trevio,DEM,3~5,CCAISD/Board Room,9,6,15
Culberson,U.S. House,23,Angela Ann Villescaz,DEM,4,OLOF/Kennedy Hall,11,12,23
Culberson,U.S. House,23,Gina Maria Ortiz Jones,DEM,4,OLOF/Kennedy Hall,30,2,32
Culberson,U.S. House,23,Harry Jay Hulings,DEM,4,OLOF/Kennedy Hall,1,9,10
Culberson,U.S. House,23,Judith Ann Canales,DEM,4,OLOF/Kennedy Hall,6,17,23
Culberson,Lieutenant Governor,,Michael  Cooper,DEM,1,Conv. Center/Capitan Room,32,31,63
Culberson,Lieutenant Governor,,Michael Edward Collier,DEM,1,Conv. Center/Capitan Room,11,17,28
Culberson,Lieutenant Governor,,Michael  Cooper,DEM,2,Methodist Church Hall,48,16,64
Culberson,Lieutenant Governor,,Michael Edward Collier,DEM,2,Methodist Church Hall,21,18,39
Culberson,Lieutenant Governor,,Michael  Cooper,DEM,3~3,Choya Chateau/Rec Room,1,3,4
Culberson,Lieutenant Governor,,Michael Edward Collier,DEM,3~3,Choya Chateau/Rec Room,0,1,1
Culberson,Lieutenant Governor,,Michael  Cooper,DEM,3~5,CCAISD/Board Room,27,23,50
Culberson,Lieutenant Governor,,Michael Edward Collier,DEM,3~5,CCAISD/Board Room,16,17,33
Culberson,Lieutenant Governor,,Michael  Cooper,DEM,4,OLOF/Kennedy Hall,40,27,67
Culberson,Lieutenant Governor,,Michael Edward Collier,DEM,4,OLOF/Kennedy Hall,13,15,28
Culberson,Governor,,Adrian Ocegueda,DEM,1,Conv. Center/Capitan Room,3,6,9
Culberson,Governor,,"Cedric Wayne Davis, Sr.",DEM,1,Conv. Center/Capitan Room,0,0,0
Culberson,Governor,,Grady Yarbrough,DEM,1,Conv. Center/Capitan Room,2,6,8
Culberson,Governor,,Guadalupe Valdez,DEM,1,Conv. Center/Capitan Room,29,29,58
Culberson,Governor,,James Jolly Clark,DEM,1,Conv. Center/Capitan Room,2,2,4
Culberson,Governor,,Jeffrey Alan Payne,DEM,1,Conv. Center/Capitan Room,1,3,4
Culberson,Governor,,Joseph William Mumbach,DEM,1,Conv. Center/Capitan Room,0,0,0
Culberson,Governor,,Robert Andrew  White,DEM,1,Conv. Center/Capitan Room,5,5,10
Culberson,Governor,,Thomas John Wakely,DEM,1,Conv. Center/Capitan Room,4,1,5
Culberson,Governor,,Adrian Ocegueda,DEM,2,Methodist Church Hall,6,5,11
Culberson,Governor,,"Cedric Wayne Davis, Sr.",DEM,2,Methodist Church Hall,1,0,1
Culberson,Governor,,Grady Yarbrough,DEM,2,Methodist Church Hall,4,0,4
Culberson,Governor,,Guadalupe Valdez,DEM,2,Methodist Church Hall,44,21,65
Culberson,Governor,,James Jolly Clark,DEM,2,Methodist Church Hall,1,2,3
Culberson,Governor,,Jeffrey Alan Payne,DEM,2,Methodist Church Hall,5,1,6
Culberson,Governor,,Joseph William Mumbach,DEM,2,Methodist Church Hall,5,0,5
Culberson,Governor,,Robert Andrew  White,DEM,2,Methodist Church Hall,5,4,9
Culberson,Governor,,Thomas John Wakely,DEM,2,Methodist Church Hall,5,2,7
Culberson,Governor,,Adrian Ocegueda,DEM,3~3,Choya Chateau/Rec Room,0,0,0
Culberson,Governor,,"Cedric Wayne Davis, Sr.",DEM,3~3,Choya Chateau/Rec Room,0,0,0
Culberson,Governor,,Grady Yarbrough,DEM,3~3,Choya Chateau/Rec Room,0,0,0
Culberson,Governor,,Guadalupe Valdez,DEM,3~3,Choya Chateau/Rec Room,1,0,1
Culberson,Governor,,James Jolly Clark,DEM,3~3,Choya Chateau/Rec Room,0,0,0
Culberson,Governor,,Jeffrey Alan Payne,DEM,3~3,Choya Chateau/Rec Room,0,0,0
Culberson,Governor,,Joseph William Mumbach,DEM,3~3,Choya Chateau/Rec Room,0,0,0
Culberson,Governor,,Robert Andrew  White,DEM,3~3,Choya Chateau/Rec Room,0,2,2
Culberson,Governor,,Thomas John Wakely,DEM,3~3,Choya Chateau/Rec Room,0,2,2
Culberson,Governor,,Adrian Ocegueda,DEM,3~5,CCAISD/Board Room,7,2,9
Culberson,Governor,,"Cedric Wayne Davis, Sr.",DEM,3~5,CCAISD/Board Room,4,3,7
Culberson,Governor,,Grady Yarbrough,DEM,3~5,CCAISD/Board Room,7,2,9
Culberson,Governor,,Guadalupe Valdez,DEM,3~5,CCAISD/Board Room,22,27,49
Culberson,Governor,,James Jolly Clark,DEM,3~5,CCAISD/Board Room,3,2,5
Culberson,Governor,,Jeffrey Alan Payne,DEM,3~5,CCAISD/Board Room,1,3,4
Culberson,Governor,,Joseph William Mumbach,DEM,3~5,CCAISD/Board Room,1,0,1
Culberson,Governor,,Robert Andrew  White,DEM,3~5,CCAISD/Board Room,3,4,7
Culberson,Governor,,Thomas John Wakely,DEM,3~5,CCAISD/Board Room,2,1,3
Culberson,Governor,,Adrian Ocegueda,DEM,4,OLOF/Kennedy Hall,8,3,11
Culberson,Governor,,"Cedric Wayne Davis, Sr.",DEM,4,OLOF/Kennedy Hall,2,2,4
Culberson,Governor,,Grady Yarbrough,DEM,4,OLOF/Kennedy Hall,8,0,8
Culberson,Governor,,Guadalupe Valdez,DEM,4,OLOF/Kennedy Hall,24,20,44
Culberson,Governor,,James Jolly Clark,DEM,4,OLOF/Kennedy Hall,3,3,6
Culberson,Governor,,Jeffrey Alan Payne,DEM,4,OLOF/Kennedy Hall,1,6,7
Culberson,Governor,,Joseph William Mumbach,DEM,4,OLOF/Kennedy Hall,2,2,4
Culberson,Governor,,Robert Andrew  White,DEM,4,OLOF/Kennedy Hall,5,5,10
Culberson,Governor,,Thomas John Wakely,DEM,4,OLOF/Kennedy Hall,6,2,8
Culberson,Attorney General,,Justin Adatto  Nelson,DEM,1,Conv. Center/Capitan Room,34,38,72
Culberson,Attorney General,,Justin Adatto  Nelson,DEM,2,Methodist Church Hall,57,29,86
Culberson,Attorney General,,Justin Adatto  Nelson,DEM,3~3,Choya Chateau/Rec Room,0,4,4
Culberson,Attorney General,,Justin Adatto  Nelson,DEM,3~5,CCAISD/Board Room,31,30,61
Culberson,Attorney General,,Justin Adatto  Nelson,DEM,4,OLOF/Kennedy Hall,43,35,78
Culberson,State Representative,74,"Alfonso Nevrez, Jr.",DEM,1,Conv. Center/Capitan Room,36,37,73
Culberson,State Representative,74,"Alfonso Nevrez, Jr.",DEM,2,Methodist Church Hall,63,26,89
Culberson,State Representative,74,"Alfonso Nevrez, Jr.",DEM,3~3,Choya Chateau/Rec Room,1,4,5
