county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Gaines,2,Straight Party,,Republican Party REP,REP,76,9,177,262
Gaines,2,Straight Party,,Democratic Party DEM,DEM,3,1,6,10
Gaines,2,Straight Party,,Libertarian Party LIB,LIB,0,0,0,0
Gaines,2,U.S. Senate,,Ted Cruz,REP,88,12,211,311
Gaines,2,U.S. Senate,,Beto O'Rourke,DEM,9,2,9,20
Gaines,2,U.S. Senate,,Neal M. Dikeman,LIB,0,0,1,1
Gaines,2,U.S. House,19,Jodey Arrington,REP,87,12,210,309
Gaines,2,U.S. House,19,Miguel Levario,DEM,9,2,7,18
Gaines,2,Governor,,Greg Abbott,REP,89,12,209,310
Gaines,2,Governor,,Lupe Valdez,DEM,7,2,7,16
Gaines,2,Governor,,Mark Jay Tippetts,LIB,2,0,3,5
Gaines,2,Lieutenant Governor,,Dan Patrick,REP,84,12,202,298
Gaines,2,Lieutenant Governor,,Mike Collier,DEM,10,2,12,24
Gaines,2,Lieutenant Governor,,Kerry Douglas McKennon,LIB,0,0,3,3
Gaines,2,Attorney General,,Ken Paxton,REP,84,12,204,300
Gaines,2,Attorney General,,Justin Nelson,DEM,10,2,11,23
Gaines,2,Attorney General,,Michael Ray Harris,LIB,0,0,2,2
Gaines,2,Comptroller of Public Accounts,,Glenn Hegar,REP,86,12,207,305
Gaines,2,Comptroller of Public Accounts,,Joi Chevalier,DEM,9,2,6,17
Gaines,2,Comptroller of Public Accounts,,Ben Sanders,LIB,0,0,4,4
Gaines,2,Commissioner of the General Land Office,,George P. Bush,REP,85,10,200,295
Gaines,2,Commissioner of the General Land Office,,Miguel Suazo,DEM,10,2,9,21
Gaines,2,Commissioner of the General Land Office,,Matt PiÒa,LIB,1,2,4,7
Gaines,2,Commissioner of Agriculture,,Sid Miller,REP,84,12,204,300
Gaines,2,Commissioner of Agriculture,,Kim Olson,DEM,11,2,10,23
Gaines,2,Commissioner of Agriculture,,Richard Carpenter,LIB,0,0,4,4
Gaines,2,Railroad Commissioner,,Christi Craddick,REP,86,12,206,304
Gaines,2,Railroad Commissioner,,Roman McAllen,DEM,8,2,7,17
Gaines,2,Railroad Commissioner,,Mike Wright,LIB,0,0,5,5
Gaines,2,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,88,12,204,304
Gaines,2,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,8,2,11,21
Gaines,2,"Justice, Supreme Court, Place 4",,John Devine,REP,89,12,208,309
Gaines,2,"Justice, Supreme Court, Place 4",,R.K. Sandill,DEM,7,2,7,16
Gaines,2,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,87,12,208,307
Gaines,2,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,8,2,7,17
Gaines,2,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,85,12,202,299
Gaines,2,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,8,2,11,21
Gaines,2,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,0,4,6
Gaines,2,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,86,12,208,306
Gaines,2,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,9,2,7,18
