county,precinct,office,district,candidate,party,election_day,early_voting,votes
Bailey,1,U.S. Senate,,BETO O'ROURKE,DEM,68,55,123
Bailey,1,U.S. Senate,,NEAL M. DIKEMAN,LIB,1,1,2
Bailey,1,U.S. Senate,,TED CRUZ,REP,162,207,369
Bailey,2,U.S. Senate,,BETO O'ROURKE,DEM,47,41,88
Bailey,2,U.S. Senate,,NEAL M. DIKEMAN,LIB,0,0,0
Bailey,2,U.S. Senate,,TED CRUZ,REP,202,330,532
Bailey,3,U.S. Senate,,BETO O'ROURKE,DEM,52,47,99
Bailey,3,U.S. Senate,,NEAL M. DIKEMAN,LIB,2,1,3
Bailey,3,U.S. Senate,,TED CRUZ,REP,71,118,189
Bailey,4,U.S. Senate,,BETO O'ROURKE,DEM,50,45,95
Bailey,4,U.S. Senate,,NEAL M. DIKEMAN,LIB,1,1,2
Bailey,4,U.S. Senate,,TED CRUZ,REP,57,57,114
Bailey,1,U.S. House,19,JODY ARRINGTON,REP,170,211,381
Bailey,1,U.S. House,19,MIGUEL LEVARIO,DEM,59,45,104
Bailey,2,U.S. House,19,JODY ARRINGTON,REP,203,344,547
Bailey,2,U.S. House,19,MIGUEL LEVARIO,DEM,45,26,71
Bailey,3,U.S. House,19,JODY ARRINGTON,REP,79,120,199
Bailey,3,U.S. House,19,MIGUEL LEVARIO,DEM,41,42,83
Bailey,4,U.S. House,19,JODY ARRINGTON,REP,55,54,109
Bailey,1,GOVERNOR,,GREG ABBOTT,REP,170,215,385
Bailey,1,GOVERNOR,,LUPE VALDEZ,DEM,57,45,102
Bailey,1,GOVERNOR,,MARK J. TIPPETTS,LIB,4,2,6
Bailey,2,GOVERNOR,,GREG ABBOTT,REP,203,334,537
Bailey,2,GOVERNOR,,LUPE VALDEZ,DEM,43,36,79
Bailey,2,GOVERNOR,,MARK J. TIPPETTS,LIB,2,0,2
Bailey,3,GOVERNOR,,GREG ABBOTT,REP,84,126,210
Bailey,3,GOVERNOR,,LUPE VALDEZ,DEM,37,36,73
Bailey,3,GOVERNOR,,MARK J. TIPPETTS,LIB,0,4,4
Bailey,4,GOVERNOR,,GREG ABBOTT,REP,53,57,110
Bailey,4,GOVERNOR,,LUPE VALDEZ,DEM,49,45,94
Bailey,4,GOVERNOR,,MARK J. TIPPETTS,LIB,5,0,5
Bailey,1,Lieutenant Governor,,DAN PATRICK,REP,153,201,354
Bailey,1,Lieutenant Governor,,KERRY D. MCKENNON,LIB,10,2,12
Bailey,1,Lieutenant Governor,,MIKE COLLIER,DEM,66,55,121
Bailey,2,Lieutenant Governor,,DAN PATRICK,REP,191,311,502
Bailey,2,Lieutenant Governor,,KERRY D. MCKENNON,LIB,2,4,6
