county,office,district,candidate,party,precinct,early_voting,election_day,votes
Hansford,U.S. Senate,,Bruce Jacobson,REP,1,5,5,10
Hansford,U.S. Senate,,Geraldine Sam,REP,1,1,1,2
Hansford,U.S. Senate,,Mary Miller,REP,1,4,8,12
Hansford,U.S. Senate,,Rafael  Cruz,REP,1,49,120,169
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,1,1,0,1
Hansford,U.S. Senate,,Bruce Jacobson,REP,2,1,0,1
Hansford,U.S. Senate,,Geraldine Sam,REP,2,0,0,0
Hansford,U.S. Senate,,Mary Miller,REP,2,1,1,2
Hansford,U.S. Senate,,Rafael  Cruz,REP,2,10,11,21
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,2,0,0,0
Hansford,U.S. Senate,,Bruce Jacobson,REP,3,1,5,6
Hansford,U.S. Senate,,Geraldine Sam,REP,3,0,0,0
Hansford,U.S. Senate,,Mary Miller,REP,3,2,6,8
Hansford,U.S. Senate,,Rafael  Cruz,REP,3,43,48,91
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,3,0,0,0
Hansford,U.S. Senate,,Bruce Jacobson,REP,4,4,8,12
Hansford,U.S. Senate,,Geraldine Sam,REP,4,1,1,2
Hansford,U.S. Senate,,Mary Miller,REP,4,2,13,15
Hansford,U.S. Senate,,Rafael  Cruz,REP,4,94,84,178
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,4,0,0,0
Hansford,U.S. Senate,,Bruce Jacobson,REP,5,0,4,4
Hansford,U.S. Senate,,Geraldine Sam,REP,5,0,1,1
Hansford,U.S. Senate,,Mary Miller,REP,5,3,6,9
Hansford,U.S. Senate,,Rafael  Cruz,REP,5,51,79,130
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,5,1,2,3
Hansford,U.S. Senate,,Bruce Jacobson,REP,6,4,8,12
Hansford,U.S. Senate,,Geraldine Sam,REP,6,2,1,3
Hansford,U.S. Senate,,Mary Miller,REP,6,4,2,6
Hansford,U.S. Senate,,Rafael  Cruz,REP,6,79,114,193
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,6,0,1,1
Hansford,U.S. Senate,,Bruce Jacobson,REP,7,0,0,0
Hansford,U.S. Senate,,Geraldine Sam,REP,7,0,0,0
Hansford,U.S. Senate,,Mary Miller,REP,7,0,0,0
Hansford,U.S. Senate,,Rafael  Cruz,REP,7,6,16,22
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,7,0,0,0
Hansford,U.S. Senate,,Bruce Jacobson,REP,9,0,2,2
Hansford,U.S. Senate,,Geraldine Sam,REP,9,0,0,0
Hansford,U.S. Senate,,Mary Miller,REP,9,1,9,10
Hansford,U.S. Senate,,Rafael  Cruz,REP,9,6,24,30
Hansford,U.S. Senate,,Stefano de Stefano IV,REP,9,0,0,0
Hansford,Governor,,Barbara Krueger,REP,1,5,5,10
Hansford,Governor,,Gregory Abbott,REP,1,53,127,180
Hansford,Governor,,Larry Kilgore,REP,1,1,1,2
Hansford,Governor,,Barbara Krueger,REP,2,1,1,2
Hansford,Governor,,Gregory Abbott,REP,2,10,11,21
Hansford,Governor,,Larry Kilgore,REP,2,1,0,1
Hansford,Governor,,Barbara Krueger,REP,3,4,6,10
Hansford,Governor,,Gregory Abbott,REP,3,39,47,86
Hansford,Governor,,Larry Kilgore,REP,3,1,3,4
Hansford,Governor,,Barbara Krueger,REP,4,11,14,25
Hansford,Governor,,Gregory Abbott,REP,4,83,88,171
Hansford,Governor,,Larry Kilgore,REP,4,1,2,3
Hansford,Governor,,Barbara Krueger,REP,5,1,5,6
Hansford,Governor,,Gregory Abbott,REP,5,52,82,134
Hansford,Governor,,Larry Kilgore,REP,5,2,1,3
Hansford,Governor,,Barbara Krueger,REP,6,6,5,11
Hansford,Governor,,Gregory Abbott,REP,6,84,111,195
Hansford,Governor,,Larry Kilgore,REP,6,2,4,6
Hansford,Governor,,Barbara Krueger,REP,7,0,0,0
Hansford,Governor,,Gregory Abbott,REP,7,5,16,21
Hansford,Governor,,Larry Kilgore,REP,7,0,0,0
Hansford,Governor,,Barbara Krueger,REP,9,1,9,10
Hansford,Governor,,Gregory Abbott,REP,9,6,25,31
Hansford,Governor,,Larry Kilgore,REP,9,0,3,3
Hansford,State Representative,88,Jason Huddleston,REP,1,15,23,38
Hansford,State Representative,88,Kenneth King,REP,1,27,73,100
Hansford,State Representative,88,Richard Beyea,REP,1,20,42,62
Hansford,State Representative,88,Jason Huddleston,REP,2,0,2,2
Hansford,State Representative,88,Kenneth King,REP,2,6,9,15
Hansford,State Representative,88,Richard Beyea,REP,2,6,1,7
Hansford,State Representative,88,Jason Huddleston,REP,3,5,5,10
Hansford,State Representative,88,Kenneth King,REP,3,33,46,79
Hansford,State Representative,88,Richard Beyea,REP,3,10,7,17
Hansford,State Representative,88,Jason Huddleston,REP,4,8,10,18
Hansford,State Representative,88,Kenneth King,REP,4,79,85,164
Hansford,State Representative,88,Richard Beyea,REP,4,19,16,35
Hansford,State Representative,88,Jason Huddleston,REP,5,10,18,28
Hansford,State Representative,88,Kenneth King,REP,5,30,49,79
Hansford,State Representative,88,Richard Beyea,REP,5,18,23,41
Hansford,State Representative,88,Jason Huddleston,REP,6,17,22,39
Hansford,State Representative,88,Kenneth King,REP,6,51,67,118
Hansford,State Representative,88,Richard Beyea,REP,6,27,43,70
Hansford,State Representative,88,Jason Huddleston,REP,7,3,7,10
Hansford,State Representative,88,Kenneth King,REP,7,2,8,10
Hansford,State Representative,88,Richard Beyea,REP,7,2,2,4
Hansford,State Representative,88,Jason Huddleston,REP,9,3,6,9
Hansford,State Representative,88,Kenneth King,REP,9,1,27,28
Hansford,State Representative,88,Richard Beyea,REP,9,3,7,10
Hansford,Lieutenant Governor,,Dan Patrick,REP,1,44,92,136
Hansford,Lieutenant Governor,,Scott Milder,REP,1,13,40,53
Hansford,Lieutenant Governor,,Dan Patrick,REP,2,9,5,14
Hansford,Lieutenant Governor,,Scott Milder,REP,2,3,7,10
