county,precinct,office,district,party,candidate,election_day,early_voting_ts,early_voting_os,early_voting,votes
Sherman,101,U.S. Senate,,REP,Stefano de Stefano,0,0,0,0,0
Sherman,101,U.S. Senate,,REP,"Bruce Jacobson, Jr.",1,0,0,0,1
Sherman,101,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
Sherman,101,U.S. Senate,,REP,Ted Cruz,18,11,0,11,29
Sherman,101,U.S. Senate,,REP,Mary Miller,0,0,0,0,0
Sherman,101,U.S. House,13,REP,Mac Thornberry,20,10,0,10,30
Sherman,101,Governor,,REP,SECEDE Kilgore,2,0,0,0,2
Sherman,101,Governor,,REP,Greg Abbott,16,11,0,11,27
Sherman,101,Governor,,REP,Barbara Krueger,1,0,0,0,1
Sherman,101,Lieutenant Governor,,REP,Scott Milder,5,3,0,3,8
Sherman,101,Lieutenant Governor,,REP,Dan Patrick,14,7,0,7,21
Sherman,101,Attorney General,,REP,Ken Paxton,18,9,0,9,27
Sherman,101,Comptroller of Public Accounts,,REP,Glenn Hegar,17,7,0,7,24
Sherman,101,Commissioner of the General Land Office,,REP,Davey Edwards,0,0,0,0,0
Sherman,101,Commissioner of the General Land Office,,REP,Jerry Patterson,4,3,0,3,7
Sherman,101,Commissioner of the General Land Office,,REP,George P. Bush,16,5,0,5,21
Sherman,101,Commissioner of the General Land Office,,REP,Rick Range,0,0,0,0,0
Sherman,101,Commissioner of Agriculture,,REP,Jim Hogan,2,3,0,3,5
Sherman,101,Commissioner of Agriculture,,REP,Sid Miller,12,1,0,1,13
Sherman,101,Commissioner of Agriculture,,REP,Trey Blocker,4,4,0,4,8
Sherman,101,Railroad Commissioner,,REP,Weston Martinez,2,1,0,1,3
Sherman,101,Railroad Commissioner,,REP,Christi Craddick,15,6,0,6,21
Sherman,101,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,18,8,0,8,26
Sherman,101,"Justice, Supreme Court, Place 4",,REP,John Devine,18,8,0,8,26
Sherman,101,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,18,8,0,8,26
Sherman,101,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,9,2,0,2,11
Sherman,101,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,9,4,0,4,13
Sherman,101,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara P. Hervey,18,7,0,7,25
Sherman,101,"Judge, Court of Criminal Apeals, Place 8",,REP,Jay Brandon,4,2,0,2,6
Sherman,101,"Judge, Court of Criminal Apeals, Place 8",,REP,Michelle Slaughter,9,2,0,2,11
Sherman,101,"Judge, Court of Criminal Apeals, Place 8",,REP,Dib Waldrip,3,2,0,2,5
Sherman,101,State Senator,31,REP,Victor Leal,10,7,0,7,17
Sherman,101,State Senator,31,REP,Mike Canon,0,1,0,1,1
Sherman,101,State Senator,31,REP,Kel Seliger,10,3,0,3,13
Sherman,101,State Representative,87,REP,Drew Brassfield,3,1,0,1,4
Sherman,101,State Representative,87,REP,Four Price,17,10,0,10,27
Sherman,101,"Justice, 7th Court of Appeals Dist, Place 2",,REP,Judy Parker,18,7,0,7,25
Sherman,101,"Justice, 7th Court Of Appeals Dist, Place 3",,REP,Pat Pirtle,18,7,0,7,25
Sherman,101,"District Judge, 69th Judicial Dist",,REP,Ron Enns,18,9,0,9,27
Sherman,101,County Judge,,REP,Terri Beth Carter,17,10,0,10,27
Sherman,101,District and County Clerk,,REP,Laura Rogers,12,6,0,6,18
Sherman,101,District and County Clerk,,REP,Maida Reyes,5,5,0,5,10
Sherman,101,District and County Clerk,,REP,Billye Zak,3,1,0,1,4
Sherman,101,County Treasurer,,REP,Doris Parsons,20,11,0,11,31
Sherman,101,Justice of the Peace,,REP,Margaret Ewers,8,6,0,6,14
Sherman,101,Justice of the Peace,,REP,Shannon Sellers,2,0,0,0,2
Sherman,101,Justice of the Peace,,REP,Brenda J. Acker,10,6,0,6,16
Sherman,101,County Chairman,,REP,Susie E Spurlock,18,9,0,9,27
Sherman,101,Proposition 1,,REP,FOR,14,6,0,6,20
Sherman,101,Proposition 1,,REP,AGAINST,3,3,0,3,6
Sherman,101,Proposition 2,,REP,FOR,17,8,0,8,25
Sherman,101,Proposition 2,,REP,AGAINST,1,1,0,1,2
Sherman,101,Proposition 3,,REP,FOR,18,9,0,9,27
Sherman,101,Proposition 3,,REP,AGAINST,1,1,0,1,2
Sherman,101,Proposition 4,,REP,FOR,17,9,0,9,26
Sherman,101,Proposition 4,,REP,AGAINST,2,0,0,0,2
Sherman,101,Proposition 5,,REP,FOR,12,6,0,6,18
Sherman,101,Proposition 5,,REP,AGAINST,7,3,0,3,10
Sherman,101,Proposition 6,,REP,FOR,19,9,0,9,28
Sherman,101,Proposition 6,,REP,AGAINST,0,0,0,0,0
Sherman,101,Proposition 7,,REP,FOR,11,7,0,7,18
Sherman,101,Proposition 7,,REP,AGAINST,7,2,0,2,9
Sherman,101,Proposition 8,,REP,FOR,19,11,0,11,30
Sherman,101,Proposition 8,,REP,AGAINST,0,0,0,0,0
Sherman,101,Proposition 9,,REP,FOR,19,10,0,10,29
Sherman,101,Proposition 9,,REP,AGAINST,0,1,0,1,1
Sherman,101,Proposition 10,,REP,FOR,16,9,0,9,25
Sherman,101,Proposition 10,,REP,AGAINST,2,1,0,1,3
Sherman,101,Proposition 11,,REP,FOR,15,12,0,12,27
Sherman,101,Proposition 11,,REP,AGAINST,4,0,0,0,4
Sherman,101,U.S. Senate,,DEM,Edward Kimbrough,0,0,0,0,0
Sherman,101,U.S. Senate,,DEM,Beto O'Rourke,0,0,0,0,0
Sherman,101,U.S. Senate,,DEM,Sema Hernandez,0,1,0,1,1
Sherman,101,U.S. House,13,DEM,Greg Sagan,0,0,0,0,0
Sherman,101,Governor,,DEM,Adrian Ocegueda,0,0,0,0,0
Sherman,101,Governor,,DEM,Joe Mumbach,0,0,0,0,0
Sherman,101,Governor,,DEM,James Jolly Clark,0,0,0,0,0
Sherman,101,Governor,,DEM,"Cedric Davis, Sr.",0,0,0,0,0
Sherman,101,Governor,,DEM,Jeffrey Payne,0,0,0,0,0
Sherman,101,Governor,,DEM,Tom Wakely,0,0,0,0,0
Sherman,101,Governor,,DEM,Lupe Valdez,0,1,0,1,1
Sherman,101,Governor,,DEM,Grady Yarbrough,0,0,0,0,0
Sherman,101,Governor,,DEM,Andrew White,0,0,0,0,0
Sherman,101,Lieutenant Governor,,DEM,Mike Collier,0,0,0,0,0
Sherman,101,Lieutenant Governor,,DEM,Michael Cooper,0,1,0,1,1
Sherman,101,Attorney General,,DEM,Justin Nelson,0,1,0,1,1
Sherman,101,Comptroller of Public Accounts,,DEM,Tim Mahoney,0,0,0,0,0
Sherman,101,Comptroller of Public Accounts,,DEM,Joi Chevalier,0,0,0,0,0
Sherman,101,Commissioner of the General Land Office,,DEM,Miguel Suazo,0,0,0,0,0
Sherman,101,Commissioner of the General Land Office,,DEM,Tex Morgan,0,0,0,0,0
Sherman,101,Commissioner of Agriculture,,DEM,Kim Olson,0,0,0,0,0
Sherman,101,Railroad Commissioner,,DEM,Roman McAllen,0,1,0,1,1
Sherman,101,Railroad Commissioner,,DEM,Chris Spellmon,0,0,0,0,0
Sherman,101,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,0,0,0,0,0
Sherman,101,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,0,1,0,1,1
Sherman,101,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,0,0,0,0,0
Sherman,101,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. Jackson,0,1,0,1,1
Sherman,101,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,0,0,0,0,0
Sherman,101,County Chair,,DEM,Mildred Hacker,0,1,0,1,1
Sherman,101,Proposition #1,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #1,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #2,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #2,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #3,,DEM,FOR,0,0,0,0,0
Sherman,101,Proposition #3,,DEM,AGAINST,0,1,0,1,1
Sherman,101,Proposition #4,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #4,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #5,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #5,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #6,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #6,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #7,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #7,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #8,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #8,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #9,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #9,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #10,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #10,,DEM,AGAINST,0,0,0,0,0
Sherman,101,Proposition #11,,DEM,FOR,0,1,0,1,1
Sherman,101,Proposition #11,,DEM,AGAINST,0,0,0,0,0
