county,precinct,office,district,party,candidate,election_day,early_voting,mail,provisional,votes
Wilson,Box 101,US Senator,,REP,Geraldine Sam,3,3,0,0,6
Wilson,Box 101,US Senator,,REP,Mary Miller,12,8,0,0,20
Wilson,Box 101,US Senator,,REP,"Bruce Jacobson, Jr.",3,4,4,0,11
Wilson,Box 101,US Senator,,REP,Stefano de Stefano,2,4,0,0,6
Wilson,Box 101,US Senator,,REP,Ted Cruz,102,79,22,0,203
Wilson,Box 101,US Senator,,DEM,Edward Kimbrough,5,3,2,0,10
Wilson,Box 101,US Senator,,DEM,Sema Hernandez,12,3,8,0,23
Wilson,Box 101,US Senator,,DEM,Beto O'Rourke,39,25,10,0,74
Wilson,Box 101,US Representative,28,DEM,Henry Cuellar,49,26,18,0,93
Wilson,Box 101,Governor,,REP,SECEDE Kilgore,3,1,0,0,4
Wilson,Box 101,Governor,,REP,Greg Abbott,117,90,26,0,233
Wilson,Box 101,Governor,,REP,Barbara Krueger,7,8,0,0,15
Wilson,Box 101,Governor,,DEM,Joe Mumbach,2,1,0,0,3
Wilson,Box 101,Governor,,DEM,Lupe Valdez,25,16,10,0,51
Wilson,Box 101,Governor,,DEM,Tom Wakely,4,1,0,0,5
Wilson,Box 101,Governor,,DEM,Grady Yarbrough,3,0,5,0,8
Wilson,Box 101,Governor,,DEM,"Cedric Davis, Sr.",1,0,1,0,2
Wilson,Box 101,Governor,,DEM,Jeffrey Payne,3,0,0,0,3
Wilson,Box 101,Governor,,DEM,Andrew White,13,8,3,0,24
Wilson,Box 101,Governor,,DEM,James Jolly Clark,1,3,0,0,4
Wilson,Box 101,Governor,,DEM,Adrian Ocegueda,3,1,1,0,5
Wilson,Box 101,Lieutenant Governor,,REP,Scott Milder,19,19,3,0,41
Wilson,Box 101,Lieutenant Governor,,REP,Dan Patrick,107,80,23,0,210
Wilson,Box 101,Lieutenant Governor,,DEM,Mike Collier,30,22,10,0,62
Wilson,Box 101,Lieutenant Governor,,DEM,Michael Cooper,22,8,10,0,40
Wilson,Box 101,Attorney General,,REP,Ken Paxton,113,80,23,0,216
Wilson,Box 101,Attorney General,,DEM,Justin Nelson,49,28,20,0,97
Wilson,Box 101,Comptroller of Public Accounts,,REP,Glenn Hegar,104,76,21,0,201
Wilson,Box 101,Comptroller of Public Accounts,,DEM,Tim Mahoney,23,16,10,0,49
Wilson,Box 101,Comptroller of Public Accounts,,DEM,Joi Chevalier,27,14,10,0,51
Wilson,Box 101,Commissioner of the General Land Office,,REP,Jerry Patterson,34,36,10,0,80
Wilson,Box 101,Commissioner of the General Land Office,,REP,Rick Range,11,9,2,0,22
Wilson,Box 101,Commissioner of the General Land Office,,REP,Davey Edwards,7,5,0,0,12
Wilson,Box 101,Commissioner of the General Land Office,,REP,George P. Bush,71,49,14,0,134
Wilson,Box 101,Commissioner of the General Land Office,,DEM,Miguel Suazo,36,20,16,0,72
Wilson,Box 101,Commissioner of the General Land Office,,DEM,Tex Morgan,17,9,4,0,30
Wilson,Box 101,Commissioner of Agriculture,,REP,Trey Blocker,20,26,7,0,53
Wilson,Box 101,Commissioner of Agriculture,,REP,Sid Miller,73,51,10,0,134
Wilson,Box 101,Commissioner of Agriculture,,REP,Jim Hogan,21,18,5,0,44
Wilson,Box 101,Commissioner of Agriculture,,DEM,Kim Olson,50,30,20,0,100
Wilson,Box 101,Railroad Commissioner,,REP,Christi Craddick,93,66,14,0,173
Wilson,Box 101,Railroad Commissioner,,REP,Weston Martinez,24,25,10,0,59
Wilson,Box 101,Railroad Commissioner,,DEM,Chris Spellmon,23,16,8,0,47
Wilson,Box 101,Railroad Commissioner,,DEM,Roman McAllen,27,12,12,0,51
Wilson,Box 101,Justice Supreme Ct P2,,REP,Jimmy Blacklock,102,78,23,0,203
Wilson,Box 101,Justice Supreme Ct P2,,DEM,Steven Kirkland,51,28,19,0,98
Wilson,Box 101,Justice Supreme Ct P4,,REP,John Devine,102,78,23,0,203
