candidate,office,district,party,county,precinct,election_day,early_voting,votes
,Registered Voters,,,Sutton,101,563,563,1126
,Ballots Cast,,,Sutton,101,74,158,232
,Straight Party,,REP,Sutton,101,31,81,112
,Straight Party,,DEM,Sutton,101,30,34,64
,Straight Party,,LIB,Sutton,101,0,0,0
Ted Cruz,U.S. Senate,,REP,Sutton,101,41,113,154
Beto O'Rourke,U.S. Senate,,DEM,Sutton,101,32,43,75
Neal M Dikeman,U.S. Senate,,LIB,Sutton,101,0,1,1
Will Hurd,U.S. House,23,REP,Sutton,101,39,115,154
Gina Ortiz Jones,U.S. House,23,DEM,Sutton,101,35,39,74
Ruben Corvalan,U.S. House,23,LIB,Sutton,101,0,2,2
Greg Abbott,Governor,,REP,Sutton,101,39,113,152
Lupe Valdez,Governor,,DEM,Sutton,101,33,43,76
Mark Jay Tippetts,Governor,,LIB,Sutton,101,1,1,2
Dan Patrick,Lieutenant Governor,,REP,Sutton,101,35,108,143
Mike Collier,Lieutenant Governor,,DEM,Sutton,101,36,45,81
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sutton,101,2,4,6
Ken Paxton,Attorney General,,REP,Sutton,101,37,109,146
Justin Nelson,Attorney General,,DEM,Sutton,101,37,48,85
Michael Ray Harris,Attorney General,,LIB,Sutton,101,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Sutton,101,36,114,150
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sutton,101,37,38,75
Ben Sanders,Comptroller of Public Accounts,,LIB,Sutton,101,1,6,7
George P. Bush,Commissioner of the General Land Office,,REP,Sutton,101,38,113,151
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sutton,101,32,41,73
Matt Pina,Commissioner of the General Land Office,,LIB,Sutton,101,3,3,6
Christi Craddick,Railroad Commissioner,,REP,Sutton,101,34,114,148
Roman McAllen,Railroad Commissioner,,DEM,Sutton,101,39,41,80
Mike Wright,Railroad Commissioner,,LIB,Sutton,101,1,2,3
Andrew S. Murr,State Representative,53,REP,Sutton,101,40,114,154
Stephanie Lochte Ertel,State Representative,53,DEM,Sutton,101,34,41,75
,Registered Voters,,,Sutton,201,603,603,1206
,Ballots Cast,,,Sutton,201,52,259,311
,Straight Party,,REP,Sutton,201,32,149,181
,Straight Party,,DEM,Sutton,201,3,19,22
,Straight Party,,LIB,Sutton,201,0,0,0
Ted Cruz,U.S. Senate,,REP,Sutton,201,45,225,270
Beto O'Rourke,U.S. Senate,,DEM,Sutton,201,6,31,37
Neal M Dikeman,U.S. Senate,,LIB,Sutton,201,1,3,4
Will Hurd,U.S. House,23,REP,Sutton,201,47,232,279
Gina Ortiz Jones,U.S. House,23,DEM,Sutton,201,4,26,30
Ruben Corvalan,U.S. House,23,LIB,Sutton,201,1,0,1
Greg Abbott,Governor,,REP,Sutton,201,44,228,272
Lupe Valdez,Governor,,DEM,Sutton,201,5,27,32
Mark Jay Tippetts,Governor,,LIB,Sutton,201,1,3,4
Dan Patrick,Lieutenant Governor,,REP,Sutton,201,45,202,247
Mike Collier,Lieutenant Governor,,DEM,Sutton,201,6,52,58
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sutton,201,0,4,4
