county,precinct,precinct_name,office,district,candidate,party,early_voting,election_day,votes
Live Oak,1,Argenta,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,91,114,205
Live Oak,1,Argenta,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,17,14,31
Live Oak,10,West Three Rivers,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,119,86,205
Live Oak,10,West Three Rivers,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,9,17,26
Live Oak,11,Simmons,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,19,24,43
Live Oak,11,Simmons,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,1,0,1
Live Oak,12,Anna Rose,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,50,35,85
Live Oak,12,Anna Rose,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,4,4,8
Live Oak,13,Swinney Switch,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,122,151,273
Live Oak,13,Swinney Switch,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,9,26,35
Live Oak,14,South West George West,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,320,164,484
Live Oak,14,South West George West,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,48,30,78
Live Oak,2,Lagarto,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,160,222,382
Live Oak,2,Lagarto,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,34,47,81
Live Oak,3,East George West,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,136,71,207
Live Oak,3,East George West,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,98,52,150
Live Oak,4,West George West,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,274,121,395
Live Oak,4,West George West,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,43,28,71
Live Oak,5,Oakville,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,85,87,172
Live Oak,5,Oakville,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,9,8,17
Live Oak,6,Ray Point,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,42,76,118
Live Oak,6,Ray Point,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,6,5,11
Live Oak,7,Nell,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,12,3,15
Live Oak,7,Nell,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,4,1,5
Live Oak,8,Whitsett,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,28,41,69
Live Oak,8,Whitsett,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,3,5,8
Live Oak,9,East Three Rivers,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,157,160,317
Live Oak,9,East Three Rivers,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,40,64,104
Live Oak,1,Argenta,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,18,13,31
Live Oak,1,Argenta,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,89,112,201
Live Oak,1,Argenta,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,1,3,4
Live Oak,10,West Three Rivers,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,9,14,23
Live Oak,10,West Three Rivers,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,117,87,204
Live Oak,10,West Three Rivers,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,2,4
Live Oak,11,Simmons,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,1,1,2
Live Oak,11,Simmons,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,19,23,42
Live Oak,11,Simmons,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,0,0,0
Live Oak,12,Anna Rose,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,2,4,6
Live Oak,12,Anna Rose,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,50,34,84
Live Oak,12,Anna Rose,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,1,3
Live Oak,13,Swinney Switch,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,9,19,28
Live Oak,13,Swinney Switch,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,120,155,275
Live Oak,13,Swinney Switch,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,3,5
Live Oak,14,South West George West,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,43,29,72
Live Oak,14,South West George West,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,322,161,483
Live Oak,14,South West George West,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,1,3
Live Oak,2,Lagarto,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,32,46,78
Live Oak,2,Lagarto,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,157,222,379
Live Oak,2,Lagarto,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,5,1,6
Live Oak,3,East George West,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,94,49,143
Live Oak,3,East George West,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,138,69,207
Live Oak,3,East George West,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,4,3,7
Live Oak,4,West George West,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,39,27,66
Live Oak,4,West George West,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,273,120,393
Live Oak,4,West George West,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,7,4,11
Live Oak,5,Oakville,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,9,8,17
