county,precinct,office,district,candidate,party,votes,election_day,early_voting
Sherman,BOX 101 ,U.S. Senate,,TED CRUZ ,REP ,38,19,19
Sherman,BOX 101 ,U.S. Senate,,BETO O'ROURKE ,DEM ,4,0,4
Sherman,BOX 101 ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,1,0,1
Sherman,BOX 101 ,U.S. House,13,MAC THORNBERRY ,REP ,38,19,19
Sherman,BOX 101 ,U.S. House,13,GREG SAGAN ,DEM ,4,0,4
Sherman,BOX 101 ,U.S. House,13,CALVIN DeWEESE ,LIB ,2,1,1
Sherman,BOX 101 ,Governor,,GREG ABBOTT ,REP ,38,18,20
Sherman,BOX 101 ,Governor,,LUPE VALDEZ ,DEM ,4,1,3
Sherman,BOX 101 ,Governor,,MARK JAY TIPPETTS ,LIB ,1,1,0
Sherman,BOX 101 ,LIEUTENANT Governor,,DAN PATRICK ,REP ,37,20,17
Sherman,BOX 101 ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,7,0,7
Sherman,BOX 101 ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,0,0,0
Sherman,BOX 101 ,Attorney General,,KEN PAXTON ,REP ,37,17,20
Sherman,BOX 101 ,Attorney General,,JUSTIN NELSON ,DEM ,5,2,3
Sherman,BOX 101 ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 101 ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,36,17,19
Sherman,BOX 101 ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,4,1,3
Sherman,BOX 101 ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,1,0,1
Sherman,BOX 101 ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,35,17,18
Sherman,BOX 101 ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,4,1,3
Sherman,BOX 101 ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,1,0,1
Sherman,BOX 101 ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,36,18,18
Sherman,BOX 101 ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,4,1,3
Sherman,BOX 101 ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,1,0,1
Sherman,BOX 101 ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,36,17,19
Sherman,BOX 101 ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,4,1,3
Sherman,BOX 101 ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 101 ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,36,16,20
Sherman,BOX 101 ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,5,2,3
Sherman,BOX 101 ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,38,17,21
Sherman,BOX 101 ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,3,1,2
Sherman,BOX 101 ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,37,17,20
Sherman,BOX 101 ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,4,1,3
Sherman,BOX 101 ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,36,17,19
Sherman,BOX 101 ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,4,1,3
Sherman,BOX 101 ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 101 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,36,17,19
Sherman,BOX 101 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,4,1,3
Sherman,BOX 101 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,36,16,20
Sherman,BOX 101 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,4,2,2
Sherman,BOX 101 ,STATE SENATE,31,KEL SELIGER ,REP ,38,19,19
Sherman,BOX 101 ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,4,1,3
Sherman,BOX 101 ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,42,20,22
Sherman,BOX 101 ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,41,19,22
Sherman,BOX 101 ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,41,19,22
Sherman,BOX 101 ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,41,20,21
Sherman,BOX 101 ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,42,20,22
Sherman,BOX 101 ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,35,20,15
Sherman,BOX 101 ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,39,20,19
Sherman,BOX 101 ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,32,15,17
Sherman,BOX 101 - NO S & H ,U.S. Senate,,TED CRUZ ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,U.S. House,13,MAC THORNBERRY ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,U.S. House,13,CALVIN DeWEESE ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,Governor,,GREG ABBOTT ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,Governor,,LUPE VALDEZ ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,Governor,,MARK JAY TIPPETTS ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,LIEUTENANT Governor,,DAN PATRICK ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,Attorney General,,KEN PAXTON ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,Attorney General,,JUSTIN NELSON ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
