county,precinct,candidate,office,district,party,votes
Kent,Precinct 101,Ted Cruz,U.S. Senate,,REP,34
Kent,Precinct 101,Beto O'Rourke,U.S. Senate,,DEM,4
Kent,Precinct 101,Neal M. Dikeman,U.S. Senate,,LIB,0
Kent,Precinct 101,Jodey Arrington,U.S. House,19,REP,34
Kent,Precinct 101,Miguel Levario,U.S. House,19,DEM,1
Kent,Precinct 101,Gregg Abbott,Governor,,REP,35
Kent,Precinct 101,Lupe Valdez,Governor,,DEM,1
Kent,Precinct 101,Mark Jay Tippetts,Governor,,LIB,0
Kent,Precinct 101,Dan Patrick,Lieutenant Governor,,REP,29
Kent,Precinct 101,Mike Collier,Lieutenant Governor,,DEM,6
Kent,Precinct 101,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
Kent,Precinct 101,Ken Paxton,Attorney General,,REP,32
Kent,Precinct 101,Justin Nelson,Attorney General,,DEM,4
Kent,Precinct 101,Michael Ray Harris,Attorney General,,LIB,0
Kent,Precinct 101,Glenn Hegar,Comptroller of Public Accounts,,REP,35
Kent,Precinct 101,Joi Chevalier,Comptroller of Public Accounts,,DEM,1
Kent,Precinct 101,Ben Sanders,Comptroller of Public Accounts,,LIB,0
Kent,Precinct 101,George P. Bush,Commissioner of the General Land Office,,REP,35
Kent,Precinct 101,Miguel Suazo,Commissioner of the General Land Office,,DEM,1
Kent,Precinct 101,Matt Pina,Commissioner of the General Land Office,,LIB,0
Kent,Precinct 101,Sid Miller,Commissioner of Agriculture,,REP,33
Kent,Precinct 101,Kim Olson,Commissioner of Agriculture,,DEM,3
Kent,Precinct 101,Richard Carpenter,Commissioner of Agriculture,,LIB,0
Kent,Precinct 101,Christi Craddick,Railroad Commissioner,,REP,35
Kent,Precinct 101,Roman McAllen,Railroad Commissioner,,DEM,1
Kent,Precinct 101,Mike Wright,Railroad Commissioner,,LIB,0
Kent,Precinct 101,Drew Springer,State Representative,68,REP,35
Kent,Precinct 201,Ted Cruz,U.S. Senate,,REP,7
Kent,Precinct 201,Beto O'Rourke,U.S. Senate,,DEM,1
Kent,Precinct 201,Neal M. Dikeman,U.S. Senate,,LIB,0
Kent,Precinct 201,Jodey Arrington,U.S. House,19,REP,8
Kent,Precinct 201,Miguel Levario,U.S. House,19,DEM,0
Kent,Precinct 201,Gregg Abbott,Governor,,REP,8
Kent,Precinct 201,Lupe Valdez,Governor,,DEM,0
