county,precinct,office,district,candidate,party,early_voting,mail,election_day,votes
Lee,101,Straight Party,,Republican,REP,207,23,131,361
Lee,101,Straight Party,,Democratic,DEM,79,8,78,165
Lee,101,Straight Party,,Libertarian,LIB,2,0,2,4
Lee,101,U.S. Senate,,Ted Cruz,REP,355,30,223,608
Lee,101,U.S. Senate,,Beto O'Rourke,DEM,123,22,109,254
Lee,101,U.S. Senate,,Neal M. Dikeman,LIB,2,0,4,6
Lee,101,U.S. House,10,Michael T. McCaul,REP,356,28,230,614
Lee,101,U.S. House,10,Mike Siegel,DEM,112,20,98,230
Lee,101,U.S. House,10,Mike Ryan,LIB,9,1,6,16
Lee,101,Governor,,Greg Abbott,REP,367,30,238,635
Lee,101,Governor,,Lupe Valdez,DEM,105,22,96,223
Lee,101,Governor,,Mark Jay Tippetts,LIB,5,0,2,7
Lee,101,Lieutenant Governor,,Dan Patrick,REP,342,29,214,585
Lee,101,Lieutenant Governor,,Mike Collier,DEM,128,21,115,264
Lee,101,Lieutenant Governor,,K. Douglas McKennon,LIB,8,1,7,16
Lee,101,Attorney General,,Ken Paxton,REP,338,29,210,577
Lee,101,Attorney General,,Justin Nelson,DEM,128,20,112,260
Lee,101,Attorney General,,Michael Ray Harris,LIB,6,2,11,19
Lee,101,Comptroller	of Public Accounts,,Glenn Hegar,REP,357,30,229,616
Lee,101,Comptroller	of Public Accounts,,Joi Chevalier,DEM,108,20,98,226
Lee,101,Comptroller	of Public Accounts,,Ben Sanders,LIB,11,1,8,20
Lee,101,Commissioner of the General Land Office,,George P. Bush,REP,354,29,230,613
Lee,101,Commissioner of the General Land Office,,Miguel Suazo,DEM,106,21,98,225
Lee,101,Commissioner of the General Land Office,,Matt Pina,LIB,13,1,7,21
Lee,101,Commissioner of Agriculture,,Sid Miller,REP,345,28,217,590
Lee,101,Commissioner of Agriculture,,Kim Olson,DEM,118,22,108,248
Lee,101,Commissioner of Agriculture,,Richard Carpenter,LIB,7,1,8,16
Lee,101,Railroad Commissioner,,Christi Craddick,REP,340,28,222,590
Lee,101,Railroad Commissioner,,Roman McAllen,DEM,113,19,99,231
Lee,101,Railroad Commissioner,,Mike Wright,LIB,14,4,13,31
Lee,101,"Justice, Supreme Court P2",,Jimmy Blacklock,REP,346,29,225,600
Lee,101,"Justice, Supreme Court P2",,Steven Kirkland,DEM,120,21,104,245
Lee,101,"Justice, Supreme Court P4",,John Devine,REP,347,29,226,602
