county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,1,NEW LIFE BAPTIST CHURCH,118,77,195
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,10,PECAN GAP COMMUNITY CTR,42,57,99
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,3,DELTA CO CIVIC CENTER,54,23,77
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,4,FIRST BAPTIST CHURCH,87,33,120
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,5,KLONDIKE COMMUNITY CENTER,85,92,177
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,7,ENLOE COMMUNITY CENTER,25,44,69
Delta,Comptroller of Public Accounts,,Glenn Hegar,REP,9,EAST DELTA COMMUNITY CTR,27,49,76
Delta,U.S. Senate,,Bruce Jacobson,REP,1,NEW LIFE BAPTIST CHURCH,10,9,19
Delta,U.S. Senate,,Geraldine Sam,REP,1,NEW LIFE BAPTIST CHURCH,1,1,2
Delta,U.S. Senate,,Mary Miller,REP,1,NEW LIFE BAPTIST CHURCH,12,7,19
Delta,U.S. Senate,,Rafael Cruz,REP,1,NEW LIFE BAPTIST CHURCH,130,84,214
Delta,U.S. Senate,,Stefano de Stefano IV,REP,1,NEW LIFE BAPTIST CHURCH,3,0,3
Delta,U.S. Senate,,Bruce Jacobson,REP,10,PECAN GAP COMMUNITY CTR,2,5,7
Delta,U.S. Senate,,Geraldine Sam,REP,10,PECAN GAP COMMUNITY CTR,1,3,4
Delta,U.S. Senate,,Mary Miller,REP,10,PECAN GAP COMMUNITY CTR,6,4,10
Delta,U.S. Senate,,Rafael Cruz,REP,10,PECAN GAP COMMUNITY CTR,40,54,94
Delta,U.S. Senate,,Stefano de Stefano IV,REP,10,PECAN GAP COMMUNITY CTR,0,3,3
Delta,U.S. Senate,,Bruce Jacobson,REP,3,DELTA CO CIVIC CENTER,6,1,7
Delta,U.S. Senate,,Geraldine Sam,REP,3,DELTA CO CIVIC CENTER,0,0,0
Delta,U.S. Senate,,Mary Miller,REP,3,DELTA CO CIVIC CENTER,4,3,7
Delta,U.S. Senate,,Rafael Cruz,REP,3,DELTA CO CIVIC CENTER,52,30,82
Delta,U.S. Senate,,Stefano de Stefano IV,REP,3,DELTA CO CIVIC CENTER,1,0,1
