county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Lynn,U.S. Senate,,Bruce Jacobson,REP,1,South Tahoka,4,4,8
Lynn,U.S. Senate,,Geraldine Sam,REP,1,South Tahoka,1,0,1
Lynn,U.S. Senate,,Mary Miller,REP,1,South Tahoka,1,1,2
Lynn,U.S. Senate,,Rafael Cruz,REP,1,South Tahoka,53,46,99
Lynn,U.S. Senate,,Stefano de Stefano IV,REP,1,South Tahoka,0,2,2
Lynn,U.S. Senate,,Bruce Jacobson,REP,12,Southwest Tahoka,2,3,5
Lynn,U.S. Senate,,Geraldine Sam,REP,12,Southwest Tahoka,3,0,3
Lynn,U.S. Senate,,Mary Miller,REP,12,Southwest Tahoka,0,3,3
Lynn,U.S. Senate,,Rafael Cruz,REP,12,Southwest Tahoka,29,19,48
Lynn,U.S. Senate,,Stefano de Stefano IV,REP,12,Southwest Tahoka,0,0,0
Lynn,U.S. Senate,,Bruce Jacobson,REP,13,North Lynn County,0,0,0
Lynn,U.S. Senate,,Geraldine Sam,REP,13,North Lynn County,0,1,1
Lynn,U.S. Senate,,Mary Miller,REP,13,North Lynn County,1,1,2
Lynn,U.S. Senate,,Rafael Cruz,REP,13,North Lynn County,5,28,33
Lynn,U.S. Senate,,Stefano de Stefano IV,REP,13,North Lynn County,0,0,0
Lynn,U.S. Senate,,Bruce Jacobson,REP,14,East Tahoka,2,5,7
Lynn,U.S. Senate,,Geraldine Sam,REP,14,East Tahoka,0,1,1
Lynn,U.S. Senate,,Mary Miller,REP,14,East Tahoka,2,3,5
Lynn,U.S. Senate,,Rafael Cruz,REP,14,East Tahoka,14,38,52
Lynn,U.S. Senate,,Stefano de Stefano IV,REP,14,East Tahoka,0,3,3
Lynn,U.S. Senate,,Bruce Jacobson,REP,2&8,Wilson,1,2,3
Lynn,U.S. Senate,,Geraldine Sam,REP,2&8,Wilson,0,1,1
Lynn,U.S. Senate,,Mary Miller,REP,2&8,Wilson,1,8,9
Lynn,U.S. Senate,,Rafael Cruz,REP,2&8,Wilson,23,65,88
