county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee,limited,provisional
Leon,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1528,,,,,
Leon,1A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,201,,,,,
Leon,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,350,,,,,
Leon,3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,595,,,,,
Leon,4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,894,,,,,
Leon,5,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,523,,,,,
Leon,5A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,66,,,,,
Leon,6,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1088,,,,,
Leon,7,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,636,,,,,
Leon,8,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1042,,,,,
Leon,9,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,336,,,,,
Leon,10,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,999,,,,,
Leon,11,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,985,,,,,
Leon,12,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,826,,,,,
Leon,13,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,667,,,,,
Leon,14,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,208,,,,,
Leon,14A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,198,,,,,
Leon,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,850,580,198,68,4,0
Leon,1A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,128,95,28,5,0,0
Leon,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,228,93,120,14,1,0
Leon,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,362,187,122,52,1,0
Leon,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,521,112,346,63,0,0
Leon,5,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,350,154,168,24,4,0
Leon,5A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,32,16,14,2,0,0
Leon,6,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,778,188,464,118,7,1
Leon,7,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,364,111,223,29,1,0
Leon,8,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,574,185,349,39,1,0
Leon,9,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,191,76,95,17,3,0
Leon,10,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,576,261,277,32,6,0
Leon,11,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,483,186,259,38,0,0
Leon,12,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,463,105,325,32,1,0
Leon,13,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,455,233,163,59,0,0
Leon,14,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,129,75,38,16,0,0
Leon,14A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,122,64,45,13,0,0
Leon,1,Straight Party,,REP,Republican Party,492,337,108,47,0,0
Leon,1A,Straight Party,,REP,Republican Party,82,60,18,4,0,0
Leon,2,Straight Party,,REP,Republican Party,135,56,74,5,0,0
Leon,3,Straight Party,,REP,Republican Party,224,118,69,37,0,0
Leon,4,Straight Party,,REP,Republican Party,317,67,206,44,0,0
Leon,5,Straight Party,,REP,Republican Party,216,93,101,22,0,0
Leon,5A,Straight Party,,REP,Republican Party,28,13,13,2,0,0
Leon,6,Straight Party,,REP,Republican Party,526,129,300,96,0,1
Leon,7,Straight Party,,REP,Republican Party,217,71,124,22,0,0
Leon,8,Straight Party,,REP,Republican Party,353,129,201,23,0,0
Leon,9,Straight Party,,REP,Republican Party,117,45,62,9,1,0
Leon,10,Straight Party,,REP,Republican Party,382,184,179,19,0,0
Leon,11,Straight Party,,REP,Republican Party,276,104,144,28,0,0
Leon,12,Straight Party,,REP,Republican Party,247,56,169,22,0,0
Leon,13,Straight Party,,REP,Republican Party,300,148,110,42,0,0
Leon,14,Straight Party,,REP,Republican Party,76,40,24,12,0,0
Leon,14A,Straight Party,,REP,Republican Party,80,46,28,6,0,0
Leon,1,Straight Party,,DEM,Democratic Party,67,39,19,9,0,0
Leon,1A,Straight Party,,DEM,Democratic Party,6,5,0,1,0,0
Leon,2,Straight Party,,DEM,Democratic Party,10,3,4,3,0,0
Leon,3,Straight Party,,DEM,Democratic Party,30,12,16,2,0,0
Leon,4,Straight Party,,DEM,Democratic Party,57,10,39,8,0,0
Leon,5,Straight Party,,DEM,Democratic Party,21,9,12,0,0,0
Leon,5A,Straight Party,,DEM,Democratic Party,0,0,0,0,0,0
Leon,6,Straight Party,,DEM,Democratic Party,35,9,22,4,0,0
Leon,7,Straight Party,,DEM,Democratic Party,20,5,14,1,0,0
Leon,8,Straight Party,,DEM,Democratic Party,53,13,37,3,0,0
Leon,9,Straight Party,,DEM,Democratic Party,10,4,4,2,0,0
Leon,10,Straight Party,,DEM,Democratic Party,28,13,13,2,0,0
Leon,11,Straight Party,,DEM,Democratic Party,51,12,34,5,0,0
Leon,12,Straight Party,,DEM,Democratic Party,90,13,71,6,0,0
Leon,13,Straight Party,,DEM,Democratic Party,20,8,8,4,0,0
Leon,14,Straight Party,,DEM,Democratic Party,13,7,5,1,0,0
Leon,14A,Straight Party,,DEM,Democratic Party,14,5,6,3,0,0
Leon,1,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,1A,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,2,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,3,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,4,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,5,Straight Party,,LIB,Libertarian Party,1,0,1,0,0,0
Leon,5A,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,6,Straight Party,,LIB,Libertarian Party,1,0,1,0,0,0
Leon,7,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,8,Straight Party,,LIB,Libertarian Party,3,0,2,1,0,0
Leon,9,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,10,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,11,Straight Party,,LIB,Libertarian Party,4,0,4,0,0,0
Leon,12,Straight Party,,LIB,Libertarian Party,1,0,1,0,0,0
Leon,13,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,14,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,14A,Straight Party,,LIB,Libertarian Party,0,0,0,0,0,0
Leon,1,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,1A,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,2,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,3,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,4,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,5,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,5A,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,6,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,7,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,8,Straight Party,,,OVER VOTES,0,0,0,0,0,0
