county,precinct,office,district,candidate,party,early_voting,election_day,votes
Stephens,Precinct 1,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,29,11,40
Stephens,Precinct 1,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,373,121,494
Stephens,Precinct 2,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,25,16,41
Stephens,Precinct 2,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,459,163,622
Stephens,Precinct 2,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,3,5,8
Stephens,Precinct 2,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,101,34,135
Stephens,Precinct 3,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,16,13,29
Stephens,Precinct 3,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,127,90,217
Stephens,Precinct 3,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,5,1,6
Stephens,Precinct 3,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,181,55,236
Stephens,Precinct 4,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,16,10,26
Stephens,Precinct 4,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,194,80,274
Stephens,Precinct 4,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,22,6,28
Stephens,Precinct 4,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,336,115,451
Stephens,Precinct 5,"Judge, Court of Criminal Appeals Place 8",,Mark Ash,LIB,4,0,4
Stephens,Precinct 5,"Judge, Court of Criminal Appeals Place 8",,Michelle Slaughter,REP,111,77,188
Stephens,Precinct 1,Attorney General,,Justin Nelson,DEM,55,16,71
Stephens,Precinct 1,Attorney General,,Ken Paxton,REP,362,124,486
Stephens,Precinct 1,Attorney General,,Michael Ray Harris,LIB,7,2,9
Stephens,Precinct 2,Attorney General,,Justin Nelson,DEM,60,30,90
Stephens,Precinct 2,Attorney General,,Ken Paxton,REP,452,159,611
Stephens,Precinct 2,Attorney General,,Michael Ray Harris,LIB,5,1,6
Stephens,Precinct 2,Attorney General,,Justin Nelson,DEM,2,5,7
Stephens,Precinct 2,Attorney General,,Ken Paxton,REP,104,34,138
Stephens,Precinct 2,Attorney General,,Michael Ray Harris,LIB,0,1,1
Stephens,Precinct 3,Attorney General,,Justin Nelson,DEM,29,20,49
Stephens,Precinct 3,Attorney General,,Ken Paxton,REP,127,90,217
Stephens,Precinct 3,Attorney General,,Michael Ray Harris,LIB,2,1,3
Stephens,Precinct 3,Attorney General,,Justin Nelson,DEM,18,6,24
Stephens,Precinct 3,Attorney General,,Ken Paxton,REP,176,52,228
Stephens,Precinct 3,Attorney General,,Michael Ray Harris,LIB,0,3,3
Stephens,Precinct 4,Attorney General,,Justin Nelson,DEM,26,21,47
Stephens,Precinct 4,Attorney General,,Ken Paxton,REP,190,78,268
