county,party,precinct,office,district,candidate,early_voting,election_day,votes
Duval,DEM,1,Ballots Cast,,,,,957
Duval,DEM,1,U.S. Senate,,Beto O'Rourke,202,108,310
Duval,DEM,1,U.S. Senate,,Edward Kimbrough,53,16,69
Duval,DEM,1,U.S. Senate,,Sema Hernandez,178,76,254
Duval,DEM,1,U.S. House,15,Vicente Gonzalez,365,159,524
Duval,DEM,1,Governor,,Adrian Ocegueda,37,12,49
Duval,DEM,1,Governor,,Andrew White,48,13,61
Duval,DEM,1,Governor,,"Cedric Davis, Sr.",4,6,10
Duval,DEM,1,Governor,,Grady Yarbrough,61,29,90
Duval,DEM,1,Governor,,James Jolly Clark,13,5,18
Duval,DEM,1,Governor,,Jeffrey Payne,11,7,18
Duval,DEM,1,Governor,,Joe Mumbach,10,2,12
Duval,DEM,1,Governor,,Lupe Valdez,234,105,339
Duval,DEM,1,Governor,,Tom Wakely,7,5,12
Duval,DEM,1,Lieutenant Governor,,Michael Cooper,231,108,339
Duval,DEM,1,Lieutenant Governor,,Mike Collier,154,64,218
Duval,DEM,1,Attorney General,,Justin Nelson,314,144,458
Duval,DEM,1,Comptroller of Public Accounts,,Joi Chevalier,129,65,194
Duval,DEM,1,Comptroller of Public Accounts,,Tim Mahoney,260,111,371
Duval,DEM,1,Commissioner of the General Land Office,,Miguel Suazo,333,153,486
Duval,DEM,1,Commissioner of the General Land Office,,Tex Morgan,75,24,99
Duval,DEM,1,Commissioner of Agriculture,,Kim Olson,322,148,470
Duval,DEM,1,Railroad Commissioner,,Chris Spellmon,129,63,192
Duval,DEM,1,Railroad Commissioner,,Roman McAllen,259,111,370
Duval,DEM,1,State Representative,31,Ana Lisa Garza,263,120,383
Duval,DEM,1,State Representative,31,Ryan Guillen,377,129,506
Duval,DEM,2,Ballots Cast,,,,,755
Duval,DEM,2,U.S. Senate,,Beto O'Rourke,120,51,171
Duval,DEM,2,U.S. Senate,,Edward Kimbrough,22,17,39
Duval,DEM,2,U.S. Senate,,Sema Hernandez,174,69,243
Duval,DEM,2,U.S. House,15,Vicente Gonzalez,255,109,364
Duval,DEM,2,Governor,,Adrian Ocegueda,28,11,39
Duval,DEM,2,Governor,,Andrew White,33,20,53
Duval,DEM,2,Governor,,"Cedric Davis, Sr.",3,1,4
Duval,DEM,2,Governor,,Grady Yarbrough,29,8,37
Duval,DEM,2,Governor,,James Jolly Clark,15,5,20
Duval,DEM,2,Governor,,Jeffrey Payne,10,11,21
Duval,DEM,2,Governor,,Joe Mumbach,1,0,1
Duval,DEM,2,Governor,,Lupe Valdez,174,71,245
Duval,DEM,2,Governor,,Tom Wakely,6,3,9
Duval,DEM,2,Lieutenant Governor,,Michael Cooper,155,65,220
Duval,DEM,2,Lieutenant Governor,,Mike Collier,105,54,159
Duval,DEM,2,Attorney General,,Justin Nelson,203,84,287
Duval,DEM,2,Comptroller of Public Accounts,,Joi Chevalier,95,44,139
Duval,DEM,2,Comptroller of Public Accounts,,Tim Mahoney,159,65,224
Duval,DEM,2,Commissioner of the General Land Office,,Miguel Suazo,227,104,331
Duval,DEM,2,Commissioner of the General Land Office,,Tex Morgan,47,18,65
Duval,DEM,2,Commissioner of Agriculture,,Kim Olson,191,89,280
