county,office,district,candidate,party,precinct,precinct_name,early_voting,election_day,votes
Falls,Attorney General,,Justin Adatto  Nelson,DEM,101,METHODIST CHURCH,12,9,21
Falls,Attorney General,,Justin Adatto  Nelson,DEM,104,OTTO COMMUNITY CENTER,12,9,21
Falls,Attorney General,,Justin Adatto  Nelson,DEM,105,CHURCH OF CHRIST ANNEX,11,1,12
Falls,Attorney General,,Justin Adatto  Nelson,DEM,201,REAGAN HOMECOMING BUILDIN,8,10,18
Falls,Attorney General,,Justin Adatto  Nelson,DEM,203,DAVIS CHAPEL,28,34,62
Falls,Attorney General,,Justin Adatto  Nelson,DEM,204,BTW ALUMNI,38,26,64
Falls,Attorney General,,Justin Adatto  Nelson,DEM,301,PLEASANT GROVE,4,2,6
Falls,Attorney General,,Justin Adatto  Nelson,DEM,302,MARLIN HOUSING,3,8,11
Falls,Attorney General,,Justin Adatto  Nelson,DEM,303,WESTPHALIA COMM CENTER,0,5,5
Falls,Attorney General,,Justin Adatto  Nelson,DEM,304,D BROWN LIBRARY,4,15,19
Falls,Attorney General,,Justin Adatto  Nelson,DEM,403,CHILTON VOL. FIRE DEPT,15,7,22
Falls,Attorney General,,Justin Adatto  Nelson,DEM,404,LOTT VOL. FIRE DEPT,7,14,21
Falls,Attorney General,,Justin Adatto  Nelson,DEM,405,GOLINDA CITY HALL,7,15,22
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,101,METHODIST CHURCH,1,3,4
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,101,METHODIST CHURCH,11,8,19
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,104,OTTO COMMUNITY CENTER,10,5,15
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,104,OTTO COMMUNITY CENTER,4,3,7
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,105,CHURCH OF CHRIST ANNEX,6,1,7
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,105,CHURCH OF CHRIST ANNEX,5,0,5
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,201,REAGAN HOMECOMING BUILDIN,4,9,13
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,201,REAGAN HOMECOMING BUILDIN,3,3,6
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,203,DAVIS CHAPEL,17,17,34
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,203,DAVIS CHAPEL,12,16,28
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,204,BTW ALUMNI,18,12,30
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,204,BTW ALUMNI,21,15,36
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,301,PLEASANT GROVE,1,2,3
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,301,PLEASANT GROVE,3,1,4
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,302,MARLIN HOUSING,2,6,8
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,302,MARLIN HOUSING,3,2,5
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,303,WESTPHALIA COMM CENTER,0,2,2
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,303,WESTPHALIA COMM CENTER,0,3,3
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,304,D BROWN LIBRARY,3,5,8
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,304,D BROWN LIBRARY,2,11,13
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,403,CHILTON VOL. FIRE DEPT,5,4,9
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,403,CHILTON VOL. FIRE DEPT,10,3,13
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,404,LOTT VOL. FIRE DEPT,2,8,10
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,404,LOTT VOL. FIRE DEPT,4,7,11
Falls,Commissioner of the General Land Office,,Carl Allen Morgan,DEM,405,GOLINDA CITY HALL,2,8,10
Falls,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,405,GOLINDA CITY HALL,6,8,14
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,101,METHODIST CHURCH,11,10,21
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,104,OTTO COMMUNITY CENTER,12,8,20
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,105,CHURCH OF CHRIST ANNEX,10,1,11
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,201,REAGAN HOMECOMING BUILDIN,7,11,18
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,203,DAVIS CHAPEL,29,29,58
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,204,BTW ALUMNI,35,23,58
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,301,PLEASANT GROVE,4,2,6
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,302,MARLIN HOUSING,4,8,12
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,303,WESTPHALIA COMM CENTER,0,5,5
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,304,D BROWN LIBRARY,5,15,20
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,403,CHILTON VOL. FIRE DEPT,15,6,21
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,404,LOTT VOL. FIRE DEPT,6,13,19
Falls,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,405,GOLINDA CITY HALL,9,14,23
Falls,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,101,METHODIST CHURCH,5,6,11
Falls,Railroad Commissioner,,Roman James Alfred McAllen,DEM,101,METHODIST CHURCH,7,5,12
Falls,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,104,OTTO COMMUNITY CENTER,13,5,18
Falls,Railroad Commissioner,,Roman James Alfred McAllen,DEM,104,OTTO COMMUNITY CENTER,1,3,4
Falls,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,105,CHURCH OF CHRIST ANNEX,7,0,7
